epoch,selected_clients,accuracy,loss,run_time
1,"[9, 39, 55, 31, 57, 37, 32, 71, 12, 95]",16.46,3.3801341438293457,18.509938955307007
2,"[63, 23, 59, 66, 16, 91, 8, 46, 93, 21]",16.6,2.619895012378693,38.910256147384644
3,"[52, 93, 90, 58, 81, 64, 3, 67, 14, 49]",20.94,2.637362983226776,54.13465094566345
4,"[17, 47, 3, 1, 90, 26, 89, 59, 78, 85]",18.28,2.220858211517334,75.48536086082458
5,"[40, 77, 61, 39, 25, 37, 8, 96, 41, 85]",24.28,2.4987644267082216,92.08755493164062
6,"[45, 51, 9, 39, 11, 34, 2, 78, 15, 44]",23.98,2.147061815261841,115.2339186668396
7,"[60, 77, 53, 7, 83, 50, 71, 90, 12, 94]",23.05,2.2316964983940126,136.6921603679657
8,"[77, 54, 40, 61, 47, 46, 92, 27, 23, 0]",33.77,2.0287580561637877,154.01052045822144
9,"[40, 39, 1, 36, 60, 41, 74, 95, 58, 43]",32.15,2.0287436497211457,167.62141513824463
10,"[4, 77, 66, 80, 22, 94, 36, 42, 13, 43]",27.64,2.0083637285232543,192.07403779029846
11,"[7, 99, 46, 14, 2, 50, 3, 21, 19, 70]",32.75,1.9031370210647582,209.95731711387634
12,"[86, 84, 89, 23, 98, 93, 12, 68, 54, 71]",16.99,2.528773555755615,226.10224318504333
13,"[12, 38, 89, 49, 72, 76, 29, 8, 94, 99]",29.76,2.0002421379089355,247.50029873847961
14,"[7, 63, 99, 85, 11, 22, 71, 61, 47, 27]",35.74,1.7228487038612366,269.8063876628876
15,"[77, 12, 33, 55, 90, 27, 34, 53, 10, 44]",35.43,1.7680641794204712,292.9008297920227
16,"[96, 21, 51, 86, 27, 92, 18, 72, 31, 9]",35.3,1.8196560215950013,308.50066685676575
17,"[99, 1, 15, 75, 50, 96, 70, 79, 20, 34]",34.92,1.8514547061920166,331.26015162467957
18,"[95, 66, 71, 48, 53, 96, 29, 88, 99, 13]",38.93,1.7147072815895081,354.31297755241394
19,"[40, 43, 39, 88, 38, 35, 2, 90, 10, 51]",31.82,2.037701675891876,377.57035732269287
20,"[92, 62, 66, 46, 70, 82, 12, 25, 26, 85]",36.38,1.7540596306324006,393.62504625320435
21,"[99, 52, 70, 34, 46, 98, 77, 31, 68, 51]",44.93,1.5407377016544341,414.49859833717346
22,"[27, 87, 96, 9, 55, 15, 38, 90, 37, 92]",35.61,1.8015477788448333,434.065176486969
23,"[97, 28, 24, 71, 20, 68, 41, 84, 90, 21]",39.61,1.709613447189331,448.97140622138977
24,"[96, 35, 18, 45, 38, 8, 48, 97, 81, 56]",41.9,1.5812049794197083,468.92384696006775
25,"[40, 69, 90, 49, 86, 66, 57, 73, 94, 72]",32.75,2.154998950958252,485.66468381881714
26,"[53, 95, 11, 68, 5, 28, 67, 64, 74, 57]",40.79,1.5747847998142241,504.13209414482117
27,"[73, 4, 82, 94, 17, 23, 51, 40, 34, 32]",38.59,1.6161340248584748,529.1912357807159
28,"[86, 25, 54, 50, 10, 61, 96, 40, 34, 37]",35.16,1.9550594532489776,547.2195568084717
29,"[10, 6, 13, 68, 4, 78, 40, 97, 63, 66]",33.46,1.9053089439868927,569.362820148468
