epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[9, 39, 55, 31, 57, 37, 32, 71, 12, 95]",16.46,3.3801341438293457,18.509938955307007,28.13,28.13
2,"[63, 23, 59, 66, 16, 91, 8, 46, 93, 21]",16.6,2.619895012378693,38.91025614738464,20.64,48.769999999999996
3,"[52, 93, 90, 58, 81, 64, 3, 67, 14, 49]",20.94,2.637362983226776,54.13465094566345,26.23,75.0
4,"[17, 47, 3, 1, 90, 26, 89, 59, 78, 85]",18.28,2.220858211517334,75.48536086082458,19.69,94.69
5,"[40, 77, 61, 39, 25, 37, 8, 96, 41, 85]",24.28,2.4987644267082216,92.08755493164062,20.62,115.31
6,"[45, 51, 9, 39, 11, 34, 2, 78, 15, 44]",23.98,2.147061815261841,115.2339186668396,25.55,140.86
7,"[60, 77, 53, 7, 83, 50, 71, 90, 12, 94]",23.05,2.2316964983940126,136.6921603679657,28.13,168.99
8,"[77, 54, 40, 61, 47, 46, 92, 27, 23, 0]",33.77,2.028758056163788,154.01052045822144,25.09,194.08
9,"[40, 39, 1, 36, 60, 41, 74, 95, 58, 43]",32.15,2.0287436497211457,167.62141513824463,22.18,216.26000000000002
10,"[4, 77, 66, 80, 22, 94, 36, 42, 13, 43]",27.64,2.0083637285232543,192.0740377902985,22.75,239.01000000000002
11,"[7, 99, 46, 14, 2, 50, 3, 21, 19, 70]",32.75,1.9031370210647585,209.95731711387637,18.17,257.18
12,"[86, 84, 89, 23, 98, 93, 12, 68, 54, 71]",16.99,2.528773555755615,226.1022431850433,28.13,285.31
13,"[12, 38, 89, 49, 72, 76, 29, 8, 94, 99]",29.76,2.0002421379089355,247.5002987384796,22.75,308.06
14,"[7, 63, 99, 85, 11, 22, 71, 61, 47, 27]",35.74,1.7228487038612366,269.8063876628876,28.13,336.19
15,"[77, 12, 33, 55, 90, 27, 34, 53, 10, 44]",35.43,1.7680641794204712,292.9008297920227,21.51,357.7
16,"[96, 21, 51, 86, 27, 92, 18, 72, 31, 9]",35.3,1.8196560215950013,308.50066685676575,22.75,380.45
17,"[99, 1, 15, 75, 50, 96, 70, 79, 20, 34]",34.92,1.8514547061920168,331.2601516246796,25.8,406.25
18,"[95, 66, 71, 48, 53, 96, 29, 88, 99, 13]",38.93,1.714707281589508,354.31297755241394,28.13,434.38
19,"[40, 43, 39, 88, 38, 35, 2, 90, 10, 51]",31.82,2.037701675891876,377.57035732269287,21.51,455.89
20,"[92, 62, 66, 46, 70, 82, 12, 25, 26, 85]",36.38,1.7540596306324006,393.6250462532044,20.64,476.53
