epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",18.75,2.4744252252578733,25.6919846534729,26.23,26.23
2,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",21.81,2.1751602625846864,61.51913332939148,19.63,45.86
3,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",21.9,2.1625943338871,101.88073682785034,26.2,72.06
4,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",28.84,1.9069498813152312,139.5884826183319,19.63,91.69
5,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",32.3,1.830183016061783,176.28433108329773,19.63,111.32
6,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",35.63,1.7581729006767273,212.83061599731445,19.63,130.95
7,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",39.48,1.619011491537094,250.12863612174988,19.69,150.64
8,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",39.8,1.6366436159610749,276.0994973182678,26.23,176.86999999999998
9,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",37.33,1.7246414494514466,309.82852959632874,28.13,204.99999999999997
10,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",37.86,1.7233819031715394,344.0742166042328,28.13,233.12999999999997
11,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",44.96,1.5478228104114533,380.0939190387726,19.63,252.75999999999996
12,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",46.05,1.521084146499634,416.6184101104736,19.63,272.39
13,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",47.21,1.4354787421226505,452.6256113052368,19.69,292.08
14,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",44.26,1.5073712134361268,480.4019393920898,25.09,317.16999999999996
15,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",46.84,1.4386951673030852,516.4535386562347,19.63,336.79999999999995
16,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",47.59,1.4364500284194943,552.4517719745636,19.63,356.42999999999995
17,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",50.03,1.359375118017197,589.9639654159546,19.69,376.11999999999995
18,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",49.39,1.4080634319782257,630.2201931476593,26.2,402.31999999999994
19,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",47.59,1.4394646298885343,657.7876441478729,25.09,427.4099999999999
20,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",52.0,1.351190422773361,683.7794497013092,26.23,453.63999999999993
21,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",54.02,1.2687799662351609,717.7729246616364,25.22,478.8599999999999
22,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",51.36,1.3437521147727969,753.5574851036072,19.63,498.4899999999999
23,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",50.64,1.3578007590770722,780.8464593887329,25.09,523.5799999999999
24,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",53.91,1.2641864502429965,818.8642685413361,19.69,543.27
25,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",54.4,1.256575871706009,856.4664723873138,19.69,562.96
26,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",55.95,1.2108103704452515,889.8910286426544,25.22,588.1800000000001
27,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.75,1.2637141478061675,926.2405822277068,19.63,607.8100000000001
28,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",53.28,1.2797499841451645,953.8548872470856,25.09,632.9000000000001
29,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",55.5,1.2518168842792512,994.9782695770264,26.2,659.1000000000001
30,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.0,1.253729692697525,1031.1073575019836,19.63,678.7300000000001
31,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",56.52,1.231615619659424,1071.8807294368744,26.2,704.9300000000002
32,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.33,1.2281921339035031,1108.1169953346252,19.63,724.5600000000002
33,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.92,1.246913138628006,1144.3576889038086,19.63,744.1900000000002
34,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.97,1.242529468536377,1180.466906785965,19.63,763.8200000000002
35,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.56,1.2344800209999085,1217.1992738246918,19.63,783.4500000000002
36,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",57.74,1.1696083271503448,1254.1043803691864,19.69,803.1400000000002
37,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",59.95,1.121251540184021,1288.263700246811,25.22,828.3600000000002
38,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",59.6,1.1335442394018174,1322.0679595470428,25.22,853.5800000000003
39,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",60.24,1.1188046860694885,1354.6045684814453,25.22,878.8000000000003
40,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",57.98,1.1693151152133945,1390.442545890808,19.63,898.4300000000003
41,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",56.41,1.2097462540864945,1427.271900653839,19.63,918.0600000000003
42,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",57.1,1.190372551679611,1462.8476808071136,19.63,937.6900000000003
43,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",57.35,1.1936969131231308,1498.5155413150787,19.63,957.3200000000003
44,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",58.81,1.1464906305074691,1536.4682927131653,19.69,977.0100000000003
45,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",57.15,1.1918912595510482,1572.262764453888,19.63,996.6400000000003
46,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",57.39,1.2028485774993896,1609.588861465454,19.63,1016.2700000000003
47,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",61.2,1.10407827436924,1643.6709785461426,25.22,1041.4900000000002
48,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",58.08,1.1734411215782166,1679.381963968277,19.63,1061.1200000000003
49,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",57.4,1.2002237075567246,1715.6495995521543,19.63,1080.7500000000005
50,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",58.51,1.166758451461792,1742.4790074825287,26.23,1106.9800000000005
51,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",58.7,1.1586744385957717,1778.5406229496002,19.63,1126.6100000000006
52,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",58.82,1.143903399705887,1804.937852144241,26.23,1152.8400000000006
53,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",55.96,1.230726483464241,1838.0155460834503,28.13,1180.9700000000007
54,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",59.25,1.137992016673088,1874.3723607063291,19.63,1200.6000000000008
55,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",58.74,1.1585967260599137,1910.382519245148,19.63,1220.230000000001
56,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",58.41,1.1690365749597549,1946.1816256046293,19.63,1239.860000000001
57,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",61.67,1.081269993185997,1979.7067234516144,25.22,1265.080000000001
58,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",58.59,1.1562593638896943,2015.6809542179108,19.63,1284.7100000000012
59,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",62.29,1.07672332406044,2050.0136935710907,25.22,1309.9300000000012
60,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",59.1,1.164486386179924,2085.554175138473,19.63,1329.5600000000013
61,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",57.85,1.1958792948722838,2121.017797231674,28.13,1357.6900000000014
62,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",61.82,1.0969570380449296,2162.9651267528534,26.2,1383.8900000000015
63,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",60.58,1.1218044966459275,2199.453765153885,19.63,1403.5200000000016
64,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",62.59,1.0634866374731065,2235.920108318329,19.69,1423.2100000000016
65,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",61.66,1.0833427304029464,2261.9618792533875,26.23,1449.4400000000016
66,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",61.15,1.1000110340118407,2297.711776971817,19.63,1469.0700000000018
67,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",62.03,1.0863072454929352,2339.409939289093,26.2,1495.2700000000018
68,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",59.95,1.1299658435583115,2374.4995517730717,19.63,1514.900000000002
69,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",61.77,1.0889280849695206,2401.639991521836,26.23,1541.130000000002
70,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",58.49,1.182235677242279,2434.139970064163,28.13,1569.260000000002
71,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",60.23,1.1134176760911942,2470.826711177826,19.63,1588.8900000000021
72,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",57.84,1.2113923817873,2506.3520493507385,28.13,1617.0200000000023
