epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",15.74,2.4405788803100585,39.457077503204346,19.63,19.63
2,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",22.38,2.094547289609909,74.3644847869873,25.22,44.849999999999994
3,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",22.33,2.106239324808121,116.2095708847046,26.2,71.05
4,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",27.61,1.9646611273288728,153.8474600315094,19.63,90.67999999999999
5,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",32.26,1.843101531267166,191.12659406661987,19.63,110.30999999999999
6,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",33.71,1.817374777793884,228.0541708469391,19.63,129.94
7,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",37.93,1.65265726685524,266.5459308624268,19.69,149.63
8,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",39.04,1.6635600817203522,292.6717140674591,26.23,175.85999999999999
9,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",37.51,1.7217251980304715,326.84758472442627,28.13,203.98999999999998
10,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",43.19,1.573342694044113,366.6372306346893,19.63,223.61999999999998
11,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",43.95,1.5586421251296998,404.3530666828156,19.63,243.24999999999997
12,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",45.01,1.540293539762497,442.1648354530335,19.63,262.88
13,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",47.11,1.4843101406097412,484.5407223701477,26.2,289.08
14,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",49.32,1.4070957601070404,519.825713634491,25.22,314.29999999999995
15,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",46.32,1.490389028787613,557.3963520526886,19.63,333.92999999999995
16,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",46.12,1.480871069431305,584.5788359642029,25.09,359.0199999999999
17,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",50.46,1.373188225030899,623.323132276535,19.69,378.7099999999999
18,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",49.92,1.409989891052246,668.0153040885925,26.2,404.9099999999999
19,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",47.95,1.4295296204090118,696.4785702228546,25.09,429.9999999999999
20,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",49.98,1.3788247907161713,722.682088136673,26.23,456.2299999999999
21,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",54.57,1.2876135575771332,758.0461437702179,25.22,481.44999999999993
22,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",52.8,1.3310329043865203,794.9395861625671,19.63,501.0799999999999
23,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",51.75,1.3489674377441403,831.2045450210571,19.63,520.7099999999999
24,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",52.34,1.3304980492591858,868.3667697906494,19.63,540.3399999999999
25,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.25,1.3095190799236298,905.3324580192566,19.63,559.9699999999999
26,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",54.35,1.25844718337059,944.599092245102,19.69,579.66
27,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",56.28,1.223712433576584,979.8477482795716,25.22,604.88
28,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.8,1.2559745812416077,1018.3064653873444,19.63,624.51
29,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.2,1.275645560026169,1055.9885578155518,19.63,644.14
30,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.5,1.2898054921627045,1093.5913999080658,19.63,663.77
