epoch,selected_clients,accuracy,loss,run_time
1,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",12.98,3.025940318107605,16.761395692825317
2,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",22.08,2.496103947162628,44.041202545166016
3,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",13.91,2.346488296985626,70.92359900474548
4,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",14.36,2.50316436290741,94.85229301452637
5,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",23.96,2.238569940328598,117.64299535751343
6,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",23.03,2.546493136882782,134.8314950466156
7,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",27.39,1.8726622140407563,156.35783743858337
8,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",27.97,2.0421537363529207,176.24326038360596
9,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",38.89,1.692736347913742,200.31801342964172
10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",33.98,1.874006187915802,220.96530270576477
11,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",40.75,1.6779317665100097,239.17993927001953
12,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",33.16,1.7994252407550813,267.6806855201721
13,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",39.78,1.7130382335186005,280.9490168094635
14,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",24.76,2.093383356332779,296.84491205215454
15,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",35.63,1.7905739307403565,319.22653245925903
16,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",43.63,1.536540619134903,338.439635515213
17,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",36.5,1.8274395322799684,358.79099321365356
18,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",34.37,1.8134866046905518,376.27804231643677
19,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",36.44,1.820273768901825,400.13053488731384
