epoch,selected_clients,accuracy,loss,run_time
1,"[37, 95, 73, 59, 15, 5, 86, 60, 70, 1]",16.22,2.9455556225776673,22.294684410095215
2,[],21.08,2.2179482769966126,38.062750816345215
3,"[70, 15, 95, 59, 29, 45, 1, 97, 81, 30]",27.27,2.2195159339904786,54.092801094055176
4,"[29, 35, 45, 60, 81, 15, 70, 31, 51, 53]",19.07,2.5054682374000548,68.3307728767395
5,[],23.3,2.363259046077728,81.16800260543823
6,"[73, 30, 35, 32, 45, 29, 60, 8, 98, 78]",35.99,1.7777616882324219,93.31328797340393
7,"[4, 53, 78, 97, 5, 35, 51, 12, 85, 63]",21.33,2.30711567401886,106.85490679740906
8,"[30, 53, 32, 8, 95, 81, 45, 13, 71, 75]",32.19,2.17514187335968,119.39316844940186
9,"[45, 8, 73, 86, 63, 53, 29, 3, 62, 33]",33.83,1.8922729790210724,136.63298630714417
10,"[45, 71, 32, 51, 62, 15, 29, 28, 19, 92]",37.14,1.8659470057487488,146.71652173995972
11,[],30.06,1.8437392723560333,158.9537513256073
12,"[29, 15, 3, 18, 53, 73, 30, 16, 40, 93]",37.55,1.8961398220062256,172.42397570610046
13,"[32, 70, 35, 59, 18, 86, 4, 52, 36, 34]",32.99,1.8334435546398162,185.45506596565247
14,"[89, 98, 45, 4, 31, 34, 29, 54, 99, 25]",38.58,1.7137086594104767,211.0810043811798
15,"[97, 62, 34, 38, 30, 8, 45, 9, 82, 41]",41.3,1.5955428099632263,221.31430196762085
16,"[29, 53, 82, 35, 85, 4, 38, 21, 69, 46]",37.72,1.950819842815399,238.24779987335205
17,"[52, 11, 32, 25, 81, 4, 85, 80, 58, 57]",39.21,1.6414601945877074,249.3882977962494
18,"[34, 53, 3, 95, 15, 54, 81, 88, 77, 66]",45.92,1.4998843002319335,261.64227771759033
19,"[53, 29, 25, 36, 89, 11, 70, 0, 17, 55]",46.6,1.4716309297084809,275.12544083595276
20,"[35, 95, 34, 38, 63, 88, 36, 84, 67, 61]",46.63,1.579278244972229,285.722763299942
21,"[11, 32, 16, 34, 19, 99, 81, 64, 79, 48]",52.87,1.3040429735183716,302.1627447605133
22,"[60, 45, 4, 35, 16, 89, 46, 20, 94, 90]",46.09,1.495140073299408,316.79842233657837
23,"[32, 53, 81, 73, 71, 48, 30, 39, 76, 26]",44.92,1.6016403150558471,330.7898602485657
24,"[69, 45, 17, 8, 90, 11, 85, 96, 10, 47]",48.29,1.450175530910492,347.19256925582886
25,[],31.14,1.966748822927475,359.2336127758026
26,"[59, 35, 26, 62, 47, 30, 99, 6, 44, 2]",47.24,1.5584448981285095,370.2420997619629
27,"[0, 45, 15, 64, 89, 53, 35, 27, 14, 43]",43.4,1.576136783361435,385.36731243133545
28,"[21, 34, 36, 29, 89, 80, 64, 65, 91, 50]",48.61,1.4301764523983003,404.2115123271942
29,"[15, 97, 16, 63, 11, 53, 12, 68, 56, 24]",51.23,1.3734144425392152,418.05330753326416
30,"[43, 4, 77, 80, 40, 98, 16, 72, 49, 42]",43.87,1.567085611820221,431.4135799407959
31,"[65, 51, 34, 79, 70, 53, 69, 7, 23, 22]",48.61,1.4774993968009948,446.410893201828
32,"[23, 11, 73, 10, 0, 22, 67, 56, 53, 99]",53.81,1.2767764675617217,461.2635521888733
33,"[56, 82, 98, 85, 69, 29, 64, 89, 80, 66]",53.01,1.3094253808259964,481.26507449150085
34,"[59, 91, 65, 22, 45, 92, 27, 3, 69, 29]",44.77,1.6434281551837921,495.4038429260254
35,"[11, 89, 54, 29, 76, 48, 85, 77, 42, 36]",47.58,1.4704462468624115,509.67251348495483
36,"[80, 48, 38, 35, 77, 42, 36, 27, 99, 2]",55.59,1.237118758559227,526.9005970954895
37,"[8, 15, 25, 98, 0, 75, 11, 68, 63, 62]",52.34,1.3831006217002868,539.602233171463
38,"[30, 68, 51, 53, 48, 43, 72, 90, 46, 23]",50.09,1.399280641078949,560.7787580490112
39,"[77, 15, 64, 88, 21, 35, 4, 78, 89, 96]",40.97,1.7303806972503661,576.7811379432678
40,"[99, 60, 76, 4, 43, 78, 67, 11, 29, 56]",56.53,1.202149579524994,592.4211378097534
41,"[29, 88, 67, 3, 15, 8, 27, 5, 83, 22]",55.29,1.2519514030218124,602.6140551567078
42,"[29, 38, 90, 0, 68, 11, 23, 53, 15, 89]",52.22,1.3749854516983033,618.1759009361267
43,"[29, 64, 36, 95, 72, 2, 16, 83, 43, 87]",53.67,1.3421036386489869,629.8480596542358
44,"[53, 18, 89, 8, 15, 24, 11, 82, 20, 67]",54.46,1.3313622927665711,642.3859210014343
45,"[0, 26, 80, 8, 89, 16, 68, 62, 82, 77]",57.42,1.2376374143362046,654.5150375366211
46,"[69, 0, 79, 80, 11, 25, 27, 70, 63, 32]",47.59,1.5627636897563935,667.8245329856873
47,"[47, 85, 42, 52, 88, 75, 46, 82, 99, 68]",58.25,1.1850506627559663,681.455461025238
48,"[48, 89, 53, 76, 78, 49, 43, 59, 27, 97]",53.66,1.3003728425502776,697.0719335079193
49,"[88, 23, 79, 16, 89, 48, 98, 86, 45, 35]",54.91,1.2791646456718444,708.9336965084076
