epoch,selected_clients,accuracy,loss,run_time
1,"[62, 91, 88, 39, 27, 34, 59, 1]",10.91,4.404212934970856,27.121203184127808
2,"[82, 18, 36, 74, 12, 44, 16, 92, 99, 15]",22.82,3.4088135743141175,51.80793809890747
3,"[51, 30, 55, 35, 96, 4, 38, 63, 3, 65]",11.86,3.8166884684562685,77.45132184028625
4,"[26, 84, 47, 11, 67, 73, 89, 80, 52, 61]",19.56,2.552453510761261,92.86896634101868
5,"[41, 32, 64, 49, 31, 48, 58, 79, 45, 10]",18.54,2.8085956239700316,108.12878036499023
6,"[82, 92, 15, 87, 43, 44, 74, 12, 33, 16]",29.04,2.027950782775879,133.31588912010193
7,"[72, 77, 58, 41, 0, 66, 48, 42, 56, 64]",22.56,2.7382791352272036,152.27927422523499
8,"[98, 90, 67, 47, 57, 19, 84, 61, 23, 81]",18.73,2.9945615315437317,175.2593071460724
9,"[78, 21, 6, 24, 96, 5, 3, 30, 51, 70]",20.79,2.6190422868728636,208.3709716796875
10,"[1, 85, 53, 88, 34, 62, 97, 59, 54, 25]",26.49,2.0675232112407684,243.53344440460205
11,"[86, 53, 25, 50, 88, 34, 62, 59, 8, 93]",26.49,2.25231587767601,282.7095353603363
12,"[88, 93, 94, 53, 59, 62, 34, 8, 39, 1]",30.45,2.084310538768768,319.38912534713745
13,"[31, 41, 66, 56, 28, 72, 71, 10, 0, 68]",21.51,2.7323391795158387,337.75087785720825
14,"[52, 23, 47, 60, 81, 84, 29, 73, 11, 90]",28.58,2.1729156708717348,349.09652757644653
15,"[84, 81, 19, 26, 89, 14, 60, 98, 73, 11]",24.12,2.4756606888771056,375.3391366004944
16,"[27, 54, 8, 62, 97, 94, 85, 88, 86, 2]",28.05,2.269149835109711,406.9009590148926
17,"[66, 32, 56, 79, 17, 72, 48, 58, 45, 31]",30.49,2.0819140028953553,431.0920989513397
18,"[32, 72, 58, 31, 48, 68, 64, 79, 0, 45]",32.69,2.118718763589859,448.40440678596497
19,"[82, 92, 7, 18, 22, 99, 46, 44, 83, 15]",28.39,2.3153924560546875,468.54566764831543
20,"[94, 69, 2, 93, 97, 27, 85, 8, 54, 39]",41.22,1.712395111322403,491.26095962524414
21,"[44, 83, 16, 37, 46, 74, 13, 12, 15, 99]",38.85,1.9931582880020142,515.1385767459869
22,"[37, 18, 46, 12, 82, 87, 33, 44, 16, 74]",33.05,2.1035752642154693,538.486611366272
23,"[76, 5, 65, 9, 96, 63, 75, 4, 70, 24]",37.79,1.7601207327842712,568.4880697727203
24,"[7, 18, 22, 37, 92, 20, 43, 16, 74, 87]",38.02,1.7082870864868165,589.4971218109131
25,"[35, 95, 3, 30, 21, 9, 75, 51, 5, 4]",43.66,1.542448595762253,610.0378575325012
26,"[70, 76, 6, 5, 3, 4, 21, 35, 24, 96]",31.18,2.2426633644104004,632.4362330436707
27,"[66, 28, 56, 49, 68, 41, 64, 31, 58, 79]",33.63,1.9733104801177979,656.6462051868439
28,"[81, 80, 29, 60, 57, 52, 73, 90, 61, 67]",34.47,1.9303466522693633,668.1875960826874
29,"[4, 3, 55, 6, 76, 65, 30, 51, 35, 63]",26.96,2.4276490664482115,684.8519823551178
30,"[52, 19, 26, 61, 11, 81, 23, 90, 60, 40]",31.42,2.233272351026535,701.4288470745087
31,"[2, 1, 85, 93, 27, 97, 39, 88, 53, 34]",34.46,2.0046720921993257,735.902261018753
32,"[76, 9, 65, 78, 30, 38, 3, 5, 70, 55]",45.19,1.5364937174320221,765.8349161148071
33,"[62, 93, 39, 1, 34, 69, 85, 97, 53, 88]",38.33,1.7898293471336364,800.6981768608093
34,"[33, 99, 43, 46, 37, 7, 92, 82, 44, 87]",48.96,1.4662626194953918,827.9207677841187
35,"[15, 83, 33, 82, 12, 37, 46, 36, 74, 87]",47.18,1.4838206911087035,843.9195585250854
36,"[2, 69, 27, 88, 50, 25, 54, 1, 62, 94]",39.69,1.7342315685749055,877.059962272644
37,"[72, 56, 68, 71, 17, 42, 28, 49, 66, 48]",34.75,1.9996659982204437,899.8334062099457
38,"[70, 63, 24, 3, 9, 95, 30, 65, 75, 21]",42.28,1.587992045879364,924.4777674674988
39,"[71, 10, 42, 64, 49, 45, 58, 66, 17, 31]",33.39,2.001642314195633,942.8543970584869
40,"[26, 47, 80, 60, 84, 73, 57, 61, 11, 90]",47.0,1.4802899289131164,957.9154405593872
41,"[83, 92, 36, 12, 16, 74, 87, 82, 99, 44]",41.48,2.001900417804718,980.9797627925873
42,"[98, 40, 29, 11, 26, 57, 60, 23, 89, 61]",35.37,1.9352034497261048,1005.5739121437073
43,"[59, 69, 39, 62, 8, 53, 88, 93, 97, 34]",38.08,1.8499836993217469,1037.8407502174377
44,"[39, 54, 93, 94, 91, 34, 59, 2, 69, 85]",46.09,1.5079323995113372,1057.9603216648102
45,"[37, 99, 13, 16, 20, 36, 12, 46, 44, 87]",45.0,1.7436188197135924,1085.4287207126617
46,"[52, 98, 19, 14, 23, 60, 84, 81, 67, 89]",30.31,2.4855574059486387,1109.8089425563812
47,"[99, 82, 46, 87, 20, 33, 36, 92, 13, 12]",40.32,1.8494923079013825,1133.106505870819
48,"[81, 47, 89, 40, 80, 61, 19, 67, 29, 98]",38.82,1.897181090116501,1157.9092059135437
49,"[28, 79, 41, 0, 10, 66, 17, 32, 45, 71]",43.44,1.7588634443283082,1176.5128736495972
50,"[9, 30, 55, 95, 35, 76, 5, 78, 38, 6]",51.2,1.3612372052669526,1200.6248850822449
51,"[81, 19, 23, 40, 26, 89, 67, 98, 11, 47]",43.0,1.7262930619716643,1228.8074469566345
52,"[63, 55, 35, 6, 78, 38, 21, 3, 75, 24]",51.12,1.4390436279773713,1247.169363975525
53,"[51, 38, 75, 55, 35, 6, 30, 4, 5, 78]",51.54,1.318041859269142,1274.5595319271088
54,"[52, 90, 67, 23, 61, 73, 40, 98, 57, 84]",29.03,2.8810178661346435,1293.5605907440186
55,"[57, 19, 23, 84, 90, 26, 73, 81, 29, 11]",41.49,1.8931946444511414,1307.642648935318
56,"[14, 67, 11, 60, 80, 81, 90, 19, 61, 26]",40.57,1.8925084352493287,1324.4866189956665
57,"[94, 93, 69, 53, 86, 2, 62, 34, 85, 91]",47.21,1.5991771769523622,1352.1392912864685
58,"[16, 36, 37, 13, 83, 12, 99, 46, 74, 92]",44.23,1.8169414913654327,1374.2441666126251
59,"[7, 83, 44, 33, 18, 15, 36, 87, 99, 43]",49.89,1.5076441395282745,1396.9951384067535
60,"[2, 25, 54, 86, 93, 50, 53, 62, 85, 27]",53.36,1.4435732758045197,1425.0367829799652
61,"[27, 86, 39, 88, 25, 1, 59, 50, 62, 53]",46.11,1.712288690805435,1464.3015584945679
62,"[33, 46, 92, 82, 7, 44, 16, 43, 87, 83]",54.88,1.324420964717865,1488.6925954818726
63,"[10, 77, 28, 48, 42, 49, 58, 71, 17, 41]",37.85,1.9920641112327575,1504.164738893509
64,"[94, 53, 91, 93, 86, 2, 54, 50, 69, 59]",44.83,1.831947592496872,1534.6428489685059
65,"[92, 46, 37, 22, 18, 7, 43, 44, 12, 36]",58.44,1.2432753491401671,1555.3813290596008
66,"[5, 6, 78, 21, 63, 38, 24, 51, 55, 9]",55.91,1.261512753367424,1580.4889116287231
67,"[18, 12, 82, 36, 7, 44, 37, 92, 46, 22]",47.45,1.5220225644111633,1598.1296803951263
68,"[0, 42, 10, 68, 64, 56, 71, 48, 66, 28]",37.17,2.0610144555568697,1620.7276928424835
69,"[49, 77, 45, 17, 31, 56, 41, 42, 48, 0]",40.62,1.8763474416732788,1641.7421038150787
70,"[1, 91, 39, 69, 93, 97, 34, 62, 94, 2]",41.83,1.7572396183013916,1665.198080778122
71,"[70, 75, 55, 21, 24, 6, 78, 65, 38, 95]",53.85,1.3158736538887024,1691.6737546920776
72,"[81, 89, 19, 90, 60, 52, 11, 29, 84, 67]",42.82,1.7025630021095275,1708.3279404640198
73,"[0, 10, 77, 58, 41, 32, 71, 66, 42, 72]",37.84,2.0473659443855285,1723.5966818332672
74,"[70, 75, 76, 95, 35, 5, 78, 30, 24, 21]",51.14,1.3512601375579834,1749.4398486614227
75,"[5, 51, 35, 4, 70, 55, 78, 3, 96, 65]",37.24,2.0359642469882964,1781.7169988155365
76,"[35, 78, 9, 24, 4, 96, 55, 95, 38, 63]",48.11,1.6197332656383514,1808.5890567302704
77,"[84, 14, 57, 47, 52, 81, 73, 40, 19, 98]",32.72,2.8059627389907837,1829.0859410762787
78,"[0, 42, 17, 45, 64, 77, 58, 41, 56, 66]",44.7,1.7229671704769134,1853.1314504146576
79,"[85, 88, 93, 91, 69, 1, 62, 59, 86, 39]",52.22,1.4271982753276824,1889.506131887436
80,"[92, 37, 22, 46, 83, 20, 12, 74, 7, 16]",31.44,2.3834646272659303,1906.7685403823853
