epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[62, 91, 88, 39, 27, 34, 59, 1]",10.91,4.404212934970856,27.121203184127808,10.24,10.24
2,"[82, 18, 36, 74, 12, 44, 16, 92, 99, 15]",22.82,3.408813574314117,51.80793809890747,13.27,23.509999999999998
3,"[51, 30, 55, 35, 96, 4, 38, 63, 3, 65]",11.86,3.816688468456269,77.45132184028625,16.44,39.95
4,"[26, 84, 47, 11, 67, 73, 89, 80, 52, 61]",19.56,2.552453510761261,92.86896634101868,19.21,59.160000000000004
5,"[41, 32, 64, 49, 31, 48, 58, 79, 45, 10]",18.54,2.808595623970032,108.12878036499023,26.23,85.39
6,"[82, 92, 15, 87, 43, 44, 74, 12, 33, 16]",29.04,2.027950782775879,133.31588912010193,13.08,98.47
7,"[72, 77, 58, 41, 0, 66, 48, 42, 56, 64]",22.56,2.738279135227204,152.279274225235,26.23,124.7
8,"[98, 90, 67, 47, 57, 19, 84, 61, 23, 81]",18.73,2.994561531543732,175.2593071460724,19.67,144.37
9,"[78, 21, 6, 24, 96, 5, 3, 30, 51, 70]",20.79,2.619042286872864,208.3709716796875,16.44,160.81
10,"[1, 85, 53, 88, 34, 62, 97, 59, 54, 25]",26.49,2.0675232112407684,243.53344440460205,9.61,170.42000000000002
11,"[86, 53, 25, 50, 88, 34, 62, 59, 8, 93]",26.49,2.25231587767601,282.7095353603363,10.88,181.3
12,"[88, 93, 94, 53, 59, 62, 34, 8, 39, 1]",30.45,2.084310538768768,319.38912534713745,10.88,192.18
13,"[31, 41, 66, 56, 28, 72, 71, 10, 0, 68]",21.51,2.7323391795158387,337.75087785720825,28.13,220.31
14,"[52, 23, 47, 60, 81, 84, 29, 73, 11, 90]",28.58,2.1729156708717348,349.09652757644653,19.67,239.98000000000002
15,"[84, 81, 19, 26, 89, 14, 60, 98, 73, 11]",24.12,2.4756606888771056,375.3391366004944,19.13,259.11
16,"[27, 54, 8, 62, 97, 94, 85, 88, 86, 2]",28.05,2.269149835109711,406.9009590148926,10.88,269.99
17,"[66, 32, 56, 79, 17, 72, 48, 58, 45, 31]",30.49,2.0819140028953558,431.0920989513397,26.2,296.19
18,"[32, 72, 58, 31, 48, 68, 64, 79, 0, 45]",32.69,2.118718763589859,448.40440678596497,26.23,322.42
19,"[82, 92, 7, 18, 22, 99, 46, 44, 83, 15]",28.39,2.3153924560546875,468.5456676483154,13.35,335.77000000000004
20,"[94, 69, 2, 93, 97, 27, 85, 8, 54, 39]",41.22,1.712395111322403,491.26095962524414,10.88,346.65000000000003
21,"[44, 83, 16, 37, 46, 74, 13, 12, 15, 99]",38.85,1.9931582880020144,515.1385767459869,13.35,360.00000000000006
22,"[37, 18, 46, 12, 82, 87, 33, 44, 16, 74]",33.05,2.1035752642154693,538.486611366272,13.35,373.3500000000001
23,"[76, 5, 65, 9, 96, 63, 75, 4, 70, 24]",37.79,1.7601207327842712,568.4880697727203,16.15,389.50000000000006
24,"[7, 18, 22, 37, 92, 20, 43, 16, 74, 87]",38.02,1.7082870864868165,589.4971218109131,13.27,402.77000000000004
25,"[35, 95, 3, 30, 21, 9, 75, 51, 5, 4]",43.66,1.542448595762253,610.0378575325012,16.44,419.21000000000004
26,"[70, 76, 6, 5, 3, 4, 21, 35, 24, 96]",31.18,2.2426633644104004,632.4362330436707,16.44,435.65000000000003
27,"[66, 28, 56, 49, 68, 41, 64, 31, 58, 79]",33.63,1.9733104801177976,656.6462051868439,26.23,461.88000000000005
28,"[81, 80, 29, 60, 57, 52, 73, 90, 61, 67]",34.47,1.9303466522693635,668.1875960826874,19.67,481.55000000000007
29,"[4, 3, 55, 6, 76, 65, 30, 51, 35, 63]",26.96,2.4276490664482115,684.8519823551178,16.44,497.99000000000007
30,"[52, 19, 26, 61, 11, 81, 23, 90, 60, 40]",31.42,2.233272351026535,701.4288470745087,19.67,517.6600000000001
31,"[2, 1, 85, 93, 27, 97, 39, 88, 53, 34]",34.46,2.0046720921993257,735.902261018753,10.57,528.2300000000001
32,"[76, 9, 65, 78, 30, 38, 3, 5, 70, 55]",45.19,1.536493717432022,765.8349161148071,16.44,544.6700000000002
33,"[62, 93, 39, 1, 34, 69, 85, 97, 53, 88]",38.33,1.7898293471336364,800.6981768608093,10.57,555.2400000000002
34,"[33, 99, 43, 46, 37, 7, 92, 82, 44, 87]",48.96,1.4662626194953918,827.9207677841187,13.35,568.5900000000003
35,"[15, 83, 33, 82, 12, 37, 46, 36, 74, 87]",47.18,1.4838206911087035,843.9195585250854,13.35,581.9400000000003
36,"[2, 69, 27, 88, 50, 25, 54, 1, 62, 94]",39.69,1.7342315685749057,877.059962272644,10.27,592.2100000000003
37,"[72, 56, 68, 71, 17, 42, 28, 49, 66, 48]",34.75,1.999665998220444,899.8334062099457,28.13,620.3400000000003
38,"[70, 63, 24, 3, 9, 95, 30, 65, 75, 21]",42.28,1.587992045879364,924.4777674674988,16.44,636.7800000000003
39,"[71, 10, 42, 64, 49, 45, 58, 66, 17, 31]",33.39,2.001642314195633,942.8543970584868,28.13,664.9100000000003
40,"[26, 47, 80, 60, 84, 73, 57, 61, 11, 90]",47.0,1.4802899289131164,957.9154405593872,19.67,684.5800000000003
41,"[83, 92, 36, 12, 16, 74, 87, 82, 99, 44]",41.48,2.001900417804718,980.9797627925872,13.08,697.6600000000003
42,"[98, 40, 29, 11, 26, 57, 60, 23, 89, 61]",35.37,1.9352034497261048,1005.5739121437072,19.64,717.3000000000003
43,"[59, 69, 39, 62, 8, 53, 88, 93, 97, 34]",38.08,1.8499836993217469,1037.8407502174375,10.88,728.1800000000003
44,"[39, 54, 93, 94, 91, 34, 59, 2, 69, 85]",46.09,1.5079323995113372,1057.9603216648102,10.57,738.7500000000003
45,"[37, 99, 13, 16, 20, 36, 12, 46, 44, 87]",45.0,1.7436188197135924,1085.4287207126615,13.35,752.1000000000004
46,"[52, 98, 19, 14, 23, 60, 84, 81, 67, 89]",30.31,2.4855574059486387,1109.8089425563812,19.58,771.6800000000004
47,"[99, 82, 46, 87, 20, 33, 36, 92, 13, 12]",40.32,1.8494923079013823,1133.106505870819,13.35,785.0300000000004
48,"[81, 47, 89, 40, 80, 61, 19, 67, 29, 98]",38.82,1.897181090116501,1157.9092059135437,19.64,804.6700000000004
49,"[28, 79, 41, 0, 10, 66, 17, 32, 45, 71]",43.44,1.7588634443283082,1176.5128736495972,28.13,832.8000000000004
50,"[9, 30, 55, 95, 35, 76, 5, 78, 38, 6]",51.2,1.3612372052669526,1200.6248850822449,16.11,848.9100000000004
51,"[81, 19, 23, 40, 26, 89, 67, 98, 11, 47]",43.0,1.7262930619716643,1228.8074469566343,19.64,868.5500000000004
52,"[63, 55, 35, 6, 78, 38, 21, 3, 75, 24]",51.12,1.4390436279773713,1247.169363975525,16.44,884.9900000000005
53,"[51, 38, 75, 55, 35, 6, 30, 4, 5, 78]",51.54,1.318041859269142,1274.5595319271088,16.15,901.1400000000004
