epoch,selected_clients,accuracy,loss,run_time
1,"[1, 34, 39, 50, 54, 62, 69, 88, 91, 97]",19.88,2.156514296531677,25.665236234664917
2,"[2, 8, 25, 27, 53, 59, 85, 86, 93, 94]",27.42,1.9532108771800996,50.52866172790527
3,"[7, 12, 13, 15, 16, 37, 43, 74, 82, 99]",34.62,1.748309029340744,75.20309972763062
4,"[18, 20, 22, 33, 36, 44, 46, 83, 87, 92]",39.62,1.6225570702552796,98.82143783569336
5,"[24, 38, 51, 55, 63, 65, 70, 76, 78, 96]",42.27,1.5556831467151642,122.64621067047119
6,"[3, 4, 5, 6, 9, 21, 30, 35, 75, 95]",42.44,1.5280114018917084,148.18388676643372
7,"[11, 14, 19, 47, 57, 60, 67, 80, 81, 89]",46.63,1.4587351536750794,173.07200050354004
8,"[23, 26, 29, 40, 52, 61, 73, 84, 90, 98]",48.38,1.4153110015392303,196.594078540802
9,"[10, 17, 31, 41, 49, 56, 58, 66, 72, 77]",48.14,1.436069540977478,220.7851047515869
10,"[0, 28, 32, 42, 45, 48, 64, 68, 71, 79]",50.46,1.3646058630943299,245.42048597335815
11,"[1, 34, 39, 50, 54, 62, 69, 88, 91, 97]",50.69,1.3475465834140778,271.3710517883301
12,"[2, 8, 25, 27, 53, 59, 85, 86, 93, 94]",52.09,1.3259594178199767,295.6620774269104
13,"[7, 12, 13, 15, 16, 37, 43, 74, 82, 99]",52.9,1.2964823126792908,320.48045468330383
14,"[18, 20, 22, 33, 36, 44, 46, 83, 87, 92]",53.94,1.2828280341625213,345.10867619514465
15,"[24, 38, 51, 55, 63, 65, 70, 76, 78, 96]",54.96,1.2462154310941695,370.7324552536011
16,"[3, 4, 5, 6, 9, 21, 30, 35, 75, 95]",54.48,1.261361044049263,396.36413073539734
17,"[11, 14, 19, 47, 57, 60, 67, 80, 81, 89]",56.93,1.192191619873047,421.40236043930054
18,"[23, 26, 29, 40, 52, 61, 73, 84, 90, 98]",56.94,1.2041245126724243,446.3777163028717
19,"[10, 17, 31, 41, 49, 56, 58, 66, 72, 77]",57.92,1.1823843729496002,470.1769526004791
20,"[1, 34, 39, 50, 54, 62, 69, 88, 91, 97]",59.01,1.1516878360509872,495.74083852767944
21,"[0, 28, 32, 42, 45, 48, 64, 68, 71, 79]",58.51,1.1597220242023467,522.2415382862091
22,"[18, 20, 22, 33, 36, 44, 46, 83, 87, 92]",59.54,1.1498345965147019,546.8752353191376
23,"[24, 38, 51, 55, 63, 65, 70, 76, 78, 96]",60.03,1.1311918210983276,572.0767757892609
24,"[7, 12, 13, 15, 16, 37, 43, 74, 82, 99]",60.2,1.1303169983625412,598.0710210800171
25,"[2, 8, 25, 27, 53, 59, 85, 86, 93, 94]",60.94,1.105089294910431,622.4625716209412
26,"[3, 4, 5, 6, 9, 21, 30, 35, 75, 95]",60.48,1.116987833380699,646.9071011543274
27,"[23, 26, 29, 40, 52, 61, 73, 84, 90, 98]",61.44,1.090338190793991,671.4000742435455
28,"[11, 14, 19, 47, 57, 60, 67, 80, 81, 89]",62.38,1.0706667274236679,697.3410007953644
29,"[1, 34, 39, 50, 54, 62, 69, 88, 91, 97]",62.17,1.067788052558899,721.8625109195709
30,"[10, 17, 31, 41, 49, 56, 58, 66, 72, 77]",63.19,1.044920483827591,746.4060664176941
31,"[18, 20, 22, 33, 36, 44, 46, 83, 87, 92]",63.11,1.0684966254234314,771.4017524719238
32,"[0, 28, 32, 42, 45, 48, 64, 68, 71, 79]",63.64,1.0311519467830659,796.427321434021
33,"[24, 38, 51, 55, 63, 65, 70, 76, 78, 96]",64.66,1.0187125104665755,821.3631749153137
34,"[7, 12, 13, 15, 16, 37, 43, 74, 82, 99]",63.82,1.0228989511728286,846.5356111526489
35,"[3, 4, 5, 6, 9, 21, 30, 35, 75, 95]",64.88,1.0148324650526046,870.9837727546692
36,"[23, 26, 29, 40, 52, 61, 73, 84, 90, 98]",64.94,1.0134333914518356,896.3525612354279
37,"[1, 34, 39, 50, 54, 62, 69, 88, 91, 97]",64.32,1.020968805551529,921.6357042789459
38,"[2, 8, 25, 27, 53, 59, 85, 86, 93, 94]",64.71,1.0281215155124663,945.8919615745544
39,"[11, 14, 19, 47, 57, 60, 67, 80, 81, 89]",65.99,0.9886127203702927,970.3885045051575
40,"[10, 17, 31, 41, 49, 56, 58, 66, 72, 77]",65.42,0.9931268060207367,995.2660636901855
41,"[18, 20, 22, 33, 36, 44, 46, 83, 87, 92]",65.52,1.0030546706914902,1019.8802115917206
42,"[24, 38, 51, 55, 63, 65, 70, 76, 78, 96]",66.63,0.971518698334694,1044.8152604103088
43,"[0, 28, 32, 42, 45, 48, 64, 68, 71, 79]",66.34,0.9790857470035553,1069.7894072532654
44,"[1, 34, 39, 50, 54, 62, 69, 88, 91, 97]",66.11,0.9820205569267273,1095.0614829063416
45,"[3, 4, 5, 6, 9, 21, 30, 35, 75, 95]",66.6,0.9736373740434646,1119.9991929531097
46,"[23, 26, 29, 40, 52, 61, 73, 84, 90, 98]",66.55,0.9683162200450898,1145.2021543979645
