epoch,selected_clients,accuracy,loss,run_time
1,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",19.57,2.20798303604126,31.286773681640625
2,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",26.13,1.9670632219314574,68.01105213165283
3,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",34.19,1.754177190065384,105.21618914604187
4,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",36.74,1.6708101844787597,142.74177765846252
5,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",40.95,1.5845388412475585,179.75509524345398
6,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",42.18,1.5539741444587707,216.9173765182495
7,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",46.38,1.4608619844913482,253.11975622177124
8,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",46.12,1.433970799446106,284.49910593032837
9,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",47.7,1.4245847499370574,314.83318424224854
10,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",48.95,1.4146587455272674,346.52608251571655
11,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.49,1.3773224329948426,383.80198526382446
12,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",50.52,1.3624385619163513,420.3112576007843
13,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",53.46,1.2877526152133942,455.9482901096344
14,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",53.52,1.2837499821186065,484.6045973300934
15,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",53.3,1.2891760098934173,521.279639005661
16,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",53.91,1.2787885880470276,559.7749314308167
17,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",55.6,1.2300764906406403,594.5335459709167
18,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",56.49,1.215405249595642,631.7837107181549
19,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",57.45,1.2001835250854491,661.3296718597412
20,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",57.54,1.179597254395485,692.3783621788025
21,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",58.29,1.1648567140102386,725.97669672966
22,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.7,1.1609086525440215,761.9617025852203
23,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",59.59,1.1546567296981811,790.6721749305725
24,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",59.68,1.1297956889867782,827.1116771697998
25,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",60.27,1.1224670726060868,862.9407269954681
26,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",61.03,1.1067823296785355,899.9677882194519
27,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.61,1.1124707800149918,937.0856087207794
28,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",61.36,1.094465646147728,965.4593272209167
29,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",62.08,1.0683525788784027,1003.4488368034363
30,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.04,1.0829035371541977,1040.1347131729126
31,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",62.31,1.0614471250772477,1079.2165758609772
32,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.93,1.0823992067575454,1116.4911148548126
33,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.77,1.0896499544382094,1153.915105342865
34,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.91,1.0991834110021592,1190.6463582515717
35,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.19,1.1112639677524567,1227.0567095279694
36,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",63.79,1.0471032470464707,1264.0130362510681
37,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",64.12,1.0513118940591812,1300.2044298648834
38,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",63.99,1.044373374581337,1336.0422978401184
39,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",64.45,1.0481228786706924,1371.0702679157257
40,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.06,1.0479170513153075,1407.9155139923096
41,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.91,1.0684636026620864,1446.0914430618286
42,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.03,1.0716990685462953,1484.5283963680267
43,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.14,1.0824514812231063,1522.4414575099945
44,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",64.99,1.0209605747461319,1560.0940597057343
45,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.93,1.055914447903633,1597.561259508133
46,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.44,1.0704515254497529,1632.5950429439545
47,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",65.3,1.0266950970888138,1668.9190073013306
48,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",65.26,1.0560271346569061,1706.8207716941833
49,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.69,1.1004878002405167,1745.1515901088715
50,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",65.28,1.0222525370121003,1776.5387978553772
51,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",65.33,1.0649049764871596,1814.3365800380707
52,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",65.47,1.024400468468666,1845.8186628818512
53,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",65.97,1.0156222742795944,1875.469041109085
54,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",66.47,1.0145200484991073,1913.3877391815186
55,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",66.14,1.053424072265625,1950.8705432415009
56,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",65.43,1.0655019545555116,1987.8001382350922
57,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",66.82,1.002505384683609,2024.4395711421967
58,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",66.13,1.0487342810630798,2061.6401946544647
