epoch,selected_clients,accuracy,loss,run_time
1,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",15.52,2.226593885421753,36.51871061325073
2,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",28.26,1.9638306379318238,71.16425275802612
3,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",34.46,1.7651721322536469,108.35800313949585
4,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",36.32,1.6680190670490265,145.17707800865173
5,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",40.81,1.5774417066574096,181.88581919670105
6,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",42.26,1.5418210518360138,218.62611889839172
7,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",45.95,1.4598659253120423,255.29333782196045
8,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",47.09,1.4274487292766571,286.7569761276245
9,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",48.11,1.4179042983055115,316.669203042984
10,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.28,1.383384985923767,352.7834265232086
11,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.17,1.392191494703293,388.9429862499237
12,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.52,1.3848705720901489,426.03186988830566
13,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",51.11,1.3541995942592622,463.52346324920654
14,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",52.75,1.2853571408987046,500.6040825843811
15,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",52.64,1.3069508576393127,537.6092050075531
16,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",52.8,1.3196751523017882,577.8777070045471
17,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",54.96,1.2514679205417634,607.4886918067932
18,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",55.8,1.2166174864768982,648.5620291233063
19,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",57.47,1.1841818106174469,689.8901805877686
20,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",57.15,1.1989170801639557,719.5289869308472
21,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",57.39,1.1781458741426467,752.1003448963165
22,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",58.92,1.1657802683115006,793.6045503616333
23,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.39,1.1663040333986283,834.6636590957642
24,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.47,1.1800266176462173,873.816486120224
25,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.67,1.1807811498641967,912.3991079330444
26,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.37,1.1944604581594467,951.57080078125
27,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.92,1.179157119989395,990.1557321548462
28,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.4,1.1898848879337312,1029.9829001426697
29,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",60.08,1.1557176744937896,1063.6000809669495
30,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.84,1.1605973035097121,1103.122056722641
31,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.06,1.1787932032346726,1143.8273994922638
32,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.6,1.1796481275558472,1184.0336291790009
33,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.84,1.1825037902593614,1224.0093142986298
34,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.71,1.1813002240657806,1263.6029031276703
35,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",62.02,1.1036638563871384,1305.817885875702
36,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.36,1.1461337327957153,1344.315141916275
37,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.65,1.176177659034729,1384.481913805008
38,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.92,1.1720489239692689,1424.0397288799286
39,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.48,1.1891834622621535,1463.591999053955
40,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",62.81,1.0866220849752426,1502.6384489536285
41,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.13,1.14949505507946,1541.7948653697968
42,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",63.15,1.0670788186788558,1581.7494368553162
43,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.97,1.1239848744869232,1622.3216536045074
44,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.86,1.1654273164272309,1661.9065172672272
45,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.5,1.158531191945076,1700.600442647934
46,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.69,1.1917877900600433,1739.310313463211
47,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.9,1.2016153472661972,1780.0353753566742
48,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",63.76,1.063928542137146,1820.049931526184
49,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.01,1.1715516614913941,1860.3989880084991
50,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.19,1.177835778594017,1899.5840306282043
51,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",64.6,1.055133389234543,1939.5732395648956
