epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",15.57,2.3808076667785643,47.06891322135925,25.14,25.14
2,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",23.75,2.077378969192505,91.58533906936646,26.23,51.370000000000005
3,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",30.11,1.841461856365204,137.59919023513794,28.13,79.5
4,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",32.27,1.8337789142131808,180.73762607574463,25.09,104.59
5,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",36.87,1.7025186932086944,221.012907743454,26.2,130.79
6,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",40.05,1.6449342930316926,258.6125228404999,26.2,156.98999999999998
7,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",37.4,1.7463802361488343,301.930379152298,25.8,182.79
8,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",40.71,1.6298204398155212,348.0747950077057,26.2,208.98999999999998
9,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",44.79,1.4988816630840305,392.6434192657471,25.55,234.54
10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",44.93,1.5134808135032654,431.9097216129303,26.2,260.74
11,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",45.53,1.483664915561676,477.85607957839966,28.13,288.87
12,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",43.93,1.5379838490486144,524.8983392715454,22.75,311.62
13,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",47.06,1.5091481912136078,568.6521298885345,28.13,339.75
14,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",49.47,1.3970434713363646,613.6758563518524,25.14,364.89
15,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",48.17,1.441382921934128,653.7248697280884,18.17,383.06
16,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",50.33,1.3750147581100465,698.8709042072296,26.2,409.26
17,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",50.21,1.411680784225464,744.829877614975,25.22,434.48
18,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",49.66,1.3865322542190552,788.4002275466919,26.23,460.71000000000004
19,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",48.81,1.4468475115299224,830.8239822387695,26.23,486.94000000000005
20,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",52.09,1.371964305639267,876.0872919559479,25.09,512.0300000000001
21,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",50.53,1.3650554299354554,917.0076456069946,25.22,537.2500000000001
22,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",50.94,1.4195274257659911,963.0486686229706,20.38,557.6300000000001
23,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",54.1,1.294886953830719,1006.9096343517303,14.43,572.0600000000001
24,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",51.92,1.3178916847705842,1042.887714624405,25.14,597.2
25,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",55.63,1.2589041274785997,1082.7439019680023,25.14,622.34
26,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",53.92,1.3028253865242003,1124.1920478343964,22.75,645.09
27,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",55.35,1.2755028742551804,1167.369010925293,20.0,665.09
28,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",57.88,1.174665049910545,1208.9683616161346,25.55,690.64
29,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",57.27,1.1987172269821167,1245.8722479343414,20.0,710.64
30,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",56.33,1.249606699347496,1279.8860845565796,25.22,735.86
31,"[56, 70, 12, 6, 83, 69, 1, 11, 96, 30]",56.8,1.2132276648283005,1321.2956936359406,21.04,756.9
32,"[21, 52, 62, 61, 27, 51, 7, 48, 0, 49]",57.96,1.2025199323892592,1355.6910247802734,26.2,783.1
33,"[33, 58, 36, 54, 89, 93, 71, 84, 91, 62]",56.36,1.2722226250171662,1400.4214689731598,28.13,811.23
34,"[19, 24, 37, 27, 7, 74, 94, 69, 95, 40]",57.78,1.1910773825645449,1444.6614985466003,19.64,830.87
35,"[7, 6, 74, 61, 64, 67, 20, 65, 10, 23]",59.05,1.176588672399521,1479.6154551506042,26.23,857.1
36,"[8, 76, 86, 30, 51, 15, 72, 31, 74, 5]",59.06,1.1723776721954349,1517.785962820053,22.75,879.85
37,"[79, 10, 53, 84, 74, 72, 66, 40, 33, 26]",57.67,1.187951355576515,1559.8677115440369,25.8,905.65
38,"[85, 91, 40, 30, 33, 50, 16, 82, 38, 58]",58.33,1.1802611136436465,1603.7139925956726,22.18,927.8299999999999
39,"[40, 96, 9, 1, 58, 79, 72, 12, 68, 27]",59.11,1.1458008569478988,1646.1252670288086,25.8,953.6299999999999
40,"[64, 33, 16, 44, 8, 31, 47, 36, 20, 56]",60.57,1.1281963765621186,1679.5079464912417,26.23,979.8599999999999
41,"[69, 90, 38, 78, 83, 67, 1, 85, 70, 84]",58.92,1.2094211053848267,1724.0517556667328,19.67,999.5299999999999
42,"[13, 17, 33, 14, 95, 70, 19, 34, 36, 77]",60.83,1.1251187908649445,1771.5080914497375,20.38,1019.9099999999999
43,"[26, 91, 43, 87, 81, 33, 64, 62, 32, 6]",60.78,1.0949971640110017,1817.6189982891085,26.23,1046.1399999999999
44,"[11, 81, 54, 35, 5, 0, 42, 98, 16, 33]",58.81,1.2412644469738006,1862.5564386844635,25.09,1071.2299999999998
45,"[20, 94, 56, 70, 90, 54, 71, 1, 14, 9]",59.18,1.1716254329681397,1909.073210000992,28.13,1099.36
46,"[88, 19, 69, 4, 47, 74, 70, 18, 55, 16]",59.98,1.2061042588949205,1950.930228948593,18.17,1117.53
47,"[5, 39, 46, 45, 26, 87, 31, 85, 13, 99]",62.67,1.0736134052276611,1997.5653991699216,25.55,1143.08
48,"[71, 52, 79, 95, 19, 30, 20, 22, 3, 94]",62.75,1.0746288573741911,2045.1965363025663,28.13,1171.21
49,"[42, 52, 85, 94, 31, 34, 20, 89, 13, 48]",63.85,1.0544044125080108,2092.1069271564484,26.2,1197.41
50,"[4, 60, 28, 25, 58, 44, 39, 29, 3, 84]",63.11,1.0727115619182586,2135.15597820282,25.14,1222.5500000000002
51,"[24, 51, 42, 35, 8, 98, 44, 82, 65, 86]",63.56,1.0423420256376266,2179.3262345790863,22.75,1245.3000000000002
52,"[68, 42, 3, 14, 33, 22, 74, 4, 13, 76]",63.54,1.053016965985298,2215.038990736008,25.22,1270.5200000000002
53,"[55, 44, 93, 40, 77, 65, 14, 49, 73, 24]",61.44,1.1033632522821426,2255.8342022895813,22.24,1292.7600000000002
54,"[32, 5, 90, 55, 0, 66, 68, 87, 92, 94]",62.64,1.0754748833179475,2303.3968334198,25.22,1317.9800000000002
55,"[94, 85, 25, 46, 55, 8, 42, 79, 40, 84]",63.27,1.0772222018241882,2349.789228916168,25.8,1343.7800000000002
56,"[15, 92, 38, 64, 39, 85, 52, 41, 51, 89]",63.47,1.066031495332718,2394.7810015678406,26.23,1370.0100000000002
57,"[37, 70, 16, 24, 53, 85, 48, 86, 95, 22]",63.65,1.0943791788816453,2441.763018131256,26.2,1396.2100000000003
58,"[78, 72, 38, 51, 70, 0, 36, 26, 55, 74]",63.44,1.0551849567890168,2482.1463961601257,25.09,1421.3000000000002
59,"[77, 83, 41, 59, 56, 86, 27, 65, 60, 94]",63.15,1.0925164359807968,2529.875348567962,21.04,1442.3400000000001
60,"[21, 84, 10, 36, 65, 81, 79, 42, 11, 96]",63.0,1.1107878702878953,2573.814447402954,25.8,1468.14
61,"[30, 86, 39, 28, 25, 18, 3, 5, 31, 60]",64.6,1.0527421420812606,2613.803351163864,25.14,1493.2800000000002
62,"[78, 98, 9, 58, 53, 80, 73, 24, 91, 89]",64.83,1.031332859992981,2660.169127941132,22.18,1515.4600000000003
63,"[49, 63, 51, 31, 18, 83, 88, 0, 96, 98]",65.24,1.0379887920618058,2704.6145646572118,25.09,1540.5500000000002
64,"[13, 99, 54, 28, 22, 89, 66, 59, 6, 71]",64.74,1.0250001537799835,2750.93571138382,28.13,1568.6800000000003
65,"[31, 15, 58, 17, 59, 85, 67, 71, 76, 40]",64.94,1.05378238260746,2790.622157096863,28.13,1596.8100000000004
66,"[96, 56, 78, 92, 64, 54, 70, 57, 20, 95]",64.95,1.0536315083503722,2834.76726102829,26.23,1623.0400000000004
67,"[60, 57, 33, 96, 31, 81, 35, 98, 99, 66]",64.48,1.0347845935821534,2881.7089750766754,20.64,1643.6800000000005
68,"[62, 80, 30, 35, 56, 9, 91, 36, 34, 42]",67.08,0.9492443883419036,2926.451264858246,22.75,1666.4300000000005
69,"[40, 69, 10, 17, 19, 29, 49, 88, 90, 27]",62.99,1.1137937742471695,2967.6158056259155,22.24,1688.6700000000005
70,"[8, 53, 52, 42, 69, 59, 7, 26, 49, 98]",64.86,1.0441990602016449,3011.8872723579407,22.75,1711.4200000000005
71,"[74, 89, 2, 97, 73, 48, 61, 0, 45, 38]",65.63,1.0388193690776826,3054.762466669082,26.2,1737.6200000000006
