epoch,selected_clients,accuracy,loss,run_time
1,"[37, 95, 73, 59, 15, 5, 86, 60, 70, 1]",14.93,2.279718568325043,26.55421233177185
2,"[86, 60, 1, 73, 95, 29, 61, 14, 35, 46]",27.68,1.9201329457759857,58.76628494262695
3,"[60, 14, 73, 61, 70, 62, 18, 7, 94, 97]",30.68,1.9063459300994874,88.74381566047668
4,"[94, 29, 1, 95, 14, 12, 49, 3, 89, 26]",37.74,1.6363838994503022,126.33431816101074
5,"[61, 70, 1, 29, 59, 96, 78, 92, 88, 58]",40.8,1.6467381370067598,158.06816601753235
6,"[61, 3, 18, 26, 1, 39, 27, 80, 34, 28]",43.1,1.5401397275924682,195.24453353881836
7,"[29, 39, 78, 3, 95, 75, 20, 0, 79, 68]",43.65,1.555869641304016,225.18948602676392
8,"[37, 46, 14, 34, 60, 57, 33, 8, 32, 71]",45.46,1.5020992517471314,252.6548330783844
9,"[5, 61, 94, 3, 86, 74, 53, 76, 50, 51]",48.69,1.409542579650879,281.09691882133484
10,"[53, 26, 39, 34, 73, 47, 90, 23, 41, 72]",45.76,1.4987123262882234,318.92814779281616
11,"[70, 3, 39, 18, 59, 82, 63, 85, 17, 87]",50.18,1.3956506800651551,354.3994674682617
12,"[70, 41, 78, 14, 3, 21, 40, 77, 83, 2]",49.45,1.4725950789451598,386.49982142448425
13,"[29, 34, 53, 1, 35, 98, 30, 45, 64, 31]",54.15,1.2733197224140167,415.71693754196167
14,"[72, 85, 89, 41, 87, 22, 6, 54, 44, 24]",54.5,1.2750419694185258,445.7138168811798
15,"[2, 34, 18, 94, 27, 19, 65, 69, 16, 67]",52.03,1.3752026236057282,479.37273716926575
16,"[34, 15, 33, 39, 97, 36, 11, 4, 52, 56]",55.14,1.2641783452033997,506.89341926574707
17,"[26, 65, 14, 29, 53, 81, 42, 99, 13, 10]",54.47,1.2912844026088715,540.8048453330994
