epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",25.05,2.2416360998153686,4.379693269729614,2.58,2.58
2,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",34.76,1.977922285795212,6.477185249328613,3.27,5.85
3,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",22.41,1.7995247483253478,8.543158292770386,4.49,10.34
4,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",37.19,1.4965715312957764,10.641382217407228,6.1,16.439999999999998
5,"[12, 21, 55, 63, 68, 75, 87, 95]",55.29,1.209021909236908,12.463164567947388,7.56,23.999999999999996
6,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",52.83,1.185178371667862,14.309749364852903,8.19,32.19
7,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",49.73,1.2766946017742158,16.242035388946533,8.65,40.839999999999996
8,"[0, 14, 17, 30, 66, 70, 76, 92, 96]",58.74,1.0433758473396302,18.168259143829346,9.3,50.14
9,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",59.22,1.0024466603994369,20.042640447616577,11.29,61.43
10,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",58.88,1.005758020877838,22.0441415309906,12.1,73.53
11,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",52.45,1.1005019307136537,23.717140674591064,2.58,76.11
12,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",64.95,0.905737408399582,25.48375701904297,3.27,79.38
13,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",60.19,0.9460011959075928,27.28735303878784,6.1,85.47999999999999
14,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",66.73,0.8801368027925491,29.07249879837036,4.49,89.96999999999998
15,"[12, 21, 55, 63, 68, 75, 87, 95]",70.08,0.8417017811536789,30.69545078277588,7.56,97.52999999999999
16,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",64.23,0.9097090309858322,32.32758688926697,8.19,105.71999999999998
17,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",59.55,0.929812896847725,34.23387002944946,6.1,111.81999999999998
18,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",64.46,0.9307478427886964,36.13631677627564,8.65,120.46999999999998
19,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",67.19,0.8273153132200242,37.832228660583496,11.29,131.76
20,"[0, 14, 17, 30, 66, 70, 76, 92, 96]",68.8,0.8354822009801864,39.45183205604553,9.3,141.06
21,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",63.36,0.8655965828895569,41.273446798324585,6.1,147.16
22,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",68.73,0.794014543890953,42.993733406066895,3.27,150.43
23,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",61.08,0.9128304827213288,44.6337161064148,2.58,153.01000000000002
24,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",67.94,0.8018114930391311,46.28665256500244,12.1,165.11
25,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",66.55,0.8188700520992279,48.04649567604065,6.1,171.21
26,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",70.88,0.7542011588811874,49.81015610694885,4.49,175.70000000000002
27,"[12, 21, 55, 63, 68, 75, 87, 95]",71.9,0.750967824459076,51.2914342880249,7.56,183.26000000000002
28,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",67.18,0.7974775499105453,53.08509683609009,6.1,189.36
29,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",68.56,0.7903908598423004,54.78471326828003,8.19,197.55
30,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",71.36,0.7360530948638916,56.54869484901428,3.27,200.82000000000002
31,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",69.31,0.832251860499382,58.22388052940369,8.65,209.47000000000003
32,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",65.93,0.8124763476848602,60.05471539497376,6.1,215.57000000000002
33,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",70.8,0.7282086426019668,61.71135091781616,11.29,226.86
34,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",68.42,0.7788337287306786,63.740047216415405,6.1,232.96
