epoch,selected_clients,accuracy,loss,run_time
1,"[34, 71, 87, 36, 11, 32, 26, 29, 72, 51]",27.77,2.3299576592445375,3.1607892513275146
2,"[87, 36, 71, 26, 29, 7, 81, 93, 33, 30]",27.67,2.3830912828445436,4.895124197006226
3,"[26, 81, 71, 36, 32, 15, 92, 52, 77, 0]",27.74,2.5667370533943177,6.560285806655884
4,"[71, 11, 52, 93, 34, 82, 86, 42, 41, 91]",35.99,1.9964457738399506,8.011840581893921
5,"[82, 7, 30, 32, 81, 35, 20, 9, 8, 74]",33.02,1.8764814293384553,9.265543937683105
6,"[87, 71, 7, 51, 9, 70, 57, 88, 58, 89]",40.91,1.7673174524307251,10.541840076446533
7,"[88, 57, 71, 36, 86, 46, 62, 75, 78, 23]",35.01,1.8046209275722505,11.73983383178711
8,"[62, 8, 72, 33, 26, 85, 48, 68, 44, 53]",42.49,1.4851259982585907,13.152812004089355
9,"[26, 35, 44, 78, 77, 80, 95, 76, 47, 18]",40.16,1.4517125165462494,15.055968999862671
10,"[52, 36, 86, 78, 95, 59, 31, 6, 67, 37]",47.77,1.4768141627311706,16.715277671813965
11,"[62, 85, 36, 29, 15, 38, 12, 1, 55, 19]",37.09,1.41167294383049,18.386579751968384
12,"[93, 6, 55, 41, 53, 40, 43, 97, 39, 10]",47.77,1.2360373628139496,20.1233913898468
13,"[67, 41, 71, 74, 44, 17, 96, 60, 24, 27]",48.89,1.267176125049591,21.747512102127075
14,"[37, 47, 26, 80, 62, 14, 49, 98, 50, 16]",45.73,1.3025876808166503,23.520294666290283
15,"[76, 36, 81, 16, 78, 22, 2, 5, 90, 54]",46.6,1.219100536108017,25.12306261062622
16,"[48, 19, 78, 43, 86, 79, 69, 13, 3, 61]",62.19,1.0336414366960525,26.567477226257324
17,"[89, 50, 27, 1, 5, 4, 64, 25, 94, 28]",51.73,1.2681875950098038,28.065249919891357
18,"[25, 50, 42, 17, 5, 73, 83, 45, 99, 66]",48.56,1.253902086019516,29.836878299713135
19,"[49, 1, 62, 75, 86, 21, 63, 65, 84, 56]",53.61,1.1436222904920579,31.25503158569336
20,"[93, 70, 53, 11, 12, 46, 95, 60, 83, 68]",53.95,1.1716199308633803,32.82979679107666
21,"[69, 70, 12, 11, 45, 55, 97, 26, 52, 84]",56.98,1.019518746137619,34.513044595718384
22,"[27, 97, 93, 77, 76, 24, 98, 35, 55, 79]",59.13,1.109117158651352,36.21499466896057
23,"[73, 5, 55, 42, 99, 40, 37, 77, 74, 75]",52.61,1.2855065172910691,37.92133092880249
24,"[6, 77, 70, 73, 93, 41, 27, 24, 17, 31]",52.25,1.2130009603500367,39.78809714317322
25,"[41, 53, 16, 38, 78, 33, 7, 64, 70, 37]",58.28,1.0596180319786073,41.283013105392456
26,"[45, 69, 47, 71, 30, 84, 75, 42, 93, 0]",64.88,0.9536870378255844,42.77151966094971
29,"[26, 10, 27, 46, 54, 60, 80, 25, 42, 93]",65.02,0.8922220581769943,47.35752582550049
30,"[55, 75, 17, 43, 62, 70, 78, 86, 23, 98]",66.0,0.9828161382675171,48.83458924293518
31,"[50, 47, 27, 95, 37, 13, 91, 9, 98, 96]",64.88,0.8726629215478897,50.399755001068115
32,"[16, 8, 69, 38, 91, 77, 64, 52, 60, 44]",58.95,1.0610570800304413,52.055567502975464
33,"[88, 10, 45, 87, 82, 98, 12, 1, 37, 17]",66.17,1.0064646154642105,53.572815895080566
34,"[37, 73, 26, 22, 99, 33, 49, 84, 1, 46]",59.25,0.9818785846233368,55.05253338813782
35,"[16, 40, 83, 46, 14, 12, 15, 70, 7, 25]",64.75,0.9021087872982025,56.515878677368164
36,"[51, 78, 63, 17, 26, 55, 16, 59, 48, 37]",69.93,0.83637646317482,58.18705773353577
37,"[55, 12, 56, 19, 32, 35, 8, 80, 97, 52]",59.0,0.9631174689531327,59.682612657547
38,"[35, 6, 73, 31, 12, 34, 42, 4, 93, 63]",62.27,1.1532394939661026,61.293312072753906
39,"[37, 26, 7, 40, 17, 12, 5, 71, 27, 94]",63.85,0.8983711618185043,63.1586754322052
40,"[83, 40, 43, 80, 75, 27, 66, 52, 57, 69]",63.18,1.0316370391845704,64.65516519546509
41,"[42, 97, 70, 2, 95, 19, 36, 1, 23, 12]",64.13,0.9250808757543564,66.28376030921936
42,"[36, 48, 90, 80, 60, 49, 92, 27, 96, 25]",65.88,0.8247719419002533,67.78458905220032
43,"[93, 38, 69, 29, 23, 81, 77, 22, 39, 97]",64.23,0.9517316937446594,69.24924206733704
44,"[78, 92, 10, 24, 80, 30, 62, 91, 37, 61]",65.34,0.9246170246601104,70.58218097686768
45,"[58, 56, 46, 77, 80, 35, 38, 75, 87, 40]",67.62,0.8582113111019134,72.14677906036377
46,"[60, 29, 55, 78, 91, 73, 45, 77, 68, 4]",67.63,0.8502897781133651,73.54811453819275
47,"[89, 38, 77, 50, 71, 40, 56, 72, 25, 3]",64.91,0.8879835098981858,75.00138401985168
48,"[1, 4, 78, 38, 25, 5, 16, 11, 93, 26]",59.01,0.9665781140327454,76.7213716506958
49,"[26, 99, 84, 77, 23, 50, 80, 4, 38, 53]",64.03,0.929365536570549,78.45119380950928
50,"[70, 20, 55, 10, 35, 54, 45, 42, 69, 62]",71.16,0.7711056488752365,79.82951092720032
51,"[75, 77, 49, 23, 35, 65, 3, 53, 26, 43]",66.87,0.8817964071035385,81.29074311256409
52,"[97, 12, 33, 76, 92, 25, 27, 4, 47, 52]",52.21,1.1582165092229844,82.79586958885193
53,"[93, 8, 16, 40, 55, 29, 73, 39, 12, 11]",67.6,0.8208531427383423,84.66268825531006
54,"[73, 31, 60, 26, 4, 74, 70, 25, 1, 34]",68.01,0.8441465675830842,86.31250214576721
55,"[84, 55, 46, 91, 53, 42, 6, 5, 36, 67]",71.54,0.7362596380710602,87.83961629867554
56,"[5, 6, 95, 53, 52, 55, 60, 3, 14, 71]",70.56,0.7844208699464797,89.26851630210876
57,"[60, 63, 33, 1, 10, 91, 86, 38, 84, 9]",69.33,0.8123368263244629,90.72736859321594
58,"[7, 99, 25, 37, 23, 5, 44, 69, 41, 47]",59.76,0.9358472639322281,92.19991397857666
59,"[75, 76, 12, 96, 19, 38, 91, 27, 10, 47]",60.22,0.9267789161205292,93.72389936447144
60,"[26, 30, 54, 85, 49, 38, 80, 35, 9, 67]",72.24,0.7685063889622689,95.15230131149292
61,"[84, 27, 70, 4, 9, 44, 47, 40, 35, 21]",70.73,0.7530198538303375,96.59217500686646
62,"[75, 19, 54, 52, 73, 69, 38, 47, 93, 98]",70.58,0.7411431586742401,98.10928630828857
63,"[5, 12, 71, 80, 52, 43, 7, 44, 76, 24]",62.96,0.85676384806633,99.7055549621582
64,"[53, 95, 70, 16, 24, 54, 91, 13, 20, 17]",73.39,0.7562113979458809,101.1079261302948
65,"[43, 12, 83, 79, 97, 27, 96, 95, 35, 25]",73.85,0.6952588707208633,102.59731674194336
66,"[36, 5, 86, 38, 56, 77, 50, 90, 52, 70]",64.88,0.8376953119039535,104.2129487991333
67,"[84, 17, 48, 37, 52, 26, 93, 66, 96, 25]",68.86,0.8202011471986771,105.98178935050964
68,"[25, 70, 36, 44, 77, 1, 40, 35, 69, 99]",70.74,0.7578517174720765,107.6531150341034
69,"[43, 93, 38, 79, 83, 77, 67, 84, 66, 60]",71.49,0.7416944921016693,109.33435010910034
70,"[55, 2, 90, 63, 3, 42, 56, 25, 38, 39]",66.83,0.7926898288726807,110.68466472625732
71,"[12, 79, 26, 78, 38, 17, 1, 90, 39, 69]",72.51,0.732189254462719,112.37172889709473
72,"[77, 42, 29, 49, 86, 63, 22, 53, 79, 83]",72.17,0.7036912387609482,113.75754380226135
73,"[86, 29, 93, 77, 38, 76, 20, 27, 46, 12]",64.58,0.8484385782480239,115.43038964271545
74,"[87, 55, 60, 23, 36, 43, 35, 37, 38, 27]",72.65,0.6899212625622749,117.01525259017944
75,"[84, 52, 7, 23, 95, 16, 37, 47, 17, 99]",70.57,0.7588159400224685,118.6300253868103
76,"[34, 56, 93, 78, 55, 92, 2, 77, 19, 76]",65.91,0.8643551051616669,120.24317526817322
77,"[6, 18, 36, 4, 1, 95, 42, 54, 43, 77]",68.51,0.76648681640625,121.73227643966675
78,"[43, 17, 76, 69, 80, 12, 34, 49, 23, 47]",69.96,0.7592882424592972,123.32058620452881
79,"[38, 86, 88, 44, 70, 1, 42, 16, 12, 76]",61.18,1.034833678007126,124.87423300743103
80,"[38, 9, 25, 60, 3, 90, 20, 16, 93, 52]",69.16,0.7985251182317734,126.34357357025146
81,"[44, 76, 53, 55, 90, 52, 77, 43, 16, 12]",66.95,0.8254554438591003,128.03058695793152
82,"[64, 77, 5, 67, 92, 66, 60, 79, 39, 73]",68.13,0.7759612143039704,129.446839094162
83,"[16, 79, 25, 12, 37, 90, 71, 17, 99, 80]",63.76,1.0056155788898469,131.02293634414673
84,"[75, 23, 69, 11, 90, 25, 66, 9, 60, 79]",72.13,0.7483851182460785,132.5035638809204
85,"[66, 60, 69, 84, 55, 2, 44, 24, 25, 50]",72.83,0.7166760128736496,133.93924856185913
86,"[77, 36, 6, 17, 75, 37, 38, 44, 78, 73]",71.07,0.7452846676111221,135.56208324432373
87,"[6, 78, 39, 97, 40, 26, 17, 35, 60, 70]",72.43,0.790472905933857,137.08915901184082
88,"[35, 76, 43, 44, 27, 70, 6, 75, 77, 25]",72.2,0.7263745465874671,138.7170112133026
89,"[69, 27, 83, 75, 95, 20, 79, 5, 10, 38]",68.62,0.8378808987140656,140.18535113334656
90,"[30, 10, 2, 76, 12, 93, 46, 89, 26, 49]",65.71,0.8562794542312622,141.67241954803467
91,"[26, 71, 37, 22, 29, 91, 84, 83, 47, 13]",74.36,0.6965696430206298,143.22908186912537
92,"[47, 69, 35, 84, 96, 3, 54, 41, 99, 97]",71.99,0.7152175962924957,144.4087266921997
93,"[17, 99, 31, 49, 70, 80, 3, 26, 37, 93]",70.7,0.7781759971380233,145.96829795837402
94,"[11, 52, 27, 76, 44, 47, 67, 43, 84, 97]",74.12,0.6623077175021171,147.4411919116974
95,"[86, 5, 67, 40, 27, 0, 85, 71, 26, 47]",68.58,0.8936233448982239,149.08913660049438
96,"[62, 19, 18, 77, 40, 37, 16, 29, 38, 10]",61.87,0.9473873180150986,150.55867719650269
97,"[25, 99, 47, 91, 40, 97, 90, 1, 80, 95]",70.84,0.7075338709354401,151.96111178398132
98,"[47, 5, 35, 78, 22, 66, 92, 77, 93, 40]",71.54,0.7458499521017075,153.61245226860046
99,"[71, 40, 69, 37, 80, 16, 26, 1, 17, 25]",70.63,0.7561873486638069,155.18661260604858
100,"[77, 71, 1, 29, 36, 86, 51, 2, 16, 98]",74.13,0.6847214886546135,156.57223558425903
101,"[35, 27, 37, 93, 20, 77, 50, 73, 56, 66]",69.22,0.7649551516771317,158.3503143787384
102,"[27, 17, 77, 23, 39, 93, 95, 99, 70, 38]",74.14,0.6926047188043595,160.17153978347778
103,"[49, 43, 35, 1, 38, 50, 27, 45, 10, 86]",71.28,0.707231428027153,161.75249028205872
104,"[12, 2, 40, 36, 50, 93, 71, 69, 70, 20]",73.77,0.701747237443924,163.34719681739807
105,"[17, 16, 35, 27, 3, 5, 47, 69, 60, 48]",70.75,0.7445761162042618,165.17481112480164
106,"[60, 3, 43, 75, 54, 52, 71, 33, 87, 25]",75.49,0.65123675853014,166.56353092193604
107,"[83, 12, 93, 95, 8, 64, 6, 37, 10, 38]",71.57,0.7864677160978317,168.36394572257996
108,"[79, 63, 17, 29, 76, 82, 77, 97, 39, 12]",69.51,0.7348400238156318,169.9522349834442
109,"[55, 16, 42, 36, 75, 93, 99, 80, 50, 37]",72.3,0.6873332512378693,171.5425319671631
110,"[27, 84, 11, 73, 77, 36, 12, 19, 95, 20]",69.98,0.7216689795255661,173.37236738204956
111,"[93, 70, 60, 6, 25, 17, 2, 95, 38, 50]",71.48,0.7397804337739945,175.22895073890686
112,"[84, 64, 38, 49, 48, 86, 77, 26, 47, 97]",74.49,0.6779150640964509,176.94559907913208
113,"[88, 12, 47, 2, 63, 77, 78, 26, 70, 25]",71.17,0.7575683498382568,178.72250747680664
114,"[37, 36, 99, 80, 47, 70, 55, 90, 49, 17]",75.55,0.6423993703722953,180.43166089057922
115,"[43, 34, 5, 71, 47, 73, 95, 39, 79, 2]",76.17,0.624062567949295,181.80623960494995
116,"[55, 29, 14, 45, 35, 12, 38, 6, 8, 23]",74.05,0.6574552899599075,183.3684058189392
117,"[6, 26, 64, 7, 12, 48, 50, 78, 35, 77]",74.94,0.6550794127583504,184.9577465057373
118,"[20, 26, 77, 50, 55, 47, 31, 53, 86, 78]",74.66,0.6662684947252273,186.76175904273987
119,"[25, 43, 99, 70, 3, 37, 67, 34, 17, 42]",72.5,0.6899071472883225,188.35573720932007
120,"[39, 86, 25, 99, 26, 87, 60, 83, 97, 7]",74.09,0.6430142349004746,189.86716890335083
121,"[26, 87, 70, 91, 31, 25, 48, 27, 95, 52]",74.54,0.6390031027793884,191.53857254981995
122,"[60, 75, 12, 53, 86, 99, 35, 80, 83, 39]",77.19,0.6081031081080437,193.0717375278473
123,"[2, 16, 99, 73, 71, 7, 1, 26, 42, 69]",72.17,0.6592778220772744,194.64479279518127
124,"[40, 79, 37, 77, 87, 25, 31, 70, 19, 2]",71.26,0.7287680730223656,196.29593515396118
125,"[39, 99, 25, 1, 78, 47, 38, 27, 53, 80]",72.67,0.6703423109650611,197.79184699058533
126,"[83, 60, 47, 38, 66, 12, 34, 69, 97, 71]",76.71,0.6161683934926987,199.29834175109863
127,"[34, 36, 26, 83, 12, 86, 47, 77, 33, 1]",75.87,0.6497975978255272,200.88766860961914
128,"[96, 95, 10, 78, 37, 77, 35, 31, 39, 1]",69.59,0.7780825406312942,202.44105577468872
129,"[80, 38, 16, 5, 35, 27, 43, 26, 54, 25]",71.59,0.7059718006849289,204.1282467842102
130,"[52, 5, 40, 77, 17, 26, 97, 27, 37, 73]",70.18,0.7429902923107147,206.09196138381958
131,"[75, 99, 12, 7, 77, 44, 53, 45, 6, 49]",67.02,0.7953069800138474,207.68585085868835
132,"[5, 16, 38, 77, 96, 71, 26, 42, 70, 99]",71.55,0.7176420146226883,209.53517985343933
133,"[71, 60, 56, 20, 27, 75, 77, 79, 96, 16]",75.01,0.6435175722837448,211.20364928245544
134,"[86, 35, 31, 37, 88, 12, 77, 79, 78, 25]",65.62,0.8855785161256791,212.74513268470764
135,"[2, 37, 19, 10, 83, 17, 35, 80, 40, 93]",73.97,0.706295200586319,214.4662470817566
136,"[27, 37, 7, 26, 20, 80, 47, 69, 35, 6]",73.88,0.662130765914917,216.42739725112915
137,"[77, 69, 1, 79, 39, 19, 17, 12, 48, 6]",66.62,0.8322039985656738,218.03597211837769
138,"[69, 41, 75, 12, 27, 5, 8, 86, 90, 37]",66.36,0.7542972368001938,219.68307948112488
139,"[69, 83, 43, 22, 6, 56, 70, 48, 95, 16]",78.28,0.6049331158399582,221.26434326171875
140,"[37, 77, 95, 17, 6, 86, 84, 49, 27, 38]",69.1,0.7617078202962876,223.26678729057312
141,"[55, 78, 40, 87, 90, 12, 45, 77, 27, 96]",76.58,0.6086366474628448,224.96135425567627
142,"[83, 31, 16, 17, 8, 49, 45, 37, 43, 56]",73.41,0.6810810482501983,226.53095054626465
143,"[75, 17, 50, 64, 8, 39, 31, 73, 7, 16]",70.51,0.7620865362882614,228.02441334724426
144,"[4, 38, 99, 12, 66, 90, 5, 95, 96, 93]",68.94,0.7107188925147057,229.66709160804749
145,"[4, 43, 16, 19, 46, 73, 92, 26, 88, 64]",76.54,0.6005593752861023,231.07663679122925
146,"[1, 10, 77, 53, 90, 39, 96, 26, 80, 70]",74.44,0.6601662078499794,232.77391648292542
147,"[75, 90, 97, 99, 27, 71, 93, 70, 86, 77]",75.89,0.6358922913670539,234.54456424713135
148,"[5, 1, 93, 60, 99, 17, 38, 75, 41, 96]",78.1,0.5822412189841271,236.24161028862
149,"[5, 17, 70, 44, 16, 87, 73, 47, 76, 77]",79.01,0.5691105654835701,237.98537063598633
150,"[52, 93, 38, 7, 26, 1, 71, 37, 99, 23]",71.76,0.7014970031380653,239.60456323623657
151,"[61, 7, 79, 37, 70, 29, 6, 12, 23, 93]",70.9,0.8338445675373077,241.18184542655945
152,"[71, 25, 40, 53, 77, 93, 29, 64, 84, 76]",72.77,0.6920373460650444,242.8416895866394
153,"[71, 44, 64, 77, 90, 48, 6, 37, 42, 93]",66.85,0.8411038166284561,244.58475494384766
154,"[9, 3, 52, 27, 12, 73, 55, 53, 4, 37]",69.92,0.7295856726169586,246.22376036643982
155,"[69, 77, 55, 48, 29, 83, 38, 90, 93, 70]",76.63,0.6139953261613846,247.93932700157166
156,"[64, 86, 69, 34, 12, 80, 70, 66, 93, 40]",75.88,0.6243342250585556,249.6116819381714
157,"[6, 49, 40, 90, 38, 53, 7, 80, 83, 48]",77.86,0.58101956397295,251.00726413726807
158,"[2, 37, 26, 25, 49, 55, 17, 83, 76, 56]",75.43,0.6243872597813607,252.54286885261536
159,"[96, 94, 17, 27, 47, 69, 12, 37, 56, 93]",73.27,0.6620818054676056,254.24946117401123
160,"[90, 95, 93, 26, 73, 20, 4, 36, 96, 78]",74.48,0.6675494003295899,255.89152240753174
161,"[6, 23, 70, 53, 56, 90, 47, 37, 36, 84]",73.57,0.6800375714898109,257.54749941825867
162,"[20, 53, 60, 12, 52, 7, 49, 37, 47, 26]",73.26,0.685589117705822,259.31420969963074
163,"[99, 73, 19, 50, 3, 55, 66, 79, 47, 76]",76.14,0.6031030294299126,260.8758761882782
164,"[37, 5, 17, 48, 8, 12, 25, 38, 90, 27]",68.77,0.726257495880127,262.5753028392792
165,"[84, 44, 40, 93, 78, 2, 55, 26, 54, 45]",77.7,0.5972708687186241,264.163405418396
166,"[47, 19, 30, 25, 36, 12, 95, 26, 11, 80]",76.5,0.6291163846850395,265.7496750354767
167,"[37, 64, 5, 19, 90, 17, 67, 20, 36, 31]",77.31,0.5926955309510231,267.3534586429596
168,"[19, 12, 56, 38, 17, 27, 99, 49, 8, 71]",76.23,0.599471201300621,269.3772246837616
169,"[27, 84, 6, 5, 1, 66, 16, 20, 90, 86]",74.57,0.6555040875077247,271.00171160697937
170,"[77, 71, 54, 69, 75, 49, 70, 2, 35, 25]",73.84,0.6844167730212212,272.6273341178894
171,"[93, 31, 17, 53, 99, 25, 69, 5, 37, 27]",73.5,0.6570817989110946,274.3763220310211
172,"[71, 5, 39, 38, 49, 77, 54, 70, 47, 84]",77.01,0.5969753125309945,275.87954688072205
173,"[31, 99, 25, 17, 38, 35, 77, 50, 27, 37]",71.61,0.70155058324337,277.8659198284149
174,"[80, 93, 40, 90, 17, 73, 70, 87, 77, 76]",76.35,0.6125095719099045,279.58547163009644
175,"[23, 10, 1, 77, 17, 4, 86, 38, 16, 6]",72.95,0.675843303501606,280.94876074790955
176,"[52, 48, 4, 56, 55, 97, 99, 39, 38, 63]",73.65,0.6187136507034302,282.2897551059723
177,"[64, 95, 86, 48, 77, 43, 45, 37, 52, 39]",70.66,0.6874925872683525,283.747111082077
178,"[31, 93, 43, 95, 77, 67, 37, 52, 75, 83]",74.27,0.642141892015934,285.6420590877533
179,"[46, 99, 10, 42, 71, 78, 29, 37, 77, 27]",76.9,0.59774708122015,287.23518347740173
180,"[53, 79, 70, 97, 31, 20, 35, 27, 42, 77]",78.66,0.5677851215004921,288.8120470046997
181,"[67, 79, 49, 31, 23, 19, 86, 35, 7, 73]",73.69,0.6678489875793457,290.22834610939026
182,"[27, 34, 84, 20, 17, 64, 99, 86, 66, 63]",75.53,0.6196903935074807,291.70159554481506
183,"[1, 17, 78, 70, 12, 16, 36, 96, 77, 5]",77.12,0.5854788175225258,293.3631546497345
184,"[90, 55, 39, 27, 5, 77, 99, 84, 83, 20]",71.71,0.6847147661447525,295.0099449157715
185,"[45, 12, 47, 96, 53, 6, 97, 49, 34, 10]",74.02,0.6863908529281616,296.2735514640808
