epoch,selected_clients,accuracy,loss,run_time
1,"[9, 39, 55, 31, 57, 37, 32, 71, 12, 95]",20.92,2.2854592776298523,2.678280830383301
2,"[63, 23, 59, 66, 16, 91, 8, 46, 93, 21]",25.04,2.2467745876312257,4.149918079376221
3,"[52, 93, 90, 58, 81, 64, 3, 67, 14, 49]",25.62,2.1857916069030763,5.440482139587402
4,"[17, 47, 3, 1, 90, 26, 89, 59, 78, 85]",28.32,2.0422877848148344,6.719195365905762
5,"[40, 77, 61, 39, 25, 37, 8, 96, 41, 85]",25.16,1.8401937901973724,7.939045667648315
6,"[45, 51, 9, 39, 11, 34, 2, 78, 15, 44]",35.49,1.6845430409908295,9.407668828964233
7,"[60, 77, 53, 7, 83, 50, 71, 90, 12, 94]",51.15,1.3317743861675262,10.693025588989258
8,"[77, 54, 40, 61, 47, 46, 92, 27, 23, 0]",53.78,1.2404028749465943,12.105302333831787
9,"[40, 39, 1, 36, 60, 41, 74, 95, 58, 43]",57.81,1.154860183596611,13.381455421447754
10,"[4, 77, 66, 80, 22, 94, 36, 42, 13, 43]",55.21,1.1290144777297975,14.756747722625732
11,"[7, 99, 46, 14, 2, 50, 3, 21, 19, 70]",50.92,1.1377746111154556,16.297864198684692
12,"[86, 84, 89, 23, 98, 93, 12, 68, 54, 71]",65.42,1.0650974524021148,17.77936291694641
13,"[12, 38, 89, 49, 72, 76, 29, 8, 94, 99]",59.97,1.0336289077997207,19.2786602973938
14,"[7, 63, 99, 85, 11, 22, 71, 61, 47, 27]",64.68,0.9461618810892105,20.57352113723755
15,"[77, 12, 33, 55, 90, 27, 34, 53, 10, 44]",68.74,0.8941345769166946,21.848795413970947
16,"[96, 21, 51, 86, 27, 92, 18, 72, 31, 9]",67.79,0.8877375465631485,23.439603090286255
17,"[99, 1, 15, 75, 50, 96, 70, 79, 20, 34]",66.99,0.8782379615306855,24.71498203277588
18,"[95, 66, 71, 48, 53, 96, 29, 88, 99, 13]",65.59,0.8900647342205048,26.072670459747314
19,"[40, 43, 39, 88, 38, 35, 2, 90, 10, 51]",66.97,0.9034638237953186,27.383198499679565
20,"[92, 62, 66, 46, 70, 82, 12, 25, 26, 85]",68.72,0.8952452027797699,28.785913944244385
21,"[99, 52, 70, 34, 46, 98, 77, 31, 68, 51]",61.92,0.9038712245225906,30.029590845108032
22,"[27, 87, 96, 9, 55, 15, 38, 90, 37, 92]",70.66,0.8141362923383713,31.653433084487915
23,"[97, 28, 24, 71, 20, 68, 41, 84, 90, 21]",69.96,0.8206737035512924,32.9134087562561
24,"[96, 35, 18, 45, 38, 8, 48, 97, 81, 56]",67.94,0.8562968057394028,34.356385231018066
25,"[40, 69, 90, 49, 86, 66, 57, 73, 94, 72]",69.46,0.8240850615501404,35.74117994308472
26,"[53, 95, 11, 68, 5, 28, 67, 64, 74, 57]",68.0,0.82111068546772,37.040432929992676
27,"[73, 4, 82, 94, 17, 23, 51, 40, 34, 32]",68.79,0.8255934149026871,38.42300987243652
28,"[86, 25, 54, 50, 10, 61, 96, 40, 34, 37]",69.85,0.798294466137886,39.69504237174988
29,"[10, 6, 13, 68, 4, 78, 40, 97, 63, 66]",69.94,0.7682430160045624,40.85848379135132
