epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",14.53,2.2598463678359986,1.6173062324523926,11.34,11.34
2,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",25.99,2.1019661474227904,3.603150367736816,11.38,22.72
3,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",33.72,1.8519770193099976,5.193881034851074,11.34,34.06
4,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",40.75,1.5324088966846463,6.730548620223999,9.94,44.0
5,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",50.73,1.2377122390270232,8.416739702224731,12.1,56.1
6,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",55.74,1.127717581987381,10.310049533843994,12.1,68.2
7,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",46.14,1.174693032503128,12.18629550933838,10.63,78.83
8,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",63.22,0.9894637697935104,13.85843062400818,12.1,90.92999999999999
9,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",63.41,0.9583368372917176,15.520724773406982,11.71,102.63999999999999
10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",59.04,1.020412235856056,17.20143699645996,12.1,114.73999999999998
11,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",63.49,0.929141445159912,18.61681318283081,11.34,126.07999999999998
12,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",66.52,0.8990414893627167,20.488363027572632,10.93,137.01
13,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",67.01,0.872533125281334,22.053849935531616,11.09,148.1
14,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",67.73,0.861793105006218,23.75969433784485,11.34,159.44
15,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",67.59,0.841374135017395,25.59768271446228,10.04,169.48
16,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",63.68,0.903698393702507,27.359204292297363,12.1,181.57999999999998
17,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",67.31,0.8461212259531021,29.02849102020264,8.96,190.54
18,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",66.03,0.8882986044883728,30.67511391639709,11.38,201.92
19,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",67.74,0.8412380391359329,32.15157127380371,11.38,213.29999999999998
20,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",69.16,0.8180094259977341,34.11971664428711,11.19,224.48999999999998
21,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",69.46,0.7977312135696412,35.69873785972595,10.78,235.26999999999998
22,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",70.1,0.765964532494545,37.3756799697876,8.94,244.20999999999998
23,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",72.14,0.7670481103658676,39.0462486743927,8.72,252.92999999999998
24,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",72.0,0.7806593143939972,40.62551307678223,11.34,264.27
25,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",69.82,0.7892487931251526,42.11905598640442,11.34,275.60999999999996
26,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",71.31,0.7679948425292968,43.799296140670776,11.18,286.78999999999996
27,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",71.43,0.7606508761644364,45.87731313705444,10.55,297.34
28,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",69.93,0.7652638828754426,47.51729249954224,11.71,309.04999999999995
29,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",72.99,0.7201790869235992,49.0704128742218,7.4,316.44999999999993
30,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",71.34,0.7361836439371109,50.94643712043762,9.3,325.74999999999994
31,"[56, 70, 12, 6, 83, 69, 1, 11, 96, 30]",72.9,0.7297459501028061,52.90813970565796,11.1,336.84999999999997
32,"[21, 52, 62, 61, 27, 51, 7, 48, 0, 49]",72.03,0.7065882167220116,54.717803955078125,12.1,348.95
33,"[33, 58, 36, 54, 89, 93, 71, 84, 91, 62]",72.37,0.7405599510669708,56.06914806365967,11.09,360.03999999999996
34,"[19, 24, 37, 27, 7, 74, 94, 69, 95, 40]",71.86,0.7443035036325455,58.02357625961304,10.93,370.96999999999997
35,"[7, 6, 74, 61, 64, 67, 20, 65, 10, 23]",72.88,0.718769511282444,59.59276294708252,11.38,382.34999999999997
36,"[8, 76, 86, 30, 51, 15, 72, 31, 74, 5]",70.81,0.7485708498954773,61.5625684261322,10.78,393.12999999999994
37,"[79, 10, 53, 84, 74, 72, 66, 40, 33, 26]",74.84,0.6811628806591034,63.227128982543945,11.13,404.25999999999993
38,"[85, 91, 40, 30, 33, 50, 16, 82, 38, 58]",69.65,0.7979035103321075,64.68035840988159,10.93,415.18999999999994
39,"[40, 96, 9, 1, 58, 79, 72, 12, 68, 27]",74.69,0.7053898602724076,66.63812041282654,10.93,426.11999999999995
40,"[64, 33, 16, 44, 8, 31, 47, 36, 20, 56]",74.0,0.6843405884504318,68.02126812934875,11.38,437.49999999999994
41,"[69, 90, 38, 78, 83, 67, 1, 85, 70, 84]",72.64,0.718124580681324,69.78985285758972,8.94,446.43999999999994
42,"[13, 17, 33, 14, 95, 70, 19, 34, 36, 77]",74.0,0.6605179777741432,71.15786242485046,9.94,456.37999999999994
43,"[26, 91, 43, 87, 81, 33, 64, 62, 32, 6]",75.28,0.651228634417057,72.83451819419861,11.38,467.75999999999993
44,"[11, 81, 54, 35, 5, 0, 42, 98, 16, 33]",72.81,0.678413701057434,74.37775111198425,11.18,478.93999999999994
45,"[20, 94, 56, 70, 90, 54, 71, 1, 14, 9]",75.26,0.6838909783959388,75.99223518371582,11.1,490.03999999999996
46,"[88, 19, 69, 4, 47, 74, 70, 18, 55, 16]",75.66,0.6460072144865989,77.72896766662598,10.86,500.9
47,"[5, 39, 46, 45, 26, 87, 31, 85, 13, 99]",73.18,0.6808443993330002,79.40223932266235,11.71,512.61
48,"[71, 52, 79, 95, 19, 30, 20, 22, 3, 94]",72.91,0.6915978002548218,81.07471013069153,11.09,523.7
49,"[42, 52, 85, 94, 31, 34, 20, 89, 13, 48]",74.89,0.6783016437292099,82.6460063457489,12.1,535.8000000000001
50,"[4, 60, 28, 25, 58, 44, 39, 29, 3, 84]",76.6,0.6323041078448296,84.33011960983276,11.34,547.1400000000001
51,"[24, 51, 42, 35, 8, 98, 44, 82, 65, 86]",73.75,0.6491689994931221,85.90437817573547,11.18,558.32
52,"[68, 42, 3, 14, 33, 22, 74, 4, 13, 76]",76.32,0.6412798035144806,87.55176162719727,11.18,569.5
53,"[55, 44, 93, 40, 77, 65, 14, 49, 73, 24]",75.54,0.6324781721830368,89.03337121009827,10.93,580.43
54,"[32, 5, 90, 55, 0, 66, 68, 87, 92, 94]",76.12,0.6400219663977623,90.7982394695282,9.23,589.66
55,"[94, 85, 25, 46, 55, 8, 42, 79, 40, 84]",76.32,0.6367451989650726,92.26638555526732,11.18,600.8399999999999
56,"[15, 92, 38, 64, 39, 85, 52, 41, 51, 89]",76.49,0.6372331580519677,93.83785772323608,11.38,612.2199999999999
57,"[37, 70, 16, 24, 53, 85, 48, 86, 95, 22]",73.03,0.6624132511019707,95.42016911506651,12.1,624.3199999999999
58,"[78, 72, 38, 51, 70, 0, 36, 26, 55, 74]",74.43,0.6434652289748192,97.07024908065796,11.13,635.4499999999999
59,"[77, 83, 41, 59, 56, 86, 27, 65, 60, 94]",76.07,0.638995041847229,98.85724925994872,11.19,646.64
60,"[21, 84, 10, 36, 65, 81, 79, 42, 11, 96]",76.41,0.6228300434350967,100.61462354660034,11.18,657.8199999999999
61,"[30, 86, 39, 28, 25, 18, 3, 5, 31, 60]",75.95,0.6303703519701958,102.19166588783264,11.34,669.16
62,"[78, 98, 9, 58, 53, 80, 73, 24, 91, 89]",73.62,0.6481819167733193,103.75730895996094,10.55,679.7099999999999
63,"[49, 63, 51, 31, 18, 83, 88, 0, 96, 98]",75.37,0.6229151463508606,105.43744206428528,10.58,690.29
64,"[13, 99, 54, 28, 22, 89, 66, 59, 6, 71]",76.32,0.6264832773804665,106.80280351638794,11.34,701.63
65,"[31, 15, 58, 17, 59, 85, 67, 71, 76, 40]",75.82,0.6652559515833855,108.46354246139526,11.09,712.72
66,"[96, 56, 78, 92, 64, 54, 70, 57, 20, 95]",76.35,0.625369793176651,110.15102314949036,11.38,724.1
67,"[60, 57, 33, 96, 31, 81, 35, 98, 99, 66]",76.98,0.612173964381218,111.7129397392273,9.03,733.13
68,"[62, 80, 30, 35, 56, 9, 91, 36, 34, 42]",77.47,0.6124822455644607,113.19874119758606,11.18,744.31
69,"[40, 69, 10, 17, 19, 29, 49, 88, 90, 27]",77.82,0.5903712233901024,114.88306140899658,10.93,755.2399999999999
