epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[50, 46, 15, 86, 20, 51, 16, 29, 11, 79]",10.0,2.2759055304527283,3.723850965499878,10.63,10.63
2,"[46, 79, 29, 20, 28, 64, 9, 4, 26, 19]",10.32,2.2262470602989195,5.317416191101074,11.38,22.01
3,"[26, 19, 9, 4, 14, 60, 0, 23, 80, 68]",37.83,1.9524969089031217,7.025659561157227,11.13,33.14
4,"[23, 4, 11, 26, 65, 93, 66, 34, 57, 32]",47.51,1.6365044951438903,8.615935564041138,11.13,44.27
5,"[29, 0, 19, 4, 30, 33, 53, 91, 25, 2]",46.85,1.5123594844341277,10.343581199645996,9.94,54.21
6,"[23, 15, 30, 11, 40, 70, 78, 47, 69, 7]",58.57,1.1932006406784057,12.013601303100586,10.93,65.14
7,"[32, 2, 65, 69, 55, 12, 72, 3, 90, 76]",57.68,1.1476038628816605,13.866053819656372,10.78,75.92
8,"[26, 50, 2, 23, 8, 84, 85, 82, 18, 59]",61.07,1.0260871106386185,15.536317348480225,11.13,87.05
9,"[46, 32, 9, 2, 36, 5, 22, 92, 74, 71]",58.63,1.0549894177913666,17.448893070220947,11.09,98.14
10,"[23, 30, 72, 4, 37, 49, 31, 75, 21, 44]",63.0,0.9586612141132356,19.270143270492557,10.78,108.92
11,"[23, 19, 51, 72, 58, 45, 52, 62, 95, 43]",64.57,0.9542094922065736,21.010358095169067,11.71,120.63
12,"[92, 23, 30, 20, 1, 56, 54, 10, 77, 61]",64.7,0.9571864157915116,22.71988582611084,11.29,131.92
13,"[92, 32, 2, 72, 88, 87, 48, 6, 99, 27]",67.14,0.8995505684614181,24.477182865142822,12.1,144.01999999999998
14,"[72, 79, 2, 26, 17, 41, 94, 63, 24, 96]",61.38,0.9465353161096572,26.28017830848694,11.19,155.20999999999998
15,"[5, 2, 86, 92, 42, 67, 81, 89, 83, 97]",64.69,0.9245921486616134,27.84733724594116,11.18,166.39
16,"[11, 96, 14, 69, 13, 35, 39, 98, 73, 38]",64.4,0.8796991580724716,29.412277460098267,10.55,176.94
17,"[2, 12, 92, 60, 15, 19, 24, 21, 47, 69]",70.83,0.8313584673404694,31.29646062850952,10.86,187.8
18,"[26, 96, 12, 69, 58, 23, 2, 0, 92, 57]",71.71,0.8402084136009216,33.182953119277954,11.13,198.93
19,"[19, 58, 29, 56, 72, 23, 69, 65, 30, 4]",70.98,0.8059331819415092,35.060447454452515,11.1,210.03
20,"[24, 69, 23, 30, 15, 27, 96, 4, 16, 32]",71.91,0.7761383128166198,36.83757519721985,9.18,219.21
21,"[72, 21, 32, 12, 92, 4, 2, 15, 30, 23]",71.41,0.7815557706356049,38.85379409790039,10.78,229.99
22,"[72, 92, 37, 52, 96, 24, 58, 2, 21, 69]",71.85,0.7774533778429031,40.81815719604492,10.78,240.77
23,"[5, 19, 32, 15, 92, 26, 2, 96, 56, 30]",70.69,0.7843297055363655,42.595606327056885,11.13,251.9
24,"[21, 32, 31, 58, 23, 96, 15, 19, 92, 24]",73.25,0.7469324749708176,44.416969537734985,9.94,261.84000000000003
25,"[76, 72, 24, 28, 55, 23, 12, 19, 30, 26]",73.45,0.7291533815860748,46.07365441322327,11.34,273.18
26,"[33, 32, 12, 27, 40, 60, 58, 48, 53, 11]",72.92,0.7299511659145356,47.567702531814575,12.1,285.28000000000003
27,"[58, 2, 72, 19, 56, 96, 5, 30, 23, 4]",71.0,0.7450335520505905,49.553940296173096,11.1,296.38000000000005
28,"[69, 30, 84, 24, 2, 25, 56, 5, 72, 59]",70.94,0.7615353918075561,51.47001123428345,11.1,307.4800000000001
29,"[72, 69, 34, 2, 18, 4, 92, 19, 58, 30]",71.77,0.7365071946382522,53.00778555870056,10.78,318.26000000000005
30,"[23, 15, 27, 56, 21, 92, 12, 85, 72, 26]",73.41,0.7887791842222214,54.789825439453125,11.13,329.39000000000004
31,"[30, 12, 56, 32, 4, 21, 15, 69, 72, 96]",73.1,0.7374645763635636,56.66126847267151,11.1,340.49000000000007
32,"[80, 69, 26, 5, 21, 72, 48, 4, 96, 92]",72.28,0.7716114556789399,58.33619379997253,12.1,352.5900000000001
33,"[26, 21, 15, 58, 72, 96, 4, 56, 23, 27]",74.17,0.6978212675452232,60.098472118377686,11.13,363.7200000000001
34,"[96, 32, 24, 78, 26, 21, 69, 19, 2, 4]",73.73,0.7007742267847061,61.76377844810486,11.13,374.8500000000001
35,"[23, 96, 92, 72, 56, 9, 15, 58, 21, 32]",74.08,0.7295791327953338,63.57046031951904,11.1,385.9500000000001
36,"[56, 24, 4, 21, 72, 2, 19, 12, 92, 69]",74.73,0.7102361673116684,65.34916234016418,11.1,397.0500000000001
