epoch,selected_clients,accuracy,loss,run_time
1,"[66, 21, 61, 24, 79, 54, 98, 0, 72, 35]",27.41,2.2577490973472596,3.213148832321167
2,"[72, 0, 79, 98, 24, 91, 39, 12, 1, 90]",32.08,2.1295680689811705,4.731519460678101
3,"[12, 24, 72, 61, 1, 59, 32, 26, 10, 42]",37.54,1.7996326303482055,6.454407453536987
4,"[98, 59, 12, 0, 54, 86, 2, 16, 4, 34]",39.1,1.453438082933426,8.031052589416504
5,"[91, 1, 35, 98, 79, 8, 36, 18, 14, 45]",48.07,1.3718565690517426,9.362282037734985
6,"[79, 2, 42, 26, 86, 62, 94, 15, 43, 75]",51.21,1.284790382385254,10.93399167060852
7,"[2, 4, 61, 8, 36, 20, 73, 27, 5, 51]",54.62,1.239927010536194,12.377074718475342
8,"[66, 21, 27, 79, 26, 63, 13, 78, 69, 95]",61.61,1.0371096831560136,13.950732946395874
9,"[4, 15, 2, 91, 94, 99, 3, 6, 93, 50]",58.34,1.0830026924610139,15.554967164993286
10,"[39, 86, 72, 35, 20, 44, 64, 33, 56, 74]",54.25,1.0474269890785217,17.08061170578003
11,"[14, 42, 13, 63, 86, 25, 97, 87, 38, 55]",63.13,0.9363294869661332,18.370483875274658
12,"[54, 56, 87, 27, 50, 11, 17, 37, 60, 46]",62.26,0.9915793335437775,19.857280254364014
13,"[56, 11, 2, 34, 62, 83, 70, 29, 65, 80]",64.19,0.9561942988634109,21.406283855438232
14,"[74, 20, 34, 54, 38, 49, 19, 7, 89, 52]",60.54,0.9884177404642105,22.872263431549072
15,"[38, 21, 12, 7, 36, 58, 53, 41, 88, 84]",63.49,0.9528935658931732,24.237757444381714
16,"[43, 33, 84, 29, 2, 48, 31, 77, 76, 82]",66.03,0.8902819412946701,25.714438676834106
17,"[74, 21, 65, 26, 2, 40, 47, 71, 57, 68]",68.79,0.8628632658720017,27.30471658706665
18,"[16, 90, 95, 21, 0, 85, 9, 30, 22, 23]",66.39,0.8601736027002335,29.005883932113647
19,"[76, 24, 60, 58, 2, 81, 67, 92, 96, 28]",70.34,0.8269939500093461,30.740423679351807
20,"[8, 55, 9, 85, 35, 34, 19, 69, 42, 75]",69.14,0.8255045646429062,32.112157583236694
21,"[76, 59, 77, 19, 33, 73, 31, 26, 21, 10]",69.29,0.8005184316635132,33.59302735328674
22,"[11, 31, 27, 75, 3, 83, 37, 7, 47, 58]",69.12,0.8182887959480286,35.172635078430176
23,"[44, 31, 96, 15, 12, 76, 57, 94, 32, 5]",70.14,0.8394663816690445,36.77980017662048
24,"[14, 21, 92, 39, 91, 96, 46, 29, 32, 75]",67.66,0.8552493721246719,38.303646087646484
25,"[3, 61, 27, 65, 98, 32, 88, 99, 26, 5]",72.3,0.779167914390564,39.78668689727783
26,"[74, 21, 4, 81, 40, 3, 60, 34, 17, 75]",68.74,0.7971401739120484,41.226555824279785
27,"[90, 53, 32, 96, 44, 62, 76, 46, 21, 25]",70.8,0.7753980219364166,42.84220814704895
28,"[72, 23, 33, 54, 90, 24, 60, 65, 81, 78]",72.68,0.7534257411956787,44.422839879989624
29,"[29, 58, 0, 2, 23, 60, 13, 59, 5, 65]",73.42,0.7344506156444549,46.08589029312134
30,"[85, 5, 21, 81, 58, 94, 59, 57, 14, 83]",71.57,0.7562042862176895,47.57800102233887
31,"[32, 15, 70, 47, 56, 41, 67, 77, 52, 80]",73.09,0.7430468267202377,49.09576606750488
32,"[79, 69, 86, 29, 96, 1, 73, 87, 90, 85]",70.28,0.7720076411962509,50.4689724445343
33,"[40, 6, 11, 5, 53, 73, 35, 38, 93, 20]",66.05,0.8333475667238236,51.80310320854187
34,"[7, 43, 44, 27, 96, 77, 62, 92, 37, 74]",72.55,0.7413332575559616,53.35341739654541
35,"[9, 14, 2, 23, 96, 42, 81, 24, 52, 53]",72.25,0.7330497699975967,55.03776574134827
36,"[49, 83, 96, 59, 72, 25, 75, 51, 11, 22]",72.87,0.721657525897026,56.569457054138184
37,"[26, 45, 84, 30, 35, 4, 96, 75, 77, 46]",72.41,0.7352123534679413,58.16175627708435
38,"[82, 56, 57, 79, 48, 17, 24, 53, 19, 94]",72.42,0.714527263045311,59.74812388420105
39,"[22, 1, 2, 55, 52, 77, 18, 98, 57, 15]",70.0,0.8144721949100494,61.16343879699707
40,"[79, 84, 58, 17, 54, 35, 69, 32, 85, 76]",72.22,0.7304793852567673,62.649988889694214
41,"[20, 0, 94, 69, 79, 29, 78, 30, 60, 25]",72.29,0.7440519505739212,64.11184120178223
