epoch,selected_clients,accuracy,loss,run_time
1,"[3, 98, 60, 35, 80, 18, 77, 68, 90, 23]",10.0,2.284179434776306,18.833740711212158
2,"[98, 3, 60, 23, 18, 78, 22, 46, 39, 65]",13.18,2.1903242230415345,20.84748148918152
3,"[18, 90, 65, 22, 77, 53, 6, 12, 4, 21]",37.65,1.88621533036232,22.836539268493652
4,"[78, 23, 12, 35, 60, 51, 2, 81, 86, 27]",48.26,1.4504946482181549,24.9845130443573
5,"[3, 65, 2, 4, 21, 56, 85, 26, 13, 74]",52.89,1.1997053670883178,27.18908190727234
6,"[12, 18, 56, 4, 27, 94, 89, 41, 1, 54]",55.04,1.16319770693779,29.398538827896118
7,"[51, 68, 53, 98, 12, 29, 93, 55, 11, 8]",60.37,1.036253113746643,30.951194286346436
8,"[46, 21, 56, 4, 60, 50, 16, 63, 15, 43]",60.04,0.9895806705951691,32.933125495910645
9,"[26, 2, 39, 27, 15, 48, 92, 7, 36, 33]",65.12,0.9601776802539825,35.11407136917114
10,"[2, 4, 23, 21, 26, 72, 45, 0, 59, 61]",66.92,0.8823704385757446,37.564340591430664
11,"[23, 56, 27, 2, 11, 47, 99, 64, 58, 75]",64.06,0.9414333653450012,39.96218252182007
12,"[81, 23, 80, 85, 2, 83, 57, 10, 32, 62]",66.08,0.8950371915102004,42.22005891799927
13,"[92, 12, 32, 2, 78, 5, 19, 87, 30, 9]",69.99,0.826877760887146,44.723188400268555
14,"[22, 2, 58, 21, 4, 73, 24, 82, 79, 67]",65.64,0.8675824481248856,46.8014612197876
15,"[65, 23, 92, 24, 15, 44, 34, 95, 38, 97]",70.08,0.8290119457244873,49.152161836624146
16,"[2, 23, 72, 27, 19, 71, 69, 14, 76, 66]",68.71,0.8402328228950501,51.35731029510498
17,"[92, 30, 21, 2, 77, 91, 88, 96, 37, 40]",69.97,0.8075270986557007,53.556286573410034
18,"[69, 72, 2, 58, 5, 31, 28, 42, 17, 25]",71.04,0.8181747078895569,55.822913646698
19,"[23, 96, 2, 26, 72, 70, 84, 20, 52, 49]",69.88,0.7957921606302262,58.16869592666626
20,"[56, 2, 24, 21, 69, 77, 49, 5, 55, 13]",71.84,0.7803128558397293,60.31137132644653
21,"[23, 72, 69, 21, 32, 31, 59, 81, 20, 86]",72.26,0.7610174533724785,62.42750597000122
22,"[58, 2, 24, 69, 23, 63, 17, 89, 9, 4]",73.44,0.7184688943624497,64.61942863464355
23,"[30, 24, 96, 69, 2, 34, 45, 28, 37, 35]",69.42,0.7980102533102036,66.60323905944824
24,"[56, 5, 2, 92, 24, 98, 22, 93, 36, 70]",72.03,0.7542491376399993,68.82185459136963
25,"[96, 23, 21, 2, 56, 7, 4, 28, 77, 16]",72.84,0.7271605932712555,71.14411520957947
26,"[96, 58, 12, 56, 21, 89, 80, 20, 26, 2]",72.79,0.7621304881572724,73.37644386291504
