epoch,selected_clients,accuracy,loss,run_time
1,"[8, 91, 5, 62, 2, 85, 54, 1, 99, 6]",10.07,2.29357248544693,3.518563985824585
2,"[13, 46, 43, 50, 25, 81, 69, 86, 36, 24]",11.88,2.1941141271591187,5.116113901138306
3,"[74, 60, 68, 18, 55, 89, 12, 95, 10, 87]",23.49,1.924964907169342,7.123614549636841
4,"[76, 32, 77, 65, 11, 96, 57, 78, 70, 92]",27.19,1.8112918055057525,8.686445713043213
5,"[52, 56, 45, 47, 80, 64, 72, 28, 61, 79]",51.09,1.3554134035110474,10.495431423187256
6,"[13, 86, 24, 93, 15, 81, 50, 25, 16, 69]",47.56,1.3227229607105255,11.931983947753906
7,"[40, 3, 72, 52, 26, 73, 64, 71, 49, 45]",50.22,1.1247577470541001,13.624014616012573
8,"[14, 17, 11, 77, 58, 67, 32, 92, 66, 29]",63.32,1.0138934653997422,15.12291431427002
9,"[75, 4, 20, 21, 55, 31, 10, 60, 74, 63]",60.64,1.0087958669662476,16.96164345741272
10,"[1, 99, 34, 5, 85, 8, 94, 54, 44, 22]",66.89,0.9071819055080413,18.477407217025757
11,"[39, 34, 22, 37, 5, 85, 8, 54, 90, 97]",64.31,0.9387066739797593,20.250229835510254
12,"[5, 97, 83, 34, 54, 8, 85, 90, 62, 1]",64.93,0.9227849286794663,21.909203052520752
13,"[80, 52, 73, 49, 42, 40, 48, 79, 26, 41]",67.46,0.884561973810196,23.515676498413086
14,"[70, 66, 77, 98, 29, 32, 30, 96, 65, 17]",66.39,0.880001967549324,25.19366979598999
15,"[32, 29, 67, 76, 57, 35, 98, 14, 96, 65]",64.82,0.9103585588932037,26.841148376464844
16,"[2, 44, 90, 8, 94, 83, 99, 5, 39, 6]",65.86,0.9117221009731292,28.47928261756897
17,"[73, 56, 49, 28, 19, 40, 64, 72, 61, 80]",64.06,0.9174162310361862,29.992737293243408
18,"[56, 40, 72, 80, 64, 41, 45, 28, 26, 61]",67.04,0.8467477637529374,31.719710111618042
19,"[13, 86, 88, 46, 51, 36, 33, 81, 82, 24]",67.62,0.8108146941661835,33.19581055641174
20,"[83, 59, 6, 97, 94, 2, 99, 90, 44, 62]",69.78,0.7940215528011322,34.67506718635559
21,"[81, 82, 69, 53, 33, 50, 9, 25, 24, 36]",67.98,0.8306883507966996,36.575011014938354
22,"[55, 38, 10, 74, 87, 7, 31, 84, 63, 23]",72.17,0.7515772640705108,38.3568320274353
23,"[23, 31, 87, 84, 55, 95, 38, 89, 63, 21]",71.34,0.7574851858615875,40.22146964073181
24,"[88, 46, 51, 53, 86, 27, 15, 69, 50, 93]",70.32,0.7717516434192657,41.6134512424469
25,"[76, 14, 17, 30, 70, 66, 0, 98, 32, 92]",72.47,0.7616957902908326,43.25364065170288
26,"[69, 50, 27, 16, 33, 51, 82, 43, 36, 53]",73.04,0.7257757252454757,44.93222665786743
27,"[95, 18, 75, 21, 4, 63, 38, 23, 55, 84]",73.72,0.7184412598609924,46.61298632621765
28,"[29, 78, 30, 98, 58, 70, 96, 17, 92, 11]",71.18,0.7880647027492523,48.10304808616638
29,"[89, 10, 68, 20, 23, 87, 60, 74, 18, 95]",70.28,0.775051298737526,49.766403913497925
30,"[41, 40, 42, 61, 73, 52, 28, 48, 19, 45]",72.03,0.7583178466558457,51.16154479980469
31,"[64, 80, 71, 45, 28, 40, 72, 47, 26, 3]",65.24,0.8248752045631409,52.66522789001465
32,"[80, 28, 3, 49, 64, 40, 48, 71, 52, 79]",71.36,0.7268317711353302,54.12248516082764
33,"[69, 46, 53, 50, 13, 15, 16, 24, 27, 36]",70.87,0.7365750834345818,55.50831127166748
34,"[99, 5, 59, 90, 62, 37, 6, 85, 2, 54]",73.68,0.6967138361930847,57.05560040473938
35,"[67, 70, 32, 58, 98, 35, 17, 76, 78, 14]",72.5,0.729854893386364,58.68744206428528
36,"[60, 68, 84, 21, 95, 4, 75, 23, 63, 18]",73.16,0.6926236426830292,60.4478063583374
37,"[94, 44, 22, 90, 91, 99, 83, 5, 37, 6]",73.51,0.7167924928665161,62.02001094818115
38,"[63, 95, 21, 10, 84, 7, 60, 87, 38, 4]",74.77,0.6783041912317276,63.59540772438049
