epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[8, 91, 5, 62, 2, 85, 54, 1, 99, 6]",10.07,2.29357248544693,3.518563985824585,3.17,3.17
2,"[13, 46, 43, 50, 25, 81, 69, 86, 36, 24]",11.88,2.1941141271591187,5.116113901138306,5.68,8.85
3,"[74, 60, 68, 18, 55, 89, 12, 95, 10, 87]",23.49,1.924964907169342,7.123614549636841,7.91,16.759999999999998
4,"[76, 32, 77, 65, 11, 96, 57, 78, 70, 92]",27.19,1.8112918055057523,8.686445713043213,8.96,25.72
5,"[52, 56, 45, 47, 80, 64, 72, 28, 61, 79]",51.09,1.3554134035110474,10.495431423187256,11.71,37.43
6,"[13, 86, 24, 93, 15, 81, 50, 25, 16, 69]",47.56,1.3227229607105255,11.931983947753906,5.49,42.92
7,"[40, 3, 72, 52, 26, 73, 64, 71, 49, 45]",50.22,1.1247577470541,13.624014616012571,11.71,54.63
8,"[14, 17, 11, 77, 58, 67, 32, 92, 66, 29]",63.32,1.0138934653997422,15.12291431427002,9.3,63.93000000000001
9,"[75, 4, 20, 21, 55, 31, 10, 60, 74, 63]",60.64,1.0087958669662476,16.96164345741272,7.91,71.84
10,"[1, 99, 34, 5, 85, 8, 94, 54, 44, 22]",66.89,0.9071819055080412,18.47740721702576,2.79,74.63000000000001
11,"[39, 34, 22, 37, 5, 85, 8, 54, 90, 97]",64.31,0.9387066739797592,20.25022983551025,3.27,77.9
12,"[5, 97, 83, 34, 54, 8, 85, 90, 62, 1]",64.93,0.9227849286794664,21.909203052520752,3.27,81.17
13,"[80, 52, 73, 49, 42, 40, 48, 79, 26, 41]",67.46,0.884561973810196,23.51567649841309,12.1,93.27
14,"[70, 66, 77, 98, 29, 32, 30, 96, 65, 17]",66.39,0.880001967549324,25.19366979598999,9.3,102.57
15,"[32, 29, 67, 76, 57, 35, 98, 14, 96, 65]",64.82,0.9103585588932036,26.841148376464844,8.83,111.39999999999999
16,"[2, 44, 90, 8, 94, 83, 99, 5, 39, 6]",65.86,0.9117221009731292,28.47928261756897,3.27,114.66999999999999
17,"[73, 56, 49, 28, 19, 40, 64, 72, 61, 80]",64.06,0.9174162310361862,29.992737293243408,11.38,126.04999999999998
18,"[56, 40, 72, 80, 64, 41, 45, 28, 26, 61]",67.04,0.8467477637529374,31.71971011161804,11.71,137.76
19,"[13, 86, 88, 46, 51, 36, 33, 81, 82, 24]",67.62,0.8108146941661835,33.19581055641174,6.05,143.81
20,"[83, 59, 6, 97, 94, 2, 99, 90, 44, 62]",69.78,0.7940215528011322,34.67506718635559,3.27,147.08
21,"[81, 82, 69, 53, 33, 50, 9, 25, 24, 36]",67.98,0.8306883507966996,36.575011014938354,6.05,153.13000000000002
22,"[55, 38, 10, 74, 87, 7, 31, 84, 63, 23]",72.17,0.7515772640705108,38.3568320274353,7.91,161.04000000000002
