epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",19.93,2.248556728363037,1.599252223968506,2.36,2.36
2,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",23.16,2.0793917310237884,3.340039014816284,3.27,5.63
3,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",22.18,1.952990745306015,5.0190205574035645,4.49,10.120000000000001
4,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",38.02,1.642750471830368,7.014642715454102,6.1,16.22
5,"[12, 21, 55, 63, 68, 75, 87, 95]",44.62,1.3713556122779846,8.550387859344482,7.22,23.439999999999998
6,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",44.79,1.3162723195552826,10.267967224121094,7.91,31.349999999999998
7,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",45.76,1.3571062076091769,12.16334867477417,8.65,40.0
8,"[0, 14, 17, 30, 66, 70, 76, 92, 96]",52.43,1.1418249148130415,13.955058336257936,9.3,49.3
9,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",58.11,1.0727984446287155,15.6590416431427,10.93,60.23
10,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",56.2,1.025685606598854,17.51511287689209,12.1,72.33
11,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",46.85,1.1656811052560807,19.01212859153748,2.36,74.69
12,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",61.94,0.9782028651237488,20.593486547470093,3.27,77.96
13,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",53.44,1.0360708808898926,22.23089408874512,6.1,84.05999999999999
14,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",61.93,0.9911909824609756,23.72008299827576,4.49,88.54999999999998
15,"[12, 21, 55, 63, 68, 75, 87, 95]",66.44,0.9270298111438752,25.072837591171265,7.22,95.76999999999998
16,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",61.35,0.9734757792949676,26.56594705581665,7.91,103.67999999999998
17,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",61.07,1.0095544648170471,28.270843029022217,8.65,112.32999999999998
18,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",55.29,1.0143973511457445,29.888074159622192,6.1,118.42999999999998
19,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",64.96,0.8826466083526612,31.444636344909668,3.27,121.69999999999997
20,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",65.84,0.8765746825933456,32.971075773239136,10.93,132.62999999999997
21,"[0, 14, 17, 30, 66, 70, 76, 92, 96]",65.92,0.8873123955726624,34.36114311218262,9.3,141.92999999999998
22,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",65.68,0.8708375310897827,35.74766659736633,4.49,146.42
23,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",57.02,1.0395176953077316,37.01657128334045,2.36,148.78
24,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",63.64,0.8747274708747864,38.56734085083008,6.1,154.88
25,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",67.15,0.8447869473695755,40.05813097953797,12.1,166.98
26,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",62.05,0.900644548535347,41.69642114639282,6.1,173.07999999999998
27,"[12, 21, 55, 63, 68, 75, 87, 95]",70.69,0.8076747977733612,43.11677384376526,7.22,180.29999999999998
28,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",68.6,0.8053542977571487,44.74008989334106,3.27,183.57
29,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",63.53,0.8756094372272492,46.40986347198486,6.1,189.67
30,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",66.93,0.8481177186965942,47.82961964607239,7.91,197.57999999999998
31,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",68.19,0.8651601457595826,49.3709020614624,8.65,206.23
32,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",67.21,0.8133783710002899,50.832595109939575,10.93,217.16
33,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",68.83,0.7956510585546493,52.33815407752991,4.49,221.65
34,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",65.0,0.8328547108173371,53.96487379074097,6.1,227.75
35,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",63.2,0.884797391295433,55.39611458778381,2.36,230.11
36,"[12, 21, 55, 63, 68, 75, 87, 95]",72.84,0.7536465620994568,56.75652003288269,7.22,237.33
37,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",65.09,0.849299573302269,58.3732795715332,6.1,243.43
38,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",70.34,0.7554502254724502,59.95139765739441,3.27,246.70000000000002
39,"[0, 14, 17, 30, 66, 70, 76, 92, 96]",70.25,0.7867314523458481,61.44417762756348,9.3,256.0
40,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",69.39,0.7596916711330414,63.15268683433533,6.1,262.1
41,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",67.38,0.7952447307109832,64.773916721344,6.1,268.20000000000005
42,"[9, 13, 15, 24, 25, 36, 50, 53, 69, 88]",72.21,0.7279157298803329,66.13842821121216,4.49,272.69000000000005
43,"[11, 29, 32, 35, 57, 58, 65, 67, 77, 78, 98]",70.78,0.7753199595212936,67.73432564735413,8.65,281.34000000000003
44,"[4, 7, 10, 18, 20, 31, 38, 60, 84, 89]",69.07,0.7907375597953796,69.24076890945435,7.91,289.25000000000006
45,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",72.33,0.7186099380254746,70.73105883598328,3.27,292.52000000000004
46,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",71.51,0.7367964851856231,72.2209484577179,12.1,304.62000000000006
47,"[12, 21, 55, 63, 68, 75, 87, 95]",73.8,0.7097320991754532,73.57542252540588,7.22,311.8400000000001
48,"[16, 23, 27, 33, 43, 46, 51, 74, 81, 82, 86, 93]",69.49,0.7569436573982239,75.21666669845581,6.1,317.9400000000001
49,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",72.57,0.7034479975700378,76.68473625183105,10.93,328.8700000000001
50,"[1, 5, 8, 37, 44, 59, 62, 85, 91]",65.65,0.7982822942733765,78.03182625770569,2.36,331.23000000000013
51,"[2, 6, 22, 34, 39, 54, 83, 90, 94, 97, 99]",71.42,0.7260808604955673,79.59265732765198,3.27,334.5000000000001
