epoch,selected_clients,accuracy,loss,run_time
1,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",15.74,2.4405788803100585,39.457077503204346
2,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",22.38,2.094547289609909,74.3644847869873
3,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",22.33,2.106239324808121,116.20957088470459
4,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",27.61,1.9646611273288728,153.8474600315094
5,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",32.26,1.8431015312671661,191.12659406661987
6,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",33.71,1.8173747777938842,228.0541708469391
7,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",37.93,1.65265726685524,266.54593086242676
8,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",39.04,1.6635600817203522,292.6717140674591
9,"[3, 20, 22, 24, 28, 30, 33, 35, 63, 66, 71, 80, 81, 96]",37.51,1.7217251980304717,326.84758472442627
10,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",43.19,1.573342694044113,366.63723063468933
11,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",43.95,1.5586421251296998,404.35306668281555
12,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",45.01,1.540293539762497,442.16483545303345
13,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",47.11,1.4843101406097412,484.5407223701477
14,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",49.32,1.4070957601070404,519.825713634491
15,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",46.32,1.490389028787613,557.3963520526886
16,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",46.12,1.480871069431305,584.5788359642029
17,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",50.46,1.373188225030899,623.323132276535
18,"[11, 18, 32, 37, 41, 48, 56, 57, 72, 74, 75, 77, 79, 91, 93]",49.92,1.4099898910522461,668.0153040885925
19,"[0, 6, 15, 25, 31, 36, 40, 54, 59, 82, 85, 87, 92, 94]",47.95,1.4295296204090118,696.4785702228546
20,"[10, 23, 45, 46, 50, 51, 55, 58, 61, 64, 78, 88]",49.98,1.3788247907161713,722.682088136673
21,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",54.57,1.2876135575771332,758.0461437702179
22,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",52.8,1.3310329043865203,794.9395861625671
23,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",51.75,1.3489674377441405,831.2045450210571
24,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",52.34,1.3304980492591858,868.3667697906494
25,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.25,1.3095190799236298,905.3324580192566
26,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",54.35,1.2584471833705901,944.5990922451019
27,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",56.28,1.2237124335765839,979.8477482795715
28,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.8,1.2559745812416077,1018.3064653873444
29,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.2,1.275645560026169,1055.9885578155518
30,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.5,1.2898054921627045,1093.5913999080658
31,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.49,1.2886194789409637,1130.246332168579
32,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",53.94,1.2799145466089248,1167.7939705848694
33,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",58.5,1.1776288408041,1201.8207685947418
34,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.28,1.2547880816459656,1239.3237137794495
35,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",54.5,1.279671151638031,1276.9908776283264
36,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.02,1.2722080957889557,1315.0622425079346
37,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",56.39,1.197080872654915,1354.9787015914917
38,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.74,1.2382823771238327,1393.5507724285126
39,"[4, 12, 14, 16, 21, 42, 43, 49, 53, 60, 68, 86, 90, 95, 99]",57.81,1.1755229079723357,1429.1026017665863
40,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",56.48,1.2210587859153748,1466.9687414169312
41,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.87,1.2493550485372544,1504.1524901390076
42,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.88,1.2510172599554061,1542.2313022613525
43,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",56.12,1.249792790412903,1579.6185302734375
44,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.33,1.268239539861679,1617.2090537548065
45,"[1, 8, 17, 26, 34, 39, 47, 62, 65, 67, 70, 73, 84, 89, 98]",57.37,1.1809321796894074,1655.8638701438904
46,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",56.58,1.2277561342716217,1694.41770029068
47,"[2, 5, 7, 9, 13, 19, 27, 29, 38, 44, 52, 69, 76, 83, 97]",55.83,1.2494262874126434,1732.4203732013702
