epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",15.52,2.226593885421753,36.51871061325073,20.38,20.38
2,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",28.26,1.963830637931824,71.16425275802612,26.23,46.61
3,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",34.46,1.7651721322536469,108.35800313949584,22.75,69.36
4,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",36.32,1.6680190670490265,145.17707800865173,20.38,89.74
5,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",40.81,1.5774417066574096,181.88581919670105,20.38,110.11999999999999
6,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",42.26,1.5418210518360138,218.62611889839167,20.38,130.5
7,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",45.95,1.4598659253120423,255.29333782196045,26.2,156.7
8,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",47.09,1.4274487292766571,286.7569761276245,25.22,181.92
9,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",48.11,1.4179042983055117,316.669203042984,24.92,206.83999999999997
10,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.28,1.383384985923767,352.7834265232086,20.38,227.21999999999997
11,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.17,1.392191494703293,388.9429862499237,20.38,247.59999999999997
12,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",49.52,1.3848705720901489,426.03186988830566,20.38,267.97999999999996
13,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",51.11,1.3541995942592622,463.52346324920654,20.38,288.35999999999996
14,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",52.75,1.2853571408987046,500.6040825843811,26.2,314.55999999999995
15,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",52.64,1.3069508576393127,537.6092050075531,20.38,334.93999999999994
16,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",52.8,1.3196751523017882,577.8777070045471,20.38,355.31999999999994
17,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",54.96,1.2514679205417634,607.4886918067932,28.13,383.44999999999993
18,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",55.8,1.2166174864768982,648.5620291233063,26.2,409.6499999999999
19,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",57.47,1.1841818106174469,689.8901805877686,22.75,432.3999999999999
20,"[0, 6, 14, 25, 30, 39, 57, 65, 71, 73, 79, 82, 88]",57.15,1.1989170801639557,719.5289869308472,28.13,460.5299999999999
21,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",57.39,1.1781458741426467,752.1003448963165,25.22,485.7499999999999
22,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",58.92,1.1657802683115006,793.6045503616333,26.23,511.9799999999999
23,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.39,1.1663040333986283,834.6636590957642,20.38,532.3599999999999
24,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.47,1.1800266176462173,873.816486120224,20.38,552.7399999999999
25,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.67,1.180781149864197,912.3991079330444,20.38,573.1199999999999
26,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.37,1.194460458159447,951.57080078125,20.38,593.4999999999999
27,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",58.92,1.179157119989395,990.1557321548462,20.38,613.8799999999999
28,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.4,1.1898848879337312,1029.9829001426697,20.38,634.2599999999999
29,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",60.08,1.1557176744937896,1063.6000809669497,24.92,659.1799999999998
30,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.84,1.160597303509712,1103.122056722641,20.38,679.5599999999998
31,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.06,1.1787932032346726,1143.8273994922638,20.38,699.9399999999998
32,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.6,1.1796481275558472,1184.0336291790009,20.38,720.3199999999998
33,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",59.84,1.1825037902593614,1224.0093142986298,20.38,740.6999999999998
34,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.71,1.1813002240657806,1263.6029031276703,20.38,761.0799999999998
35,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",62.02,1.1036638563871384,1305.817885875702,22.75,783.8299999999998
36,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.36,1.1461337327957153,1344.315141916275,20.38,804.2099999999998
37,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.65,1.176177659034729,1384.481913805008,20.38,824.5899999999998
38,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",60.92,1.1720489239692689,1424.0397288799286,20.38,844.9699999999998
39,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.48,1.1891834622621535,1463.591999053955,20.38,865.3499999999998
40,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",62.81,1.0866220849752426,1502.6384489536283,26.2,891.5499999999998
41,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.13,1.14949505507946,1541.7948653697968,20.38,911.9299999999998
42,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",63.15,1.0670788186788558,1581.7494368553162,26.23,938.1599999999999
43,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.97,1.1239848744869232,1622.3216536045074,20.38,958.5399999999998
44,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.86,1.1654273164272309,1661.9065172672272,20.38,978.9199999999998
45,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",62.5,1.158531191945076,1700.600442647934,20.38,999.2999999999998
46,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.69,1.191787790060043,1739.310313463211,20.38,1019.6799999999998
47,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",61.9,1.2016153472661972,1780.0353753566742,20.38,1040.06
48,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",63.76,1.063928542137146,1820.049931526184,26.2,1066.26
49,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.01,1.171551661491394,1860.3989880084991,20.38,1086.64
50,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.19,1.177835778594017,1899.5840306282043,20.38,1107.0200000000002
51,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",64.6,1.055133389234543,1939.573239564896,26.23,1133.2500000000002
52,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.83,1.1367350029945371,1978.7854659557345,20.38,1153.6300000000003
53,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",63.45,1.1628130394220353,2018.6084866523745,20.38,1174.0100000000004
54,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",64.2,1.0749303430318833,2051.369355916977,25.22,1199.2300000000005
55,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.22,1.1359364432096482,2091.049595117569,20.38,1219.6100000000006
56,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",65.22,1.0531233912706377,2124.713748216629,25.22,1244.8300000000006
57,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",65.31,1.0440640646219252,2161.3823108673096,24.92,1269.7500000000007
58,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",65.46,1.0866652011871338,2202.120322704315,20.38,1290.1300000000008
59,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",65.06,1.116279549598694,2241.378291606903,20.38,1310.510000000001
60,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.69,1.1241217243671418,2281.6398351192474,20.38,1330.890000000001
61,"[8, 16, 18, 19, 21, 27, 34, 42, 51, 55, 58, 64, 75, 76, 93]",66.08,1.0356538474559784,2322.181722164154,26.23,1357.120000000001
62,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",65.45,1.10969380736351,2362.501303434372,20.38,1377.5000000000011
63,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",64.73,1.1391030901670456,2404.2266416549683,20.38,1397.8800000000012
64,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",65.39,1.0580491864681243,2437.9106998443604,24.92,1422.8000000000013
65,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",65.57,1.0509293276071547,2472.5115311145782,24.92,1447.7200000000014
66,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",66.57,0.9986552870273592,2514.300768852234,22.75,1470.4700000000014
67,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",66.35,1.0665010285377503,2554.8883440494537,20.38,1490.8500000000015
68,"[1, 10, 23, 24, 28, 38, 43, 45, 48, 50, 59, 62, 69, 87, 94]",67.16,0.9860446375608444,2596.957662820816,26.2,1517.0500000000015
69,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",67.51,0.98330075442791,2629.891168117523,25.22,1542.2700000000016
70,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",67.11,1.0445976078510284,2667.053701877594,20.38,1562.6500000000017
71,"[5, 20, 22, 26, 31, 33, 35, 36, 44, 46, 61, 72, 89, 91, 95]",67.21,0.9853015798330308,2708.575861930847,22.75,1585.4000000000017
72,"[4, 7, 9, 11, 15, 37, 40, 53, 74, 77, 81, 83, 90, 96]",66.62,1.0726237773895264,2747.6982259750366,20.38,1605.7800000000018
73,"[2, 3, 29, 47, 52, 54, 56, 66, 67, 68, 70, 84, 86]",66.98,1.0123361080884934,2781.839275121689,25.22,1631.0000000000018
74,"[12, 13, 17, 32, 41, 49, 60, 63, 78, 80, 85, 92, 97, 98, 99]",66.91,1.0155874061584471,2814.7180876731877,24.92,1655.920000000002
