epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[33, 74, 59, 76, 87, 9, 10, 7, 73, 63]",10.0,2.342074065208435,3.876400947570801,10.55,10.55
2,"[73, 7, 33, 76, 9, 81, 99, 62, 68, 64]",10.0,2.679641749858856,5.245068788528442,11.38,21.93
3,"[73, 10, 99, 87, 76, 34, 0, 69, 49, 2]",15.67,2.436472063064575,6.645186901092529,10.58,32.51
4,"[2, 99, 73, 34, 63, 48, 95, 44, 13, 79]",27.27,2.0847995293140413,8.139976978302002,12.1,44.61
5,"[64, 69, 34, 73, 9, 30, 53, 27, 16, 50]",39.05,1.987584240436554,9.813696384429932,11.38,55.99
6,"[7, 79, 74, 2, 16, 32, 89, 43, 39, 57]",33.45,1.728952728509903,11.080256223678589,10.63,66.62
7,"[95, 16, 43, 10, 2, 94, 29, 23, 25, 52]",47.55,1.5659209990501404,12.699037551879885,10.11,76.73
8,"[43, 33, 73, 27, 76, 15, 40, 88, 60, 45]",41.47,1.4797341704368592,14.292005777359009,11.71,88.44
9,"[95, 44, 62, 16, 53, 77, 26, 35, 61, 12]",46.03,1.327124891281128,16.357858896255493,11.29,99.72999999999999
10,"[99, 27, 53, 26, 40, 51, 36, 18, 93, 24]",43.4,1.3993274676799774,18.01664686203003,11.13,110.85999999999999
11,"[12, 25, 27, 35, 53, 8, 11, 38, 96, 65]",48.7,1.3269855773448944,19.99452352523804,8.72,119.57999999999998
12,"[77, 87, 26, 93, 69, 78, 98, 46, 84, 86]",52.88,1.1385893422365188,21.796443223953247,11.13,130.70999999999998
13,"[77, 12, 16, 26, 25, 31, 70, 85, 42, 72]",46.39,1.3365714633464814,23.70038771629333,11.18,141.89
14,"[93, 38, 27, 26, 12, 82, 58, 75, 56, 22]",46.29,1.1401913410425186,25.52780771255493,11.13,153.01999999999998
15,"[93, 25, 53, 12, 27, 6, 5, 37, 28, 80]",42.19,1.571503015756607,27.427245140075684,11.34,164.35999999999999
16,"[12, 38, 70, 50, 93, 14, 47, 4, 83, 20]",53.06,1.2516528236865998,29.232871770858765,10.86,175.21999999999997
17,"[12, 37, 27, 38, 93, 97, 90, 55, 17, 19]",54.28,1.1288177222013474,31.2818341255188,9.94,185.15999999999997
18,"[77, 12, 26, 93, 37, 71, 54, 67, 92, 66]",55.56,1.209402237534523,33.23011589050293,11.13,196.28999999999996
19,"[26, 48, 70, 25, 35, 91, 21, 41, 1, 3]",63.49,0.9422826731204986,34.823813676834106,12.1,208.38999999999996
20,"[16, 79, 12, 55, 25, 99, 70, 43, 63, 13]",59.88,0.999063264131546,36.52869510650635,10.63,219.01999999999995
21,"[27, 47, 38, 73, 40, 45, 12, 93, 35, 95]",56.66,0.9958958917856215,38.5974657535553,11.71,230.72999999999996
22,"[75, 27, 17, 47, 53, 12, 84, 50, 77, 52]",65.83,0.9046366208791732,40.48473191261292,10.86,241.58999999999997
23,"[77, 17, 90, 78, 6, 47, 7, 2, 71, 5]",63.31,0.9498342937231063,42.1929247379303,11.09,252.67999999999998
24,"[69, 93, 76, 90, 60, 27, 12, 35, 53, 80]",59.59,1.035490532517433,44.02512764930725,10.04,262.71999999999997
25,"[5, 26, 55, 27, 93, 59, 34, 47, 25, 37]",64.5,0.951828317642212,45.83673167228699,11.13,273.84999999999997
26,"[47, 43, 69, 93, 35, 5, 27, 25, 68, 10]",67.75,0.8489228212833404,47.58031415939331,10.86,284.71
27,"[17, 47, 25, 77, 55, 12, 53, 64, 27, 38]",65.38,0.8945453995466233,49.665961503982544,11.38,296.09
28,"[77, 49, 55, 50, 47, 38, 17, 69, 37, 70]",66.3,0.9078523457050324,51.56724166870117,10.86,306.95
29,"[12, 90, 75, 52, 55, 6, 43, 93, 77, 5]",61.89,0.9568843239545822,53.35178065299988,10.11,317.06
30,"[6, 55, 37, 12, 47, 77, 17, 70, 38, 75]",63.96,0.9418816077709198,55.25835084915161,10.86,327.92
31,"[5, 17, 90, 93, 12, 99, 75, 69, 96, 23]",64.02,0.8839053672552108,56.91551184654236,9.3,337.22
32,"[99, 75, 37, 27, 56, 90, 17, 35, 50, 93]",64.97,0.873024759888649,58.806063652038574,11.1,348.32000000000005
33,"[12, 78, 50, 5, 95, 26, 43, 0, 81, 35]",68.06,0.8494198751449585,60.50195646286011,11.13,359.45000000000005
34,"[26, 69, 25, 16, 43, 90, 12, 77, 47, 17]",64.57,0.8487827116250992,62.3979082107544,11.13,370.58000000000004
35,"[16, 75, 47, 84, 35, 37, 27, 12, 77, 90]",63.08,0.9077710425853728,64.25960683822632,10.86,381.44000000000005
36,"[77, 47, 69, 53, 50, 73, 75, 93, 90, 35]",69.31,0.7876613742113113,66.05987620353699,10.86,392.30000000000007
37,"[1, 35, 37, 27, 90, 26, 12, 38, 47, 70]",63.19,0.861519056558609,68.12815594673157,11.13,403.43000000000006
38,"[55, 47, 69, 12, 37, 17, 9, 27, 5, 38]",67.62,0.806585795879364,70.0297429561615,10.86,414.2900000000001
39,"[78, 70, 53, 43, 27, 75, 17, 47, 16, 37]",72.19,0.7435109829902649,71.80856990814209,10.86,425.1500000000001
40,"[50, 25, 37, 75, 86, 19, 35, 5, 93, 83]",68.15,0.8256994944810867,73.53545880317688,9.94,435.0900000000001
41,"[99, 52, 26, 39, 75, 5, 43, 2, 16, 93]",66.49,0.8659055328369141,75.21433448791504,11.13,446.2200000000001
42,"[26, 70, 37, 80, 25, 55, 27, 12, 43, 17]",68.05,0.8001214379072189,77.2432336807251,11.13,457.3500000000001
43,"[69, 88, 77, 35, 27, 38, 36, 70, 40, 37]",66.46,0.8476085525751114,79.1297082901001,10.93,468.2800000000001
44,"[55, 77, 70, 25, 37, 90, 93, 50, 38, 26]",64.74,0.9263852846622468,81.25275564193726,11.13,479.4100000000001
45,"[12, 93, 17, 43, 38, 44, 16, 55, 37, 69]",68.64,0.8137212353944778,83.19086050987244,9.3,488.7100000000001
46,"[70, 43, 71, 37, 47, 52, 55, 35, 93, 16]",69.4,0.7807792097330093,84.86070895195007,11.09,499.80000000000007
47,"[16, 77, 25, 48, 47, 38, 52, 95, 43, 60]",67.36,0.829248218536377,86.48742961883545,12.1,511.9000000000001
48,"[25, 17, 70, 99, 12, 16, 93, 47, 90, 53]",68.33,0.8632623624801635,88.38946843147278,10.86,522.7600000000001
49,"[93, 37, 35, 90, 50, 69, 17, 38, 6, 26]",69.47,0.7681855744123459,90.5028293132782,11.13,533.8900000000001
50,"[55, 27, 70, 43, 50, 37, 47, 77, 12, 53]",69.2,0.7794302237033844,92.50169801712036,10.86,544.7500000000001
51,"[5, 38, 16, 93, 55, 12, 17, 43, 70, 53]",70.67,0.7472735387086868,94.39353132247923,9.3,554.0500000000001
52,"[12, 75, 27, 77, 26, 35, 38, 37, 53, 99]",66.36,0.8266048002243042,96.49267172813416,11.13,565.1800000000001
53,"[53, 12, 37, 55, 38, 99, 77, 27, 75, 69]",59.69,0.9218106126785278,98.39775371551514,8.59,573.7700000000001
54,"[47, 76, 12, 27, 17, 16, 99, 5, 38, 37]",62.32,0.8591159909963608,100.41032242774963,10.86,584.6300000000001
55,"[77, 38, 43, 27, 5, 70, 37, 12, 26, 55]",64.72,0.8347310721874237,102.60006141662598,11.13,595.7600000000001
56,"[42, 5, 53, 75, 90, 77, 70, 17, 47, 43]",72.74,0.713978642821312,104.49357748031616,11.18,606.94
57,"[35, 50, 73, 38, 12, 25, 26, 70, 17, 93]",69.12,0.7706787729263306,106.59501028060912,11.13,618.07
58,"[99, 26, 37, 43, 38, 17, 77, 12, 78, 93]",66.08,0.8270617794990539,108.76638627052309,11.13,629.2
59,"[26, 17, 52, 35, 30, 99, 27, 69, 6, 70]",69.61,0.7857699275016785,110.45399403572084,11.13,640.33
60,"[37, 47, 53, 93, 43, 77, 55, 16, 8, 27]",71.45,0.7153972548246383,112.26208305358888,10.86,651.19
61,"[27, 16, 37, 38, 53, 12, 47, 90, 75, 77]",65.18,0.8411290568113327,114.29369473457336,10.86,662.0500000000001
62,"[25, 5, 93, 38, 43, 17, 37, 77, 69, 90]",64.37,0.8730009984970093,116.24348878860474,9.3,671.35
63,"[47, 17, 75, 99, 93, 37, 27, 70, 77, 12]",70.43,0.7534604120254517,118.29911613464355,10.86,682.21
64,"[77, 70, 2, 69, 27, 38, 12, 47, 55, 26]",68.92,0.7672244882583619,120.32867336273192,11.13,693.34
65,"[90, 53, 16, 70, 99, 35, 26, 77, 93, 75]",71.88,0.7480780729651451,122.22363686561584,11.13,704.47
66,"[12, 75, 16, 55, 53, 69, 37, 50, 27, 26]",72.19,0.7150959923863411,124.09124326705933,11.13,715.6
67,"[5, 90, 55, 17, 37, 43, 26, 38, 25, 27]",71.89,0.7106203532218933,126.09871077537537,11.13,726.73
68,"[90, 69, 77, 12, 47, 70, 38, 99, 35, 26]",69.93,0.7468603777885438,127.96955633163452,11.13,737.86
69,"[25, 93, 26, 31, 69, 77, 17, 70, 37, 16]",66.51,0.8201458632946015,129.98388743400574,11.13,748.99
70,"[77, 93, 55, 26, 16, 27, 17, 70, 75, 38]",72.93,0.7036323615908623,132.088787317276,11.13,760.12
71,"[27, 38, 90, 25, 17, 93, 26, 75, 77, 5]",69.59,0.7649183267354965,134.24233961105347,11.13,771.25
72,"[12, 69, 38, 16, 27, 5, 35, 53, 17, 70]",75.42,0.6537067028880119,136.17273211479187,9.3,780.55
73,"[99, 70, 25, 38, 5, 53, 37, 17, 12, 47]",69.84,0.7590981251001359,138.15704703330994,10.86,791.41
74,"[38, 17, 70, 69, 99, 12, 47, 93, 35, 90]",73.0,0.6825715345144272,140.14381217956543,10.86,802.27
75,"[53, 26, 25, 93, 37, 17, 47, 35, 5, 16]",73.96,0.6968248665332795,142.11259174346924,11.13,813.4
76,"[70, 77, 26, 5, 12, 55, 93, 75, 37, 27]",68.74,0.7739681303501129,144.00595879554749,11.13,824.53
77,"[77, 75, 12, 17, 38, 40, 6, 71, 27, 53]",73.5,0.6941702154278755,146.04639434814453,11.09,835.62
78,"[55, 12, 25, 50, 38, 16, 27, 77, 93, 35]",67.19,0.776739991903305,147.99621415138245,8.59,844.21
79,"[26, 27, 55, 90, 77, 29, 37, 16, 69, 17]",72.1,0.7150391960144042,149.92617440223694,11.13,855.34
80,"[26, 16, 77, 25, 37, 35, 99, 17, 12, 27]",68.6,0.7887394604086876,151.96973848342896,11.13,866.47
81,"[75, 69, 16, 47, 5, 27, 77, 17, 55, 35]",69.99,0.756357427239418,153.81267881393433,10.86,877.33
82,"[5, 17, 6, 50, 16, 77, 87, 26, 27, 90]",72.81,0.7135380098223686,155.80184268951416,11.13,888.46
83,"[12, 27, 90, 77, 37, 93, 1, 26, 25, 52]",63.12,0.9132505375146864,158.01161980628967,11.13,899.59
84,"[93, 38, 80, 25, 26, 77, 27, 90, 78, 53]",68.11,0.7710819411277771,159.96898102760315,11.13,910.72
85,"[77, 26, 17, 25, 69, 16, 27, 53, 12, 93]",69.04,0.7419011223316193,162.0744752883911,11.13,921.85
86,"[77, 27, 70, 47, 17, 26, 43, 38, 99, 75]",71.91,0.6952172029018402,164.08001685142517,11.13,932.98
87,"[70, 16, 77, 99, 25, 55, 38, 75, 37, 69]",67.66,0.8015858393907547,165.85868287086487,8.94,941.9200000000001
88,"[53, 90, 55, 35, 93, 38, 43, 16, 99, 5]",75.61,0.633184594810009,167.54994225502014,8.45,950.3700000000001
89,"[17, 26, 90, 70, 69, 25, 5, 12, 55, 43]",75.48,0.6341897317767143,169.42919206619263,11.13,961.5000000000001
90,"[93, 5, 27, 47, 53, 69, 77, 17, 70, 43]",75.44,0.6502428430318833,171.21512603759766,10.86,972.3600000000001
91,"[70, 26, 69, 27, 17, 12, 90, 55, 60, 77]",74.4,0.6654207411408425,173.18791484832764,11.13,983.4900000000001
92,"[50, 93, 26, 70, 35, 33, 38, 90, 99, 17]",75.47,0.6516787582635879,175.3128845691681,11.13,994.6200000000001
93,"[43, 77, 17, 38, 5, 12, 35, 27, 55, 75]",73.2,0.6721875396370888,177.42359042167664,9.3,1003.9200000000001
94,"[27, 55, 5, 69, 16, 17, 84, 77, 37, 70]",71.51,0.7279758515954018,179.26954078674316,9.3,1013.22
95,"[27, 43, 75, 55, 5, 93, 26, 37, 77, 35]",69.11,0.7438594025373458,181.25486135482788,11.13,1024.3500000000001
96,"[70, 75, 99, 93, 43, 17, 12, 50, 79, 26]",75.8,0.6395977088809013,183.10012650489807,11.13,1035.4800000000002
