epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[3, 98, 60, 35, 80, 18, 77, 68, 90, 23]",10.0,2.284179434776306,18.83374071121216,10.1,10.1
2,"[98, 3, 60, 23, 18, 78, 22, 46, 39, 65]",13.18,2.1903242230415345,20.84748148918152,10.1,20.2
3,"[18, 90, 65, 22, 77, 53, 6, 12, 4, 21]",37.65,1.88621533036232,22.83653926849365,8.59,28.79
4,"[78, 23, 12, 35, 60, 51, 2, 81, 86, 27]",48.26,1.4504946482181549,24.9845130443573,8.45,37.239999999999995
5,"[3, 65, 2, 4, 21, 56, 85, 26, 13, 74]",52.89,1.1997053670883178,27.18908190727234,11.13,48.37
6,"[12, 18, 56, 4, 27, 94, 89, 41, 1, 54]",55.04,1.16319770693779,29.39853882789612,11.19,59.559999999999995
7,"[51, 68, 53, 98, 12, 29, 93, 55, 11, 8]",60.37,1.036253113746643,30.95119428634644,8.45,68.00999999999999
8,"[46, 21, 56, 4, 60, 50, 16, 63, 15, 43]",60.04,0.9895806705951692,32.933125495910645,11.1,79.10999999999999
9,"[26, 2, 39, 27, 15, 48, 92, 7, 36, 33]",65.12,0.9601776802539824,35.11407136917114,12.1,91.20999999999998
10,"[2, 4, 23, 21, 26, 72, 45, 0, 59, 61]",66.92,0.8823704385757446,37.56434059143066,11.71,102.91999999999999
11,"[23, 56, 27, 2, 11, 47, 99, 64, 58, 75]",64.06,0.9414333653450012,39.96218252182007,11.38,114.29999999999998
12,"[81, 23, 80, 85, 2, 83, 57, 10, 32, 62]",66.08,0.8950371915102004,42.22005891799927,10.04,124.33999999999997
13,"[92, 12, 32, 2, 78, 5, 19, 87, 30, 9]",69.99,0.826877760887146,44.72318840026856,9.94,134.27999999999997
14,"[22, 2, 58, 21, 4, 73, 24, 82, 79, 67]",65.64,0.8675824481248856,46.8014612197876,10.63,144.90999999999997
15,"[65, 23, 92, 24, 15, 44, 34, 95, 38, 97]",70.08,0.8290119457244873,49.15216183662415,8.96,153.86999999999998
