group_id,group_data_num,group_wait_delay_time_ratio,group_delay_time,group_delay_var,group_kl_divergence,client_id_list,group_delay_time_list,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,5927.0,0.0335722819593788,9.3,0.04192839506172845,0.00028133805250684816,"[14, 96, 76, 70, 92, 66, 30, 0, 17]","[8.7, 8.72, 8.83, 8.94, 8.96, 9.03, 9.18, 9.23, 9.3]",600,600,599,600,599,600,569,600,561,599
1,6085.0,0.03267394941442767,11.29,0.12796543209876532,0.0019352739475499462,"[3, 73, 47, 40, 71, 56, 42, 41, 61]","[10.1, 10.55, 10.86, 10.93, 11.09, 11.1, 11.18, 11.19, 11.29]",600,576,666,598,565,598,565,636,681,600
2,6042.0,0.043121387283237056,8.65,0.185641,0.001392415851685801,"[12, 60, 29, 65, 57, 11, 35, 77, 67, 32]","[7.22, 7.72, 8.32, 8.35, 8.42, 8.45, 8.45, 8.59, 8.6, 8.65]",618,600,608,525,600,649,611,592,639,600
3,6034.0,0.06893106893106887,8.19,0.21098842975206591,7.732705928521484e-05,"[75, 55, 7, 20, 89, 84, 38, 10, 98, 78, 58]","[6.71, 6.9, 7.4, 7.48, 7.65, 7.7, 7.72, 7.91, 8.1, 8.12, 8.19]",603,600,600,600,599,625,607,600,600,600
4,5907.0,0.10037565740045076,12.1,0.4586975206611575,0.0021105713125986647,"[19, 80, 52, 49, 79, 72, 26, 28, 64, 45, 48]","[9.94, 10.04, 10.11, 10.58, 10.63, 10.78, 11.13, 11.34, 11.38, 11.71, 12.1]",599,622,533,600,635,602,635,563,519,599
5,5998.0,0.1287305122494432,4.49,0.08433600000000006,2.224446462197044e-07,"[25, 50, 13, 69, 88, 9, 15, 53, 36, 24]","[3.57, 3.62, 3.7, 3.78, 3.81, 3.82, 3.86, 4.15, 4.32, 4.49]",600,600,600,600,599,599,600,600,600,600
6,6666.0,0.12322404371584696,6.1,0.276597222222222,0.006388067441975985,"[16, 93, 27, 43, 82, 51, 81, 86, 46, 33, 74, 23]","[4.54, 4.69, 4.92, 4.93, 4.94, 5.32, 5.46, 5.49, 5.68, 6.05, 6.06, 6.1]",600,640,599,684,793,600,603,793,616,738
7,6183.0,0.15902140672782872,3.27,0.21471999999999997,0.011675190036937191,"[85, 44, 34, 83, 22, 39, 2, 6, 97, 90]","[1.74, 2.14, 2.63, 2.74, 2.79, 2.81, 2.97, 3.17, 3.24, 3.27]",612,522,576,580,649,755,447,595,677,770
8,5811.0,0.17209302325581394,2.58,0.18676399999999999,0.01320654263490837,"[91, 1, 8, 37, 59, 62, 5, 94, 99, 54]","[1.22, 1.69, 1.75, 2.03, 2.29, 2.31, 2.36, 2.56, 2.57, 2.58]",588,677,622,620,551,445,753,603,522,430
9,5314.0,0.06977513227513223,7.56,0.15721874999999993,0.009724935416842218,"[87, 63, 95, 68, 21, 31, 18, 4]","[6.5, 6.58, 6.7, 6.87, 7.22, 7.3, 7.53, 7.56]",578,560,591,589,406,525,608,414,582,461
