epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",17.16,2.2597499823570253,2.960447311401367,2.57,2.57
2,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",35.29,2.106174488067627,4.69263219833374,3.27,5.84
3,"[15, 16, 24, 27, 36, 43, 53, 82]",41.75,1.954791524410248,5.688302516937256,4.15,9.99
4,"[23, 33, 46, 51, 74, 81, 86, 93]",33.87,1.704178730249405,6.973703622817993,5.68,15.67
5,"[21, 31, 55, 63, 68, 75, 87, 95]",49.54,1.398072155714035,8.181726694107056,7.4,23.07
6,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",51.94,1.287897948026657,9.580981969833374,7.72,30.79
7,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",58.06,1.1497156941890716,11.10693907737732,8.6,39.39
8,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",62.41,1.0335834532976151,12.600261926651,9.3,48.69
9,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",62.86,0.9923902505636216,13.959911584854126,11.38,60.07
10,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",63.77,0.972628538608551,15.437369346618652,12.1,72.17
11,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",65.72,0.919466719031334,17.139385223388672,2.57,74.74
12,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",63.11,0.9405969220399856,18.57231330871582,3.27,78.00999999999999
13,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",65.81,0.8886013966798783,20.18893933296204,2.57,80.57999999999998
14,"[15, 16, 24, 27, 36, 43, 53, 82]",63.02,0.9697073775529862,21.254138231277462,4.15,84.72999999999999
15,"[23, 33, 46, 51, 74, 81, 86, 93]",63.04,0.9347719699144365,22.38727688789368,5.68,90.41
16,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",66.13,0.904917202591896,23.57552742958069,7.72,98.13
17,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",65.99,0.8682013839483261,25.00671911239624,3.27,101.39999999999999
18,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",68.65,0.8239249747991562,26.57279109954834,2.57,103.96999999999998
19,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",69.26,0.8302819484472275,27.8456392288208,8.6,112.56999999999998
20,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",67.97,0.8183572793006897,29.27138924598694,9.3,121.86999999999998
21,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",68.55,0.8168818712234497,30.794186115264893,3.27,125.13999999999997
22,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",70.48,0.7911776971817016,32.465961933135986,2.57,127.70999999999997
23,"[21, 31, 55, 63, 68, 75, 87, 95]",68.72,0.8010825639963151,33.62232995033264,7.4,135.10999999999996
24,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",70.57,0.7855808997154236,35.05973529815674,3.27,138.37999999999997
25,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",71.25,0.7726714646816254,36.74380445480347,2.57,140.94999999999996
26,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",71.13,0.767881971001625,38.40641903877258,2.57,143.51999999999995
27,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",70.52,0.7796145075559616,39.85329270362854,3.27,146.78999999999996
28,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",71.66,0.7578244429826736,41.131001234054565,11.38,158.16999999999996
29,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",70.48,0.7767359727621078,42.44021010398865,12.1,170.26999999999995
30,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",72.87,0.736802079975605,44.0282621383667,2.57,172.83999999999995
31,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",72.0,0.7483926710486412,45.42535161972046,3.27,176.10999999999996
32,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",72.71,0.7314507740736008,46.99963593482971,2.57,178.67999999999995
33,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",72.84,0.7407394939661026,48.381821155548096,3.27,181.94999999999996
34,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",72.94,0.7285130602121354,49.786959171295166,3.27,185.21999999999997
35,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",73.36,0.7158825594186783,51.3621072769165,2.57,187.78999999999996
36,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",72.8,0.7297118723392486,52.8630256652832,3.27,191.05999999999997
37,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",73.49,0.7135810774564743,54.39037013053894,3.27,194.32999999999998
38,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.06,0.7026989352703095,56.06824541091919,2.57,196.89999999999998
39,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",73.94,0.6991322526335716,57.7087881565094,2.57,199.46999999999997
40,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",73.96,0.7093781530857086,59.20054173469544,3.27,202.73999999999998
41,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",74.13,0.7005920171737671,60.57873034477234,3.27,206.01
42,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.48,0.6867644533514976,62.26823663711548,2.57,208.57999999999998
43,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.69,0.6834777116775512,63.99348044395447,2.57,211.14999999999998
44,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",74.14,0.680788222849369,65.40644836425781,8.6,219.74999999999997
45,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.35,0.6780523586273194,67.08250832557678,2.57,222.31999999999996
46,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",71.98,0.7191490292549133,68.28060293197632,7.72,230.03999999999996
47,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.85,0.6712066659331322,69.86639666557312,2.57,232.60999999999996
48,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",74.78,0.6773499751091003,71.26741170883179,3.27,235.87999999999997
49,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",74.72,0.6762555304169655,72.71062088012695,3.27,239.14999999999998
50,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.4,0.6563755229115487,74.32312488555908,2.57,241.71999999999997
51,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.78,0.6546654835343361,75.9634485244751,2.57,244.28999999999996
52,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",74.4,0.6688357630372047,77.17168879508972,9.3,253.58999999999997
53,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.26,0.6497710201144219,78.81976199150085,2.57,256.15999999999997
54,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.86,0.6479767942428589,80.48505520820618,2.57,258.72999999999996
55,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.61,0.6441884624958039,82.12026357650757,2.57,261.29999999999995
56,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.99,0.64187091588974,83.77997660636902,2.57,263.86999999999995
57,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.23,0.6373618617653847,85.40845346450806,2.57,266.43999999999994
58,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.67,0.6453369575738906,86.90067267417908,3.27,269.7099999999999
59,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.85,0.6451762488484383,88.29059219360352,3.27,272.9799999999999
60,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.89,0.6335643330216407,89.86949801445007,2.57,275.5499999999999
61,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.15,0.631746044754982,91.47814893722534,2.57,278.1199999999999
62,"[23, 33, 46, 51, 74, 81, 86, 93]",75.54,0.6460432603955268,92.63926720619202,5.68,283.7999999999999
63,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.36,0.63084049731493,94.29169821739195,2.57,286.3699999999999
64,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.34,0.6261698323488235,95.82223725318909,2.57,288.9399999999999
65,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.0,0.6241756770014762,97.49305605888368,2.57,291.5099999999999
66,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.56,0.6216139596700668,99.11801409721376,2.57,294.07999999999987
67,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.66,0.6203888970613479,100.6675350666046,2.57,296.64999999999986
68,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.57,0.6204200437664986,102.3631386756897,2.57,299.21999999999986
