epoch,selected_clients,accuracy,loss,run_time
1,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",17.18,2.262603795528412,4.791945934295654
2,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",31.7,2.1109302067756652,6.925250291824341
3,"[15, 16, 24, 27, 36, 43, 53, 82]",43.94,1.8851974987983704,8.445716142654419
4,"[23, 33, 46, 51, 74, 81, 86, 93]",35.87,1.6058229887485505,10.193203449249268
5,"[21, 31, 55, 63, 68, 75, 87, 95]",51.85,1.2749730265140533,11.70983338356018
6,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",47.85,1.249305911064148,13.510950088500977
7,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",63.47,1.0656260395050048,15.435613632202148
8,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",62.99,0.9689050841331482,17.181166172027588
9,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",65.64,0.9216408330202103,19.08253836631775
10,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",66.79,0.9205064904689789,20.970798015594482
11,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",67.46,0.86735884308815,23.108129262924194
12,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",66.37,0.8646979969739914,24.973588943481445
13,"[15, 16, 24, 27, 36, 43, 53, 82]",63.44,0.9311958408355713,26.438679218292236
14,"[23, 33, 46, 51, 74, 81, 86, 93]",65.49,0.9034952110052109,27.865180730819702
15,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",64.14,0.8887870305776596,29.469286918640137
16,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",71.07,0.8170386272668838,31.143730878829956
17,"[21, 31, 55, 63, 68, 75, 87, 95]",70.12,0.7979255551099778,32.39681911468506
18,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",70.79,0.784089914560318,34.624605655670166
19,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",70.23,0.7785025006532669,36.154722690582275
20,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",71.67,0.7734493452310562,37.93669009208679
21,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",72.05,0.7648583161830902,39.50295448303223
22,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",72.33,0.762395136654377,41.0535945892334
23,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",72.32,0.7398445427417755,43.14212489128113
24,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",72.71,0.7438851052522659,45.015201568603516
25,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",73.52,0.7314292651414871,46.57597637176514
26,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",69.51,0.7809875559806824,48.07523322105408
27,"[23, 33, 46, 51, 74, 81, 86, 93]",72.65,0.7501209712028504,49.55028748512268
28,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",73.28,0.7118190288543701,51.637784004211426
29,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",73.98,0.7151724636554718,53.42287874221802
30,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",73.01,0.7057661885023117,55.10671901702881
31,"[15, 16, 24, 27, 36, 43, 53, 82]",71.18,0.7559989172220231,56.459840536117554
32,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",74.29,0.6981635808944702,58.10814356803894
33,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",73.97,0.7003121584653854,59.65696668624878
34,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.0,0.6872952577471733,61.72614240646362
35,"[21, 31, 55, 63, 68, 75, 87, 95]",72.81,0.6945642387866974,63.1663293838501
36,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",74.33,0.7000501945614814,64.9081199169159
37,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",75.16,0.6814288881421089,66.57381701469421
38,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",69.9,0.7422025716304779,68.14073371887207
39,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.99,0.6711181008815765,70.22188401222229
40,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.3,0.668360088467598,71.93640422821045
41,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",73.45,0.6790303379297257,73.40459704399109
42,"[23, 33, 46, 51, 74, 81, 86, 93]",74.53,0.6880041274428368,74.87243056297302
43,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",74.83,0.6649770465493202,76.45746612548828
44,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.92,0.6514333376288414,78.39282202720642
45,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",75.4,0.6670654940605164,79.97939872741699
46,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.79,0.653776918053627,81.88405251502991
47,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",76.19,0.6470906460285186,83.58921003341675
48,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.78,0.6400133779644966,85.77861642837524
49,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",72.64,0.6846590828895569,87.40238308906555
50,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",76.09,0.6411396625638008,89.2481803894043
51,"[15, 16, 24, 27, 36, 43, 53, 82]",72.9,0.6822080940008164,90.60692644119263
52,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",75.22,0.6443856936693192,92.1868667602539
53,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.17,0.6264309418201447,94.31035590171814
54,"[21, 31, 55, 63, 68, 75, 87, 95]",75.65,0.631893355846405,95.65681052207947
55,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",76.87,0.6210110405087471,97.34621620178223
56,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",76.21,0.6316083672642708,99.26529026031494
57,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",76.49,0.6378834623098374,100.95891332626343
