client_id,power,bandwidth,compute_time,server_0,server_1,server_2,server_3,server_4,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0,27.49,1.28,6.46,202.8,142.84,66.84,164.22,222.75,600.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
1,39.01,6.73,0.93,279.49,392.12,540.69,469.85,329.85,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0
2,34.64,3.83,1.7,332.29,409.04,397.99,188.48,170.18,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
3,31.97,5.58,9.0,475.89,484.67,367.76,228.02,349.16,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
4,23.12,9.17,6.1,407.68,339.94,468.47,608.76,567.33,600.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
5,23.12,3.24,0.19,197.5,113.45,264.46,382.26,348.2,600.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
6,21.16,4.69,1.1,196.04,229.9,406.91,443.39,348.41,600.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
7,37.32,7.8,6.67,368.69,493.67,589.99,440.82,308.71,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0
8,32.02,3.06,0.15,359.43,368.83,267.82,111.62,242.97,600.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2
9,34.16,1.69,1.69,222.24,272.97,256.25,63.65,86.38,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2
10,20.41,3.61,5.53,135.9,214.32,382.49,380.61,271.81,600.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
11,39.4,2.45,6.95,79.72,201.35,339.7,293.1,173.23,600.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0
12,36.65,9.37,6.55,441.56,562.78,633.97,458.13,345.54,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
13,24.25,8.27,2.32,427.93,321.15,388.48,570.38,568.95,600.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0
14,23.64,6.7,7.15,353.5,262.33,370.07,526.79,504.6,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
15,23.67,8.84,2.45,420.36,331.28,432.73,595.12,573.04,600.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
16,26.08,8.23,3.32,500.33,375.28,313.2,525.09,586.89,600.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2
17,30.5,2.68,7.49,349.34,320.64,179.88,140.28,280.39,600.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
18,28.64,9.03,6.53,593.03,505.26,332.88,450.49,579.78,600.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
19,25.82,5.85,8.51,413.18,287.97,243.22,454.11,505.27,600.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
20,32.24,8.27,6.61,562.91,580.12,466.16,317.49,424.71,600.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0
21,22.79,9.06,5.73,392.35,339.11,481.52,606.73,554.04,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
22,25.84,3.86,1.03,334.1,210.46,163.57,371.6,420.13,600.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
23,27.33,1.99,3.74,269.15,180.18,11.77,223.64,299.65,600.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
24,29.12,3.05,2.73,367.11,303.64,130.75,215.96,340.7,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0
25,35.7,4.84,2.52,334.48,436.66,466.75,272.38,190.72,600.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
26,23.99,8.36,9.73,419.93,320.01,403.22,576.8,566.39,600.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
27,30.28,8.75,3.99,597.5,554.71,386.17,377.05,519.64,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
28,31.85,1.06,8.93,171.3,175.08,153.37,93.77,136.21,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0
29,20.93,5.6,6.35,228.67,273.29,450.01,476.54,373.09,600.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
30,32.15,4.76,7.97,439.78,453.45,345.74,192.46,310.82,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
31,23.41,3.0,5.08,198.0,99.1,240.03,366.81,341.98,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2
