client_id,server_0,server_1,server_2,server_3,server_4
0,202.8,142.84,66.84,164.22,222.75
1,279.49,392.12,540.69,469.85,329.85
2,332.29,409.04,397.99,188.48,170.18
3,475.89,484.67,367.76,228.02,349.16
4,407.68,339.94,468.47,608.76,567.33
5,197.5,113.45,264.46,382.26,348.2
6,196.04,229.9,406.91,443.39,348.41
7,368.69,493.67,589.99,440.82,308.71
8,359.43,368.83,267.82,111.62,242.97
9,222.24,272.97,256.25,63.65,86.38
10,135.9,214.32,382.49,380.61,271.81
11,79.72,201.35,339.7,293.1,173.23
12,441.56,562.78,633.97,458.13,345.54
13,427.93,321.15,388.48,570.38,568.95
14,353.5,262.33,370.07,526.79,504.6
15,420.36,331.28,432.73,595.12,573.04
16,500.33,375.28,313.2,525.09,586.89
17,349.34,320.64,179.88,140.28,280.39
18,593.03,505.26,332.88,450.49,579.78
19,413.18,287.97,243.22,454.11,505.27
20,562.91,580.12,466.16,317.49,424.71
21,392.35,339.11,481.52,606.73,554.04
22,334.1,210.46,163.57,371.6,420.13
23,269.15,180.18,11.77,223.64,299.65
24,367.11,303.64,130.75,215.96,340.7
25,334.48,436.66,466.75,272.38,190.72
26,419.93,320.01,403.22,576.8,566.39
27,597.5,554.71,386.17,377.05,519.64
28,171.3,175.08,153.37,93.77,136.21
29,228.67,273.29,450.01,476.54,373.09
30,439.78,453.45,345.74,192.46,310.82
31,198.0,99.1,240.03,366.81,341.98
32,64.19,102.06,270.04,299.73,225.98
33,174.95,294.07,434.17,365.16,228.64
34,359.51,461.7,620.77,563.67,424.85
35,277.03,384.55,431.76,253.47,145.56
36,416.08,292.01,227.43,439.43,498.79
37,312.2,300.03,468.62,550.21,472.29
38,382.78,437.57,388.47,179.8,225.55
39,615.96,531.57,357.47,463.34,595.8
40,396.94,360.72,514.35,623.77,558.97
41,384.05,338.56,177.18,193.47,330.59
42,221.09,278.26,453.54,467.66,358.55
43,185.64,311.04,426.96,324.05,181.76
44,296.14,170.74,180.18,373.14,401.04
45,205.13,232.74,202.35,42.87,110.94
46,449.9,326.17,252.45,464.19,529.04
47,488.0,451.26,289.97,267.88,410.66
48,245.61,233.14,144.93,69.04,185.76
49,233.91,129.33,249.32,392.78,375.48
50,349.32,449.68,610.16,557.32,419.5
51,268.87,360.83,382.8,191.51,112.97
52,91.53,216.91,338.07,267.67,139.54
53,266.23,391.61,504.14,383.41,241.62
54,614.83,623.56,497.48,367.34,481.89
55,151.16,276.49,396.75,306.82,167.34
56,297.99,295.73,467.63,539.46,456.41
57,401.71,303.29,391.92,561.95,549.07
58,116.41,171.91,344.45,364.18,269.92
59,494.18,371.79,281.39,490.3,564.81
60,409.6,311.14,149.55,327.09,430.04
61,426.95,302.14,287.13,494.49,533.43
62,364.47,483.13,549.35,374.89,260.94
63,454.69,341.5,211.73,409.79,500.13
64,212.69,102.71,86.23,253.84,287.82
65,588.67,563.18,406.51,351.91,490.84
66,214.3,149.54,306.28,416.58,371.69
67,223.63,322.26,362.79,190.68,77.59
68,55.99,75.17,208.67,230.57,179.39
69,253.2,347.49,511.35,477.25,346.93
70,424.34,525.53,545.24,341.55,278.34
71,123.93,74.94,137.87,194.23,192.7
72,224.33,306.92,475.84,460.71,338.54
73,231.21,336.93,387.54,219.57,99.55
74,464.22,534.87,499.06,288.38,302.06
75,269.96,338.92,329.01,124.36,109.79
76,428.97,529.92,548.81,344.66,282.65
77,194.17,209.67,386.55,438.02,352.32
78,570.82,454.52,329.28,521.55,617.41
79,113.57,69.29,246.36,318.46,267.66
80,238.22,360.14,447.3,305.4,167.81
81,283.99,302.52,230.28,36.15,170.89
82,550.51,428.18,332.81,538.92,618.47
83,344.34,367.8,543.69,591.96,492.34
84,320.9,202.09,124.08,334.72,392.63
85,474.28,352.25,261.25,470.62,544.35
86,496.45,580.22,562.63,350.59,336.74
87,476.19,507.75,417.63,239.13,330.15
88,285.19,410.61,518.82,390.74,250.39
89,376.85,320.42,151.31,208.45,339.15
90,96.71,44.3,219.31,285.8,241.38
91,529.35,605.54,573.14,362.39,367.66
92,493.76,592.36,601.93,393.46,344.52
93,526.67,513.14,369.5,283.79,419.33
94,313.3,407.63,426.46,228.46,159.74
95,428.52,379.77,212.83,233.7,373.0
96,559.42,522.45,358.37,334.49,476.79
97,592.77,502.87,331.88,455.34,583.11
98,337.96,397.91,573.83,581.02,462.33
99,340.08,317.34,480.74,573.76,501.33
