group_id,client_id_list,group_data_num,group_delay_time,group_delay_var,group_kl_divergence,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,"[98, 78, 58, 29, 65, 57, 11, 35, 77, 67, 32]",6069.0,8.65,0.033006611570247986,0.0002692172471209062,600,600,600,599,600,600,631,600,639,600
1,"[14, 96, 76, 70, 92, 66, 30, 0, 17]",5927.0,9.3,0.04192839506172845,0.00028133805250684816,600,600,599,600,599,600,569,600,561,599
2,"[31, 7, 20, 18, 4, 89, 84, 60, 38, 10]",5998.0,7.91,0.028820999999999996,2.224446462197044e-07,600,600,600,600,599,599,600,600,600,600
3,"[19, 80, 3, 52, 73, 49, 79, 72, 47, 40]",5996.0,10.93,0.12329600000000011,3.3381537703581284e-07,600,599,599,599,600,600,600,599,600,600
4,"[71, 56, 26, 42, 41, 61, 28, 64, 45, 48]",5996.0,12.1,0.09296900000000005,3.3381537703581284e-07,599,599,600,599,600,600,600,600,600,599
5,"[25, 50, 13, 69, 88, 9, 15, 53, 36, 24]",5998.0,4.49,0.08433600000000006,2.224446462197044e-07,600,600,600,600,599,599,600,600,600,600
6,"[16, 93, 27, 43, 82, 51, 81, 86, 46, 33, 74, 23]",6666.0,6.1,0.276597222222222,0.006388067441975985,600,640,599,684,793,600,603,793,616,738
7,"[94, 99, 54, 34, 83, 22, 39, 2, 6, 97, 90]",6168.0,3.27,0.06785123966942151,0.0012835179384678413,601,600,599,621,703,643,601,599,600,601
8,"[91, 1, 85, 8, 37, 44, 59, 62, 5]",5826.0,2.36,0.12670617283950616,0.0015111872327098373,599,599,599,579,497,557,599,599,599,599
9,"[87, 63, 95, 75, 68, 55, 12, 21]",5323.0,7.22,0.06411874999999995,0.010639245017526795,599,560,599,515,406,600,595,406,582,461
