group_id,client_id_list,group_data_num,group_delay_time,group_delay_var,group_kl_divergence,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,"[22, 13, 15, 20, 96, 70, 30, 0, 80, 40]",7052.0,10.93,7.746620999999999,0.002628041527577448,711,718,659,802,732,712,745,603,703,667
1,"[99, 34, 97, 24, 31, 89, 29, 32, 14, 19]",6193.0,9.94,7.143248999999999,0.0062709566671837885,666,640,532,509,560,717,634,619,726,590
2,"[90, 16, 81, 23, 7, 78, 3, 72, 47, 45]",7060.0,11.71,7.858703999999999,0.006526521188305396,666,720,669,849,740,739,643,591,616,827
3,"[91, 85, 44, 2, 36, 46, 74, 63, 21, 49]",7339.0,10.58,7.760409,0.007570339169713039,703,704,787,611,779,898,659,762,604,832
4,"[8, 39, 43, 86, 95, 18, 98, 58, 71, 26]",6733.0,11.13,8.794576000000001,0.005915773733600413,666,650,808,761,611,540,682,612,699,704
5,"[54, 83, 53, 82, 33, 87, 65, 76, 73, 79]",4925.0,10.63,7.996316000000002,0.0049460708925940875,526,603,405,486,497,506,478,506,473,445
6,"[94, 25, 51, 55, 4, 57, 11, 52, 56, 64]",5593.0,11.38,8.152620999999998,0.008487044639692926,510,498,543,551,520,457,682,555,704,573
7,"[59, 62, 69, 88, 27, 68, 12, 35, 77, 48]",6414.0,12.1,9.042543999999998,0.0022837236427482505,612,692,711,582,628,599,623,709,627,631
8,"[1, 37, 5, 6, 93, 38, 10, 67, 66, 41]",4778.0,11.19,10.653589,0.0038839799837256887,435,465,476,468,523,459,491,563,495,403
9,"[50, 9, 75, 84, 60, 92, 17, 42, 61, 28]",3881.0,11.34,7.292404,0.011498883605900225,503,306,404,379,408,370,359,478,350,324
