client_id,group_id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0,9,25.09,614.0,0.0,2.0,27.0,0.0,66.0,90.0,241.0,96.0,2.0,90.0
1,0,6.03,863.0,31.0,34.0,116.0,226.0,79.0,63.0,2.0,47.0,143.0,122.0
2,1,10.27,577.0,57.0,16.0,35.0,33.0,327.0,3.0,28.0,30.0,35.0,13.0
3,5,16.44,688.0,107.0,183.0,49.0,4.0,13.0,90.0,44.0,126.0,56.0,16.0
4,5,15.88,876.0,87.0,116.0,127.0,116.0,43.0,1.0,260.0,73.0,4.0,49.0
5,5,14.77,419.0,26.0,14.0,0.0,2.0,13.0,270.0,24.0,24.0,44.0,2.0
6,5,14.98,770.0,31.0,120.0,2.0,91.0,140.0,161.0,30.0,138.0,42.0,15.0
7,2,11.57,385.0,2.0,58.0,67.0,0.0,99.0,0.0,46.0,29.0,36.0,48.0
8,1,10.88,747.0,79.0,20.0,162.0,171.0,9.0,28.0,29.0,247.0,1.0,1.0
9,5,16.03,498.0,3.0,31.0,0.0,229.0,36.0,1.0,13.0,113.0,44.0,28.0
10,8,21.51,558.0,4.0,50.0,34.0,133.0,5.0,7.0,125.0,26.0,128.0,46.0
11,6,17.04,389.0,15.0,10.0,47.0,15.0,146.0,0.0,12.0,80.0,15.0,49.0
12,2,11.03,425.0,1.0,31.0,0.0,96.0,103.0,38.0,63.0,1.0,0.0,92.0
13,2,11.58,432.0,23.0,0.0,0.0,1.0,164.0,65.0,143.0,31.0,4.0,1.0
14,6,17.55,601.0,0.0,25.0,11.0,58.0,0.0,6.0,206.0,24.0,253.0,18.0
15,2,11.91,905.0,27.0,34.0,72.0,0.0,11.0,73.0,103.0,381.0,204.0,0.0
16,2,11.52,369.0,100.0,5.0,20.0,34.0,0.0,39.0,35.0,23.0,21.0,92.0
17,8,19.69,393.0,0.0,50.0,176.0,2.0,20.0,11.0,26.0,80.0,9.0,19.0
18,3,13.27,225.0,7.0,8.0,87.0,42.0,17.0,0.0,8.0,1.0,8.0,47.0
19,6,18.17,522.0,79.0,30.0,1.0,203.0,9.0,105.0,66.0,5.0,23.0,1.0
20,3,12.46,559.0,20.0,2.0,37.0,29.0,5.0,27.0,34.0,169.0,214.0,22.0
21,5,15.8,448.0,88.0,18.0,88.0,27.0,25.0,1.0,129.0,5.0,60.0,7.0
22,3,12.88,550.0,29.0,7.0,27.0,163.0,164.0,26.0,73.0,16.0,12.0,33.0
23,7,19.58,460.0,0.0,20.0,2.0,0.0,34.0,8.0,2.0,382.0,0.0,12.0
24,4,14.57,608.0,67.0,17.0,38.0,6.0,351.0,3.0,16.0,54.0,49.0,7.0
25,1,9.61,1011.0,0.0,232.0,18.0,174.0,136.0,30.0,16.0,36.0,3.0,366.0
26,7,19.13,783.0,80.0,213.0,161.0,148.0,26.0,0.0,52.0,21.0,82.0,0.0
27,1,10.24,463.0,5.0,0.0,13.0,0.0,4.0,10.0,203.0,42.0,179.0,7.0
28,9,25.14,351.0,48.0,9.0,0.0,5.0,21.0,41.0,52.0,27.0,80.0,68.0
29,7,19.63,435.0,17.0,1.0,54.0,85.0,33.0,82.0,13.0,3.0,18.0,129.0
30,5,16.11,371.0,156.0,1.0,98.0,13.0,2.0,2.0,31.0,23.0,0.0,45.0
31,8,20.0,595.0,0.0,229.0,26.0,50.0,0.0,33.0,201.0,43.0,6.0,7.0
32,9,24.92,818.0,147.0,2.0,27.0,108.0,91.0,102.0,4.0,53.0,170.0,114.0
33,3,12.23,648.0,332.0,1.0,5.0,20.0,8.0,62.0,145.0,30.0,21.0,24.0
34,0,6.04,738.0,70.0,44.0,41.0,2.0,114.0,58.0,50.0,70.0,234.0,55.0
35,5,15.31,998.0,71.0,102.0,146.0,63.0,105.0,22.0,34.0,91.0,12.0,352.0
36,3,12.55,743.0,17.0,161.0,31.0,10.0,66.0,63.0,60.0,36.0,28.0,271.0
37,2,11.72,748.0,4.0,229.0,39.0,16.0,0.0,343.0,2.0,60.0,11.0,44.0
38,4,14.73,561.0,12.0,137.0,33.0,16.0,41.0,4.0,131.0,49.0,128.0,10.0
39,0,8.29,70.0,34.0,0.0,1.0,19.0,2.0,0.0,7.0,4.0,2.0,1.0
40,7,19.64,773.0,159.0,99.0,19.0,41.0,88.0,57.0,118.0,13.0,163.0,16.0
41,8,20.62,445.0,1.0,64.0,1.0,116.0,127.0,77.0,0.0,29.0,3.0,27.0
42,9,22.75,631.0,8.0,287.0,81.0,12.0,0.0,0.0,0.0,170.0,1.0,72.0
43,2,11.63,1131.0,269.0,132.0,138.0,217.0,26.0,7.0,102.0,5.0,0.0,235.0
44,3,12.96,541.0,91.0,73.0,18.0,6.0,51.0,52.0,1.0,194.0,11.0,44.0
45,9,25.55,750.0,106.0,189.0,3.0,5.0,130.0,210.0,13.0,1.0,86.0,7.0
46,3,13.35,1001.0,13.0,34.0,210.0,79.0,258.0,97.0,64.0,55.0,105.0,86.0
47,6,17.66,286.0,10.0,2.0,24.0,5.0,8.0,11.0,83.0,142.0,0.0,1.0
48,9,26.2,492.0,37.0,9.0,175.0,11.0,1.0,16.0,37.0,62.0,0.0,144.0
49,8,22.24,312.0,0.0,15.0,2.0,49.0,32.0,30.0,58.0,82.0,43.0,1.0
50,0,7.1,605.0,170.0,47.0,17.0,29.0,4.0,112.0,0.0,51.0,105.0,70.0
51,4,13.37,384.0,0.0,10.0,0.0,130.0,9.0,26.0,2.0,106.0,15.0,86.0
52,7,19.19,427.0,42.0,11.0,20.0,58.0,49.0,25.0,138.0,5.0,70.0,9.0
53,1,9.38,661.0,21.0,76.0,170.0,5.0,67.0,0.0,7.0,23.0,278.0,14.0
54,0,7.16,537.0,12.0,299.0,125.0,35.0,3.0,6.0,20.0,1.0,11.0,25.0
55,4,14.29,518.0,12.0,48.0,109.0,1.0,21.0,110.0,60.0,28.0,44.0,85.0
56,8,21.04,702.0,26.0,130.0,15.0,132.0,89.0,27.0,103.0,95.0,35.0,50.0
57,6,16.63,293.0,32.0,26.0,61.0,0.0,25.0,92.0,17.0,33.0,3.0,4.0
58,8,22.18,869.0,112.0,32.0,153.0,55.0,307.0,146.0,7.0,31.0,25.0,1.0
59,1,9.34,236.0,42.0,3.0,5.0,169.0,0.0,1.0,2.0,1.0,13.0,0.0
60,6,16.47,644.0,52.0,157.0,0.0,92.0,156.0,31.0,24.0,0.0,19.0,113.0
61,7,19.21,445.0,0.0,60.0,3.0,75.0,99.0,39.0,4.0,8.0,149.0,8.0
62,0,7.05,1044.0,2.0,44.0,222.0,46.0,171.0,10.0,272.0,151.0,55.0,71.0
63,4,14.28,571.0,1.0,97.0,59.0,6.0,11.0,129.0,48.0,53.0,161.0,6.0
64,9,26.23,586.0,31.0,14.0,63.0,229.0,57.0,2.0,107.0,11.0,10.0,62.0
65,4,13.59,715.0,182.0,95.0,93.0,27.0,51.0,15.0,148.0,11.0,92.0,1.0
66,8,20.64,837.0,250.0,8.0,0.0,49.0,7.0,175.0,16.0,75.0,141.0,116.0
67,6,17.42,958.0,84.0,0.0,324.0,91.0,67.0,2.0,16.0,61.0,193.0,120.0
68,9,25.22,784.0,141.0,18.0,125.0,34.0,103.0,27.0,79.0,43.0,204.0,10.0
