client_id,group_id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0,7,9.23,600.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2
1,0,1.69,600.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
2,1,2.97,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
3,8,10.1,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
4,5,7.56,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
5,0,2.36,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
6,1,3.17,600.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2
7,5,7.4,600.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2
8,0,1.75,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0
9,2,3.82,600.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2
10,5,7.91,600.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2
11,6,8.45,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
12,4,7.22,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
13,2,3.7,600.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
14,7,8.7,600.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
15,2,3.86,600.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
16,3,4.54,600.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0
17,7,9.3,600.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0
18,5,7.53,600.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
19,8,9.94,600.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2
20,5,7.48,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
21,4,7.22,600.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0
22,1,2.79,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
23,4,6.1,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
24,2,4.49,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0
25,2,3.57,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2
26,9,11.13,600.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2
27,3,4.92,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
28,9,11.34,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
29,6,8.32,600.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2
30,7,9.18,600.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
31,5,7.3,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0
32,7,8.65,600.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
33,3,6.05,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0
34,1,2.63,600.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2
35,6,8.45,600.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0
36,2,4.32,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
37,0,2.03,600.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
38,5,7.72,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
39,1,2.81,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0
40,8,10.93,600.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0
41,9,11.19,600.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0
42,9,11.18,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
43,3,4.93,600.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
44,0,2.14,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
45,9,11.71,600.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
