id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0,1,451,10,13,41,20,20,99,163,55,5,25
1,4,514,0,230,8,19,56,8,2,89,28,74
2,2,516,19,102,16,18,42,18,44,175,59,23
3,3,480,125,23,43,2,19,4,76,42,130,16
4,3,577,173,62,45,15,18,17,50,19,79,99
5,4,655,22,184,5,20,55,64,82,40,96,87
6,2,772,24,24,111,11,127,97,26,106,139,107
7,1,646,45,51,124,58,169,68,24,35,47,25
8,5,1323,99,215,64,137,249,88,47,80,313,31
9,4,434,1,23,31,66,9,161,1,57,62,23
10,4,606,50,8,95,108,137,17,31,149,1,10
11,3,592,78,22,231,13,18,12,23,126,28,41
12,2,343,10,21,29,35,43,24,44,10,18,109
13,4,976,137,11,102,85,22,426,39,13,47,94
14,5,580,117,38,77,11,87,51,25,77,2,95
15,4,612,163,44,14,32,35,25,185,74,23,17
16,3,446,58,25,20,18,113,128,16,42,25,1
17,4,576,119,109,5,66,35,52,8,118,36,28
18,5,527,26,58,7,97,34,12,51,3,2,237
19,4,563,43,91,7,47,15,68,2,229,42,19
20,4,554,119,23,30,102,59,13,59,43,30,76
21,2,553,4,85,173,18,9,87,10,81,30,56
22,1,1069,6,39,22,86,16,820,6,72,0,2
23,5,437,156,125,17,13,22,6,42,43,5,8
24,5,338,69,26,4,36,59,21,2,7,7,107
25,3,895,129,27,27,42,166,4,2,133,27,338
26,1,872,62,125,64,107,132,5,22,209,128,18
27,2,717,17,2,98,103,79,17,126,149,88,38
28,3,740,60,61,101,25,66,65,62,212,31,57
29,1,757,64,3,15,51,68,31,80,16,282,147
30,1,742,0,61,53,156,80,103,178,32,63,16
31,3,933,178,54,49,55,14,12,185,128,128,130
32,2,403,15,9,124,19,101,7,7,37,74,10
33,5,633,93,54,27,39,193,56,38,62,62,9
34,2,862,5,11,6,314,206,84,127,47,37,25
35,1,788,11,101,24,11,15,16,377,14,54,165
36,3,764,42,192,61,22,43,113,42,98,2,149
37,4,567,28,104,53,4,195,6,51,29,59,38
38,5,197,2,8,10,72,14,6,34,20,5,26
39,1,483,29,16,37,56,149,2,121,48,11,14
40,4,686,65,2,32,11,15,12,204,81,19,245
41,4,555,98,12,159,20,19,3,7,32,61,144
42,5,420,29,8,5,3,68,24,85,17,158,23
43,1,512,40,78,95,93,10,35,6,34,108,13
44,1,641,43,45,118,117,0,203,6,36,39,34
45,2,524,218,17,52,13,5,4,5,66,41,103
46,5,599,9,2,16,265,9,1,70,41,174,12
47,3,291,10,100,84,3,17,9,6,44,11,7
48,5,549,57,83,184,37,41,15,109,1,17,5
49,1,498,35,40,99,19,2,30,13,3,73,184
50,3,761,54,77,50,27,90,4,85,180,90,104
51,5,246,4,5,7,12,86,41,26,24,16,25
52,2,496,22,56,11,181,76,33,80,32,4,1
53,1,661,2,86,76,98,20,40,73,84,151,31
54,2,424,12,44,10,9,7,117,117,32,39,37
55,3,508,62,8,27,3,31,19,171,19,29,139
56,2,627,36,23,10,61,59,58,10,158,1,211
57,3,361,5,67,22,61,108,10,75,6,5,2
58,1,822,78,21,406,3,25,44,58,123,62,2
59,3,440,25,75,34,28,82,76,10,1,83,26
60,4,688,45,59,68,58,222,29,66,2,55,84
61,1,690,34,234,36,77,54,135,43,50,9,18
62,5,650,66,64,21,151,38,24,260,1,12,13
63,2,536,42,11,58,158,48,69,81,35,24,10
64,3,845,219,218,53,81,97,8,7,27,91,44
65,2,363,24,40,52,8,0,96,48,18,9,68
66,1,640,29,36,10,219,19,133,14,5,152,23
67,4,824,17,220,1,149,236,12,51,10,16,112
68,3,793,93,14,21,220,37,56,103,3,63,183
69,4,630,45,171,50,112,127,38,4,59,4,20
70,2,837,127,69,187,30,77,128,30,17,152,20
71,3,513,52,37,17,65,21,36,31,32,29,193
72,1,934,49,27,161,54,205,57,166,4,137,74
73,3,388,7,8,38,72,13,103,17,39,43,48
74,1,754,107,20,94,3,16,72,145,246,47,4
75,4,553,39,25,64,7,75,117,22,117,85,2
76,5,616,123,95,178,39,42,6,29,46,18,40
77,5,477,23,118,69,14,4,4,52,135,33,25
78,3,475,73,82,20,39,38,122,65,8,25,3
79,1,512,21,60,57,0,48,203,37,10,74,2
80,1,650,53,41,52,247,14,9,44,87,74,29
81,1,379,28,19,15,25,79,39,42,80,6,46
82,2,682,18,222,23,62,49,51,152,60,35,10
83,1,519,56,20,34,104,57,28,53,32,106,29
84,1,470,108,7,52,88,17,25,59,13,63,38
85,3,745,178,94,47,8,49,128,32,122,35,52
86,5,682,171,146,29,61,80,16,23,7,131,18
87,2,394,19,8,28,66,50,19,77,108,11,8
88,3,353,37,93,48,2,20,8,23,84,35,3
89,4,578,87,5,94,63,14,24,120,77,70,24
90,3,626,25,5,179,56,2,12,171,33,7,136
91,3,526,96,54,76,39,54,28,24,29,28,98
92,5,915,67,12,224,25,54,204,7,197,85,40
93,5,262,47,56,5,38,22,7,3,12,11,61
94,1,772,244,10,32,53,2,8,6,43,295,79
95,2,755,37,240,4,52,55,88,77,38,152,12
96,4,371,21,13,13,2,119,58,55,5,14,71
97,1,385,37,2,20,29,23,1,12,41,204,16
98,2,406,5,10,44,101,43,36,6,9,64,88
99,4,694,118,6,158,50,21,71,17,25,10,218
