client_id,group_id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
91,0,5.52,903.0,0.0,0.0,3.0,0.0,0.0,312.0,0.0,588.0,0.0,0.0
1,0,6.03,21.0,8.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0
34,0,6.04,982.0,0.0,20.0,1.0,0.0,0.0,153.0,0.0,2.0,571.0,235.0
62,0,7.05,380.0,43.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,326.0
50,0,7.1,1645.0,530.0,0.0,1.0,582.0,0.0,0.0,532.0,0.0,0.0,0.0
54,0,7.16,104.0,1.0,0.0,0.0,11.0,1.0,90.0,1.0,0.0,0.0,0.0
69,0,8.21,573.0,9.0,0.0,107.0,0.0,412.0,18.0,0.0,0.0,0.0,27.0
39,0,8.29,645.0,8.0,570.0,0.0,0.0,39.0,13.0,3.0,0.0,3.0,9.0
88,0,8.84,584.0,0.0,9.0,486.0,0.0,19.0,0.0,45.0,0.0,25.0,0.0
97,0,8.99,160.0,1.0,0.0,1.0,1.0,127.0,14.0,15.0,0.0,1.0,0.0
85,1,9.06,1180.0,0.0,497.0,86.0,4.0,0.0,0.0,47.0,0.0,0.0,546.0
59,1,9.34,1363.0,0.0,0.0,485.0,21.0,546.0,0.0,2.0,108.0,200.0,1.0
53,1,9.38,179.0,127.0,0.0,0.0,0.0,0.0,24.0,1.0,27.0,0.0,0.0
94,1,9.41,29.0,2.0,18.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
25,1,9.61,117.0,0.0,1.0,9.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1,9.94,1084.0,7.0,71.0,2.0,0.0,18.0,21.0,546.0,0.0,399.0,20.0
27,1,10.24,1066.0,207.0,9.0,0.0,466.0,0.0,360.0,3.0,0.0,0.0,21.0
2,1,10.27,479.0,0.0,3.0,10.0,0.0,0.0,4.0,0.0,462.0,0.0,0.0
93,1,10.57,238.0,192.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,11.0
8,1,10.88,261.0,64.0,1.0,1.0,2.0,0.0,191.0,0.0,1.0,0.0,1.0
12,2,11.03,497.0,177.0,228.0,2.0,1.0,0.0,38.0,7.0,3.0,0.0,41.0
74,2,11.21,526.0,0.0,4.0,0.0,197.0,146.0,0.0,1.0,0.0,178.0,0.0
82,2,11.35,803.0,0.0,0.0,2.0,274.0,38.0,21.0,3.0,455.0,0.0,10.0
16,2,11.52,820.0,280.0,0.0,466.0,9.0,0.0,44.0,0.0,16.0,5.0,0.0
7,2,11.57,276.0,5.0,28.0,104.0,1.0,135.0,0.0,0.0,0.0,3.0,0.0
13,2,11.58,454.0,0.0,6.0,0.0,0.0,1.0,0.0,90.0,0.0,5.0,352.0
43,2,11.63,689.0,0.0,331.0,1.0,7.0,279.0,0.0,66.0,0.0,4.0,1.0
37,2,11.72,473.0,0.0,1.0,0.0,3.0,0.0,39.0,0.0,25.0,394.0,11.0
99,2,11.88,121.0,0.0,1.0,0.0,0.0,0.0,119.0,0.0,0.0,1.0,0.0
15,2,11.91,1339.0,138.0,1.0,25.0,108.0,0.0,339.0,433.0,100.0,10.0,185.0
33,3,12.23,1016.0,0.0,0.0,0.0,0.0,541.0,97.0,378.0,0.0,0.0,0.0
87,3,12.38,85.0,8.0,66.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0
20,3,12.46,1220.0,131.0,533.0,0.0,0.0,11.0,22.0,0.0,523.0,0.0,0.0
36,3,12.55,105.0,0.0,0.0,62.0,12.0,1.0,2.0,23.0,0.0,5.0,0.0
83,3,12.56,1193.0,460.0,0.0,83.0,118.0,0.0,0.0,18.0,68.0,105.0,341.0
