,min,avg
0,446.0,509.7
1,449.0,511.35
2,448.0,511.56
3,450.0,510.89
4,431.0,511.16
5,441.0,510.43
6,440.0,511.06
7,429.0,510.23
8,425.0,509.78
9,424.0,508.39
10,432.0,508.25
11,430.0,508.71
12,429.0,509.42
13,450.0,509.63
14,430.0,509.81
15,435.0,508.49
16,426.0,506.92
17,432.0,507.09
18,455.0,506.24
19,438.0,505.49
20,440.0,505.4
21,438.0,506.33
22,432.0,505.92
23,438.0,507.56
24,449.0,507.6
25,431.0,507.2
26,439.0,507.96
27,448.0,508.43
28,417.0,508.32
29,403.0,509.26
30,445.0,508.9
31,441.0,509.71
32,451.0,511.29
33,446.0,510.49
34,447.0,511.51
35,433.0,509.89
36,449.0,510.05
37,449.0,509.87
38,454.0,512.32
39,421.0,510.6
40,443.0,509.97
41,449.0,509.74
42,431.0,510.79
43,447.0,510.42
44,446.0,509.23
45,450.0,509.69
46,439.0,509.82
47,430.0,509.74
48,441.0,509.08
49,446.0,508.84
50,449.0,508.8
51,452.0,509.52
52,440.0,509.12
53,444.0,508.15
54,435.0,507.45
55,452.0,507.31
56,430.0,507.69
57,433.0,508.12
58,433.0,509.01
59,436.0,510.12
60,440.0,509.7
61,447.0,507.9
62,450.0,507.66
63,449.0,507.54
64,415.0,507.45
65,408.0,507.65
66,388.0,508.0
67,440.0,508.85
68,422.0,508.73
69,436.0,508.14
70,432.0,508.33
71,418.0,509.49
72,437.0,510.81
73,434.0,509.03
74,427.0,509.93
75,436.0,509.72
76,418.0,510.33
77,436.0,509.3
78,436.0,509.01
79,423.0,508.07
80,454.0,508.49
81,450.0,509.62
82,429.0,507.79
83,445.0,507.51
84,445.0,507.51
85,461.0,507.72
86,440.0,507.38
87,437.0,506.62
88,430.0,508.55
89,439.0,509.25
90,432.0,509.29
91,443.0,507.92
92,436.0,507.58
93,430.0,507.4
94,432.0,504.65
95,431.0,504.43
96,424.0,504.36
97,411.0,504.21
98,444.0,504.94
99,428.0,506.9
100,428.0,504.54
101,418.0,505.05
102,420.0,504.69
103,444.0,505.22
104,427.0,504.59
105,423.0,505.56
106,437.0,505.78
107,427.0,507.24
108,432.0,507.5
109,423.0,506.74
110,422.0,507.64
111,426.0,507.34
112,419.0,505.78
113,440.0,505.44
114,441.0,506.66
115,413.0,506.25
116,435.0,507.17
117,415.0,506.21
118,417.0,507.07
119,430.0,506.42
120,418.0,506.26
121,431.0,506.7
122,439.0,506.64
123,416.0,504.02
124,438.0,505.33
125,440.0,503.73
126,438.0,505.07
127,442.0,505.84
128,451.0,507.07
129,431.0,505.62
130,435.0,506.18
131,435.0,505.41
132,429.0,504.26
133,425.0,503.16
134,423.0,503.55
135,440.0,504.15
136,442.0,503.66
137,442.0,503.74
138,424.0,503.0
139,402.0,504.55
140,400.0,504.92
141,426.0,505.25
142,443.0,505.26
143,429.0,504.66
144,421.0,504.2
145,427.0,503.35
146,414.0,502.58
147,411.0,502.79
148,425.0,502.63
149,398.0,500.63
150,431.0,500.08
151,431.0,500.34
152,411.0,500.13
153,403.0,501.54
154,404.0,501.58
155,426.0,501.54
156,447.0,503.28
157,444.0,503.65
158,447.0,505.88
159,449.0,506.67
160,451.0,506.27
161,455.0,504.54
162,415.0,504.75
163,440.0,503.89
164,448.0,504.61
165,451.0,505.35
166,434.0,505.35
167,432.0,506.58
168,448.0,506.22
169,438.0,506.53
170,438.0,506.8
171,456.0,508.31
172,441.0,508.35
173,439.0,508.37
174,442.0,508.16
175,440.0,508.17
176,447.0,508.03
177,448.0,509.59
178,440.0,509.41
179,437.0,509.4
180,432.0,510.37
181,432.0,510.4
182,428.0,511.06
183,440.0,510.52
184,430.0,509.99
185,411.0,510.08
186,436.0,509.46
187,442.0,508.71
