group_id,client_id,epoch
0,68,1
0,22,1
0,5,1
0,24,1
0,51,1
0,33,1
0,43,1
0,91,1
0,55,1
0,94,1
1,32,1
1,0,1
1,38,1
1,95,1
1,28,1
1,93,1
1,36,1
1,74,1
1,89,1
1,85,1
2,46,1
2,79,1
2,92,1
2,18,1
2,19,1
2,13,1
2,99,1
2,63,1
2,41,1
2,3,1
3,83,1
3,61,1
3,42,1
3,57,1
3,6,1
3,72,1
3,4,1
3,84,1
3,71,1
3,21,1
4,27,1
4,30,1
4,98,1
4,97,1
4,73,1
4,70,1
4,80,1
4,56,1
4,48,1
4,76,1
0,1,2
0,68,2
0,91,2
0,90,2
0,23,2
0,94,2
0,9,2
0,24,2
0,69,2
0,8,2
1,95,3
1,54,3
1,74,3
1,85,3
1,45,3
1,35,3
1,32,3
1,86,3
1,11,3
1,89,3
2,16,4
2,49,4
2,77,4
2,96,4
2,46,4
2,82,4
2,65,4
2,3,4
2,18,4
2,37,4
4,39,5
4,60,5
4,40,5
4,80,5
4,26,5
4,64,5
4,97,5
4,98,5
4,76,5
4,70,5
0,34,6
0,94,6
0,81,6
0,75,6
0,9,6
0,50,6
0,8,6
0,25,6
0,68,6
0,69,6
1,59,7
1,54,7
1,85,7
1,52,7
1,7,7
1,95,7
1,86,7
1,36,7
1,87,7
1,31,7
3,61,8
3,17,8
3,6,8
3,29,8
3,83,8
3,21,8
3,12,8
3,4,8
3,57,8
3,84,8
0,34,9
0,50,9
0,53,9
0,43,9
0,9,9
0,2,9
0,1,9
0,22,9
0,33,9
0,5,9
2,41,10
2,82,10
2,20,10
2,99,10
2,10,10
2,18,10
2,96,10
2,15,10
2,46,10
2,92,10
1,86,11
1,38,11
1,59,11
1,54,11
1,45,11
1,93,11
1,11,11
1,85,11
1,52,11
1,35,11
0,55,12
0,25,12
0,53,12
0,9,12
0,34,12
0,50,12
0,51,12
0,94,12
0,1,12
0,24,12
4,97,13
4,80,13
4,76,13
4,26,13
4,30,13
4,56,13
4,48,13
4,39,13
4,70,13
4,40,13
2,58,14
2,49,14
2,47,14
2,18,14
2,79,14
2,99,14
2,66,14
2,46,14
2,41,14
2,10,14
0,94,15
0,55,15
0,88,15
0,43,15
0,24,15
0,25,15
0,2,15
0,75,15
0,22,15
0,91,15
1,95,16
1,0,16
1,67,16
1,38,16
1,36,16
1,35,16
1,93,16
1,59,16
1,85,16
1,32,16
3,61,17
3,4,17
3,57,17
3,84,17
3,71,17
3,21,17
3,78,17
3,6,17
3,83,17
3,72,17
0,88,18
0,69,18
0,68,18
0,22,18
0,8,18
0,55,18
0,94,18
0,24,18
0,81,18
0,43,18
2,77,19
2,79,19
2,63,19
2,49,19
2,10,19
2,18,19
2,47,19
2,96,19
2,41,19
2,16,19
1,89,20
1,74,20
1,38,20
1,59,20
1,28,20
1,52,20
1,11,20
1,32,20
1,31,20
1,95,20
0,69,21
0,55,21
0,34,21
0,24,21
0,23,21
0,88,21
0,53,21
0,33,21
0,51,21
0,1,21
4,27,22
4,76,22
4,39,22
4,73,22
4,40,22
4,56,22
4,60,22
4,98,22
4,26,22
4,64,22
2,82,23
2,99,23
2,19,23
2,10,23
2,16,23
2,92,23
2,96,23
2,18,23
2,79,23
2,58,23
0,55,24
0,91,24
0,23,24
0,43,24
0,62,24
0,53,24
0,94,24
0,1,24
0,75,24
0,33,24
1,45,25
1,52,25
1,31,25
1,74,25
1,89,25
1,7,25
1,95,25
1,28,25
1,38,25
1,0,25
3,14,26
3,12,26
3,72,26
3,83,26
3,57,26
3,6,26
3,61,26
3,29,26
3,4,26
3,84,26
0,91,27
0,34,27
0,43,27
0,23,27
0,88,27
0,81,27
0,53,27
0,24,27
0,1,27
0,62,27
1,93,28
1,67,28
1,7,28
1,59,28
1,45,28
1,38,28
1,31,28
1,36,28
1,74,28
1,89,28
2,66,29
2,15,29
2,19,29
2,18,29
2,49,29
2,46,29
2,96,29
2,92,29
2,16,29
2,99,29
0,94,30
0,23,30
0,90,30
0,33,30
0,53,30
0,25,30
0,75,30
0,55,30
0,8,30
0,5,30
