Epoch,Group_ID,Selected_Clients,Client_Count,Max_Delay,Accuracy,Loss,Run_Time
1,0,11;1;42;34;98;10;55;6;52;77,10,8.36,19.981971153846153,2.2709369965088673,15.729416131973267
2,1,13;57;5;4;79;14;90;37;40;71,10,8.71,11.678685897435898,2.2981832271967177,16.12689208984375
3,2,82;24;89;97;61;36;63;39;60;84,10,9.07,9.985977564102564,2.2931307768210387,16.56857991218567
4,3,3;27;65;47;38;9;17;54;93;8,10,8.83,16.526442307692307,2.309986893947308,16.918038368225098
5,4,12;75;25;73;76;43;67;35;2;53,10,8.22,10.006009615384615,2.2999937748297667,17.32386827468872
6,2,39;63;89;59;23;85;82;24;46;22,10,5.1,9.985977564102564,2.261307505460886,22.35289168357849
7,0,83;11;58;10;42;29;52;50;32;55,10,8.36,10.586939102564102,2.3100863083814964,24.908551692962646
8,4,53;70;7;94;76;2;75;43;51;35,10,7.31,20.452724358974358,2.2288089654384513,25.681352138519287
9,1,26;13;5;31;56;15;79;14;66;99,10,9.04,10.006009615384615,2.2614065622672057,26.40398907661438
10,3,9;27;91;30;93;87;28;20;47;38,10,8.82,19.821714743589745,2.359291834708972,26.80211615562439
11,2,18;24;84;46;95;64;60;63;97;22,10,7.89,19.21073717948718,2.2366852148985252,30.836123943328857
12,0,29;34;42;68;69;50;33;32;11;10,10,8.34,26.812900641025642,2.3366555006076126,34.17483878135681
13,4,88;86;12;7;76;92;94;70;75;51,10,7.52,28.395432692307693,2.0443863517198806,34.681554555892944
14,1,13;56;90;66;37;15;71;4;44;5,10,8.6,18.719951923076923,2.296694810573871,35.589622259140015
15,3,91;38;47;17;45;28;9;30;3;20,10,8.86,16.846955128205128,2.304496373885717,36.30307984352112
16,2,78;23;97;19;41;89;24;22;95;60,10,8.67,19.69150641025641,2.2218849658966064,40.13471055030823
17,0,32;83;77;1;50;98;34;72;6;68,10,7.88,19.881810897435898,2.081520546705295,42.76713728904724
18,4,67;53;7;92;80;94;88;75;86;73,10,8.26,27.213541666666668,1.9375396905801234,43.58565163612366
19,1,90;15;99;71;37;13;79;66;40;26,10,9.06,38.932291666666664,1.942470330458421,45.20745515823364
20,3,28;91;96;45;54;47;74;27;30;38,10,8.85,27.954727564102566,2.1181337298491063,45.86705708503723
21,2,63;19;36;89;18;46;0;85;41;95,10,8.67,26.392227564102566,2.0630998947681527,49.501818895339966
22,0,1;10;6;34;77;98;32;69;42;11,10,8.35,34.59535256410256,1.9328953746037605,51.75521159172058
23,4,62;86;51;35;73;67;76;53;25;80,10,8.25,40.29447115384615,1.6600163242755792,52.4782338142395
24,1,57;26;14;79;44;90;21;99;49;31,10,8.97,29.857772435897434,1.7344470742421272,55.207003116607666
25,3,8;17;96;54;47;87;65;91;93;48,10,8.88,30.138221153846153,1.883000543484321,55.69009852409363
26,2,24;82;63;22;61;23;39;89;19;84,10,9.08,24.58934294871795,1.9698418241280775,59.22407674789429
27,0,10;69;11;6;52;42;1;72;77;98,10,8.43,47.365785256410255,1.8193860084582598,61.06537318229675
28,4,76;86;92;51;94;88;2;12;80;75,10,8.03,37.239583333333336,1.5721584038856702,61.3989462852478
29,1,56;37;66;40;26;49;57;90;44;31,10,9.2,24.10857371794872,1.8175265116569324,65.14140224456787
30,3,20;28;45;93;8;91;48;38;3;27,10,8.75,35.56690705128205,1.8258167933195064,65.59412837028503
31,2,16;97;84;64;78;89;23;95;39;85,10,7.89,27.534054487179485,2.09276415904363,67.72504830360413
32,0,32;10;83;34;33;6;50;11;58;52,10,7.61,28.99639423076923,1.9049788086842268,69.23678278923035
33,4,7;12;76;70;80;35;25;86;43;75,10,8.03,52.09334935897436,1.4332713041550074,70.05875420570374
34,3,96;93;17;9;28;38;20;87;27;8,10,8.03,31.96113782051282,1.6461131970087688,74.36258840560913
35,1,37;56;15;40;31;21;90;5;4;66,10,8.87,25.89142628205128,1.689803231985141,74.92731094360352
36,2,36;59;41;23;63;82;89;0;46;61,10,9.11,41.37620192307692,1.4914134404598138,77.36388087272644
37,0,83;50;11;29;72;6;68;55;42;10,10,8.4,29.627403846153847,1.7653708733045137,78.20374321937561
38,4,62;67;51;70;25;86;76;35;94;53,10,7.31,48.37740384615385,1.382018737303905,78.64285659790039
39,3,38;8;9;65;96;3;74;27;91;47,10,8.83,43.52964743589744,1.615506201218336,83.99449181556702
40,1,37;21;66;57;99;4;5;56;13;79,10,8.63,38.21113782051282,1.5921266980660267,84.48952651023865
41,2,16;59;84;82;22;61;89;97;78;23,10,9.08,34.15464743589744,1.7924175659815471,87.31387519836426
42,0,6;55;33;34;52;98;32;42;77;50,10,8.36,36.458333333333336,1.7557716721143477,87.85721516609192
43,4,35;53;43;88;80;51;2;12;86;76,10,8.01,37.51001602564103,1.4440711874228258,88.32625722885132
44,3,30;38;27;17;54;65;3;96;87;48,10,8.75,45.37259615384615,1.5574225279001088,93.37324380874634
45,1,66;49;40;31;14;4;44;99;26;21,10,9.11,48.046875,1.4652028527015295,94.29098105430603
46,2,39;18;97;59;78;60;46;0;16;22,10,6.33,38.31129807692308,1.4626584603236272,94.62970328330994
47,0,32;42;6;11;50;33;98;55;58;68,10,8.34,37.37980769230769,1.5971906689497142,96.98538541793823
48,4,88;25;75;51;35;2;73;86;76;62,10,8.22,45.592948717948715,1.3669700821240742,97.39063453674316
49,3,91;28;48;65;9;47;27;45;87;74,10,8.9,48.38741987179487,1.303450081592951,102.91245293617249
50,1,14;40;79;90;44;26;21;57;15;37,10,9.09,41.88701923076923,1.4042261365132453,104.14406061172485
51,2,22;24;61;60;23;41;85;0;97;63,10,9.1,48.81810897435897,1.3007655831483693,104.54580879211426
52,4,43;12;67;70;7;76;75;25;86;35,10,7.34,52.75440705128205,1.2071145069904816,105.27936244010925
53,0,33;68;52;69;34;72;77;11;42;83,10,8.41,38.37139423076923,1.5859670516772149,106.0027072429657
54,3,30;28;20;3;8;17;96;45;81;65,10,8.43,39.743589743589745,1.4838630312528365,111.9418478012085
55,1,57;26;56;71;90;14;13;44;4;5,10,9.05,43.49959935897436,1.5146268269954584,114.14156794548035
56,2,61;36;23;78;63;16;95;19;85;18,10,9.1,41.72676282051282,1.4648579007539995,114.71434950828552
57,0,69;32;72;98;29;58;11;52;77;42,10,8.45,37.04927884615385,1.7521685759226482,115.29566097259521
58,4,80;88;70;94;67;76;73;62;51;75,10,8.25,42.708333333333336,1.3386319004572356,115.64656066894531
59,3,81;30;38;74;9;48;20;17;65;27,10,8.73,50.0,1.226945161819458,121.30244445800781
60,0,68;58;1;83;34;77;32;29;33;52,10,7.61,45.36258012820513,1.282166560490926,123.80820059776306
61,1,44;90;13;15;79;14;26;49;66;57,10,8.97,45.88341346153846,1.3686084441649609,124.4580750465393
62,2,18;61;95;46;82;63;89;16;19;78,10,9.11,48.36738782051282,1.4222834217242706,124.90221571922302
63,4,92;94;53;86;25;35;51;88;2;75,10,7.38,58.102964743589745,1.1095982553103032,125.29459857940674
64,3,47;54;27;74;20;45;38;3;28;87,10,8.86,55.37860576923077,1.155091758721914,130.7431046962738
65,0,98;1;10;68;77;72;34;69;83;29,10,7.9,57.732371794871796,1.167058744491675,132.2547562122345
66,2,39;18;64;0;82;16;59;36;46;84,10,7.89,43.02884615384615,1.3898378946842291,133.37498807907104
67,1,56;44;26;66;21;71;99;79;15;49,10,9.07,37.92067307692308,1.5121346391164339,134.1654109954834
68,4,7;2;53;51;76;92;67;12;25;73,10,8.24,61.328125,1.0823633747223096,134.58502984046936
69,3,81;17;28;74;38;54;27;9;45;48,10,8.73,46.85496794871795,1.2945599525402753,140.24683356285095
70,0,11;32;50;98;77;1;29;69;52;33,10,7.62,61.64863782051282,1.1579799804932032,140.67357277870178
71,2,60;24;18;84;36;19;41;82;97;78,10,8.68,50.671073717948715,1.2127169126119368,142.58644342422485
72,4,86;25;76;73;70;88;53;94;12;51,10,8.23,56.41025641025641,1.063112117541142,143.56457233428955
