Epoch,Group_ID,Selected_Clients,Accuracy,Loss,Run_Time,Simulation_Time
1,0,"[68, 22, 5, 24, 51, 33, 43, 91, 55, 94]",9.375,2.5740284644640408,25.980408906936646,10.160755805295947
2,1,"[32, 0, 38, 95, 28, 93, 36, 74, 89, 85]",9.375,2.5740284644640408,31.281978607177734,13.362359774308231
3,2,"[46, 79, 92, 18, 19, 13, 99, 63, 41, 3]",12.029246794871796,2.842846292715806,37.05305790901184,16.79595376583444
4,4,"[27, 30, 98, 97, 73, 70, 80, 56, 48, 76]",12.419871794871796,2.73914735745161,43.114428758621216,21.02909236851921
5,0,"[1, 68, 91, 90, 23, 94, 9, 24, 69, 8]",12.169471153846153,2.5792311093746085,49.67105460166931,18.572944001545963
6,1,"[95, 54, 74, 85, 45, 35, 32, 86, 11, 89]",11.658653846153847,2.582378849005088,56.53453826904297,26.047212642725736
7,3,"[83, 61, 42, 57, 6, 72, 4, 84, 71, 21]",11.197916666666666,2.456413379082313,63.611637353897095,19.36212445296745
8,0,"[34, 94, 81, 75, 9, 50, 8, 25, 68, 69]",11.618589743589743,2.518441221652887,70.77003812789917,28.060600084037436
9,2,"[16, 49, 77, 96, 46, 82, 65, 3, 18, 37]",11.648637820512821,2.5403684805601072,78.37354397773743,32.99708858070868
10,1,"[59, 54, 85, 52, 7, 95, 86, 36, 87, 31]",11.508413461538462,2.5668303691423855,86.15825414657593,39.0618448182535
11,0,"[34, 50, 53, 43, 9, 2, 1, 22, 33, 5]",12.429887820512821,2.587291815342047,93.54437160491943,37.785228717646156
12,4,"[39, 60, 40, 80, 26, 64, 97, 98, 76, 70]",13.341346153846153,2.483918923598069,101.06993675231934,44.035879730883515
13,2,"[41, 82, 20, 99, 10, 18, 96, 15, 46, 92]",13.962339743589743,2.43832794825236,109.37925219535828,49.198223395582914
14,0,"[55, 25, 53, 9, 34, 50, 51, 94, 1, 24]",15.134214743589743,2.4433509692167625,116.83558940887451,47.945984522942105
15,1,"[86, 38, 59, 54, 45, 93, 11, 85, 52, 35]",14.513221153846153,2.468364260135553,124.50701594352722,51.746697686671
16,3,"[61, 17, 6, 29, 83, 21, 12, 4, 57, 84]",17.628205128205128,2.3044246404598923,132.48612523078918,38.7242489059349
17,0,"[94, 55, 88, 43, 24, 25, 2, 75, 22, 91]",17.377804487179485,2.358574252862197,140.10299801826477,58.106740328238054
18,2,"[58, 49, 47, 18, 79, 99, 66, 46, 41, 10]",16.42628205128205,2.3362248066144113,147.76843070983887,66.26177487302644
19,1,"[95, 0, 67, 38, 36, 35, 93, 59, 85, 32]",15.164262820512821,2.3733937984857802,155.7924575805664,63.720275650721774
20,0,"[88, 69, 68, 22, 8, 55, 94, 24, 81, 43]",14.022435897435898,2.345033715932797,163.57567262649536,68.267496133534
21,4,"[97, 80, 76, 26, 30, 56, 48, 39, 70, 40]",13.161057692307692,2.234624138245216,171.48853874206543,67.04266709324781
22,2,"[77, 79, 63, 49, 10, 18, 47, 96, 41, 16]",19.12059294871795,2.194654073470678,179.7019453048706,83.32532635046996
23,0,"[69, 55, 34, 24, 23, 88, 53, 33, 51, 1]",18.56971153846154,2.2078760892916947,187.7206449508667,78.42825193882994
24,1,"[89, 74, 38, 59, 28, 52, 11, 32, 31, 95]",19.81169871794872,2.211767942477495,195.8181459903717,77.08263542503
25,3,"[61, 4, 57, 84, 71, 21, 78, 6, 83, 72]",23.177083333333332,2.1329615054986415,203.98064970970154,58.08637335890235
26,0,"[55, 91, 23, 43, 62, 53, 94, 1, 75, 33]",22.65625,2.1442870176755466,212.35040307044983,88.5890077441259
27,1,"[45, 52, 31, 74, 89, 7, 95, 28, 38, 0]",21.41426282051282,2.1648990160379653,220.50502824783325,90.44499519933824
28,2,"[82, 99, 19, 10, 16, 92, 96, 18, 79, 58]",17.48798076923077,2.245359044808608,228.88407015800476,100.1212801163044
29,0,"[91, 34, 43, 23, 88, 81, 53, 24, 1, 62]",16.967147435897434,2.259697926350129,236.86346578598022,97.38822646518221
30,4,"[27, 76, 39, 73, 40, 56, 60, 98, 26, 64]",16.796875,2.2803345857522426,244.96594142913818,90.04945445561212
